224532, -654, 3447, -2099, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225470, -3794, 1959, 1026, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225506, -3627, 1767, 1030, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225541, -3328, 557, 791, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225577, -2923, -66, 702, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225613, -2514, -613, 482, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225649, -2453, -1166, 480, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225687, -1965, -2112, 344, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225726, -2016, -2750, 94, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225764, -1885, -3205, -17, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225803, -1608, -2842, 157, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225841, -1572, -2477, 42, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225880, -1514, -2157, 111, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225918, -876, -1451, -188, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225957, -516, -906, -98, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
225995, 83, 75, 255, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226034, 954, 1736, 528, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226072, 1671, 3658, 837, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226111, 2742, 5258, 1992, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226149, 3226, 4412, 83, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226188, 6005, 5026, 1185, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226226, 7322, 4425, 1284, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226265, 9189, 2958, 852, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226303, 10814, 1793, 1686, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226342, 6483, 4305, -244, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226380, 3296, 1556, -2308, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226419, 3201, 2948, -2546, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226455, 4472, 1409, -2246, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226492, 3095, 432, -1293, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226529, 2847, -142, -324, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226566, 2682, -840, 570, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226603, 3039, 86, -962, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226639, 3760, -873, -1618, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226676, 4291, -1233, -866, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226713, 4194, -942, -773, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226750, 4312, -948, -646, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226787, 3923, -1118, -998, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226824, 3867, -993, -1199, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226869, 3857, -1694, -1248, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226915, 3722, -1313, -1371, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
226961, 3953, -1278, -1597, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227006, 3919, -1504, -1397, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227052, 3790, -1451, -1484, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227098, 3828, -1331, -1713, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227143, 3655, -1484, -1583, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227189, 3478, -1584, -1799, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227235, 3623, -1172, -1700, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227281, 3459, -1602, -1506, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227313, 3659, -1399, -1747, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227346, 3534, -1336, -1669, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227379, 3565, -1594, -2076, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227411, 3537, -1448, -1937, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227444, 3656, -1410, -2180, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227477, 3624, -1488, -2024, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227510, 3439, -1474, -1640, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227542, 3448, -1443, -1619, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227575, 3369, -1476, -1800, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227608, 3328, -1338, -1944, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227641, 3415, -1442, -1771, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227680, 3334, -1664, -2000, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227719, 3231, -1481, -1901, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227759, 3317, -1469, -1952, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227798, 3202, -1611, -1907, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227838, 3413, -1376, -2232, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227877, 3226, -1556, -2072, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227916, 3187, -1504, -1848, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227956, 3267, -1499, -1960, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
227995, 3233, -1456, -2018, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228035, 3347, -1753, -2117, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228073, 3459, -1763, -2225, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228111, 3334, -1800, -2100, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228149, 3292, -1639, -2026, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228187, 3223, -1557, -2107, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228225, 3154, -1614, -2054, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228263, 3175, -1511, -2211, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228301, 3100, -1655, -2106, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228339, 3050, -1710, -2206, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228377, 3167, -2331, -2073, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228415, 3117, -1855, -1965, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
228453, 3060, -1654, -2188, 74, 65e3f0f1-241c-4946-8cfe-a977a3464cb8, , transisi, transisi_bersedekap_ke_ruku, , 
