39710, -996, 3666, -1481, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40289, -3099, 5535, 1499, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40326, -2973, 4881, 1691, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40364, -3542, 4364, 2139, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40401, -2804, 4685, 2907, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40438, -1095, 2320, 2163, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40476, 393, 119, 1024, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40513, 818, -2820, -1372, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40551, 620, -5197, -1233, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40585, 1218, -3995, -189, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40619, 873, -3024, -1642, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40653, 1330, -2055, -930, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40687, 1664, -968, -618, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40721, 2791, 162, 359, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40756, 3220, 3832, 1939, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40790, 6646, 4626, 3489, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40824, 3315, 12166, 3654, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40858, 7359, 2365, 1251, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40892, 10065, 7659, 4541, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40927, 7977, 5445, 3229, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
40967, 6102, 3028, 5044, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41008, 1973, 6426, -2178, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41049, 1061, 5544, -3498, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41089, 1268, 2919, -1124, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41130, 1274, 2485, -498, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41171, 1789, 2649, -1344, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41211, 3033, 3211, -615, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41252, 3942, 31, -346, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41293, 3688, 565, -1690, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41334, 3962, 668, -1395, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41370, 4376, 245, -1168, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41406, 3782, 555, -827, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41443, 4447, 81, -438, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41479, 3867, 233, -782, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41515, 4039, 381, -1069, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41552, 4036, 279, -1064, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41588, 4052, 458, -1310, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41624, 3960, 307, -1245, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41661, 3876, 275, -1269, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41697, 3616, 216, -1224, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41734, 4021, -169, -1888, 99, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41773, 3738, 392, -1414, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41812, 3530, 425, -1448, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41852, 3883, -295, -1703, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41891, 3698, 10, -1871, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41931, 3803, -135, -1929, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
41970, 3801, -156, -1819, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42009, 3543, -1, -1903, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42049, 3571, -101, -2136, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42088, 3447, 47, -2139, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42128, 3765, -81, -2302, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42168, 3503, -223, -1954, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42208, 3472, -286, -2038, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42248, 3331, -284, -2274, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42289, 3436, -419, -2236, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42329, 3352, -302, -2296, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42369, 3661, -386, -2251, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42410, 3591, -565, -2251, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42450, 3624, -894, -2325, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42490, 3662, -356, -2494, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42531, 3643, -564, -2376, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42568, 3519, -257, -2548, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42605, 3447, -563, -2364, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42643, 3262, -554, -2342, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42680, 3339, -534, -2245, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42717, 3222, -403, -2242, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42755, 3288, -560, -2243, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42792, 3577, -757, -2374, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42829, 3498, -775, -2444, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42867, 3297, -729, -2360, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42904, 3148, -565, -2245, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42942, 2789, -239, -2248, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
42980, 3254, -378, -2447, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43019, 3112, -580, -2415, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43057, 3537, -869, -2780, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43096, 3642, -952, -2541, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43135, 3396, -766, -2307, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43173, 3052, -569, -2323, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43212, 3194, -499, -2788, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43250, 3181, -877, -2486, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43289, 3278, -760, -2416, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43328, 3427, -806, -2515, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43366, 3325, -942, -2503, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43404, 2894, -1028, -2391, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43442, 3014, -805, -2584, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43480, 3376, -1295, -2600, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43518, 2896, -913, -2656, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43556, 3204, -1448, -2566, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43594, 2878, -1155, -2546, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43632, 3029, -1293, -2594, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43670, 2995, -1151, -2525, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43708, 2868, -1060, -2731, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43747, 2580, -1264, -2768, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43786, 3570, -2504, -2466, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43826, 2229, -1303, -2484, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43866, 2921, -1354, -2862, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43906, 2685, -1281, -2649, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43946, 2938, -1510, -2608, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
43986, 2719, -1439, -2630, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
44026, 2871, -1535, -2621, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
44066, 2770, -1499, -2632, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
44106, 2827, -1415, -2688, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
44146, 2789, -1455, -2681, 100, cc39a331-6ee9-4c95-a3ef-088ed593070f, , transisi, transisi_bersedekap_ke_ruku, , 
