67321, -1027, 3739, -1136, 87, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
68995, -89, -2937, -858, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69035, -160, -2385, -793, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69075, -27, -1284, -559, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69115, 552, -399, -244, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69157, 1145, 651, 54, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69199, 2048, 1998, 639, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69241, 2206, 3744, 1205, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69283, 4212, 4853, 2015, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69325, 5424, 5907, 1725, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69367, 9584, 4618, 303, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69409, 10901, 6109, 932, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69451, 7734, 4054, 2039, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69493, 4315, 8631, 1083, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69536, 2360, 3572, -2070, 89, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69570, 2239, 1234, -1419, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69604, 2582, 329, -1301, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69639, 2882, 893, -1063, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69673, 3477, 1093, -955, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69707, 3873, 872, -730, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69742, 4025, 1162, -655, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69776, 3923, 118, -1191, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69810, 3776, 19, -1668, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69845, 4038, 193, -1497, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69879, 4090, -458, -1764, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69914, 3869, 314, -1895, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69954, 3827, -143, -1549, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
69994, 3861, 334, -1808, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70034, 3836, 191, -2034, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70074, 4059, 200, -1757, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70114, 3456, -304, -2250, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70154, 3948, 45, -2367, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70194, 3971, -86, -2505, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70234, 3722, -166, -2467, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70274, 3428, -479, -2003, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70315, 3339, -485, -1885, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70359, 3549, -105, -2625, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70403, 3582, -150, -2293, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70447, 3948, 146, -2564, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70491, 2805, 892, -3032, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70535, 3671, 81, -2757, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70579, 3727, -521, -2686, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70623, 3830, -353, -2575, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70667, 3561, -288, -2540, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70711, 3188, -37, -2681, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70755, 2983, -353, -2743, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70800, 3046, -240, -2610, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70831, 2843, -272, -2694, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70863, 2884, -490, -2785, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70894, 2903, -713, -2804, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70926, 3064, -631, -2675, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70957, 3229, -536, -2581, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
70989, 3249, -479, -2604, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
71020, 3279, -500, -2734, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
71052, 3192, -473, -2655, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
71083, 3226, -467, -2651, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
71115, 3116, -500, -2673, 88, 738d8810-b540-4d8a-b7f0-e0d2ff900f06, , transisi, transisi_bersedekap_ke_ruku, , 
