107268, -960, 3891, -1119, 75, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108048, 1049, -843, -325, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108086, 1769, -44, 38, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108123, 2592, 1335, 550, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108161, 4146, 4646, 401, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108198, 5201, 4838, 1922, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108236, 10296, 6838, 3204, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108273, 13932, 7064, 2068, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108311, 10196, 5468, 2186, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108348, 5658, 2813, 5059, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108386, 3669, 3451, 671, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108427, -436, 4154, -1657, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108468, 2158, 2767, -860, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108509, 1679, 623, -960, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108550, 3454, 231, -849, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108591, 3614, -319, -869, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108632, 4302, 412, -331, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108673, 3970, 262, -149, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108714, 4659, -900, -863, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108755, 4340, -247, -1205, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108797, 3472, -418, -1024, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108833, 4114, 100, -1159, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108869, 4204, 12, -1187, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108905, 4364, -306, -1616, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108941, 4209, -233, -1391, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
108977, 4320, -463, -1494, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109014, 4108, -445, -1437, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109050, 4120, -343, -1720, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109086, 3741, -648, -1617, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109122, 4048, -260, -1889, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109158, 4440, -17, -2192, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109195, 4531, -641, -2091, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109234, 4044, -472, -2204, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109273, 3731, 6, -2143, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109312, 3616, 428, -1936, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109351, 3495, 430, -1958, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109390, 3660, 157, -1966, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109429, 3640, 45, -2197, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109468, 3400, 98, -2177, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109507, 3280, 14, -2281, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109546, 3241, -205, -2376, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
109586, 3336, 271, -2176, 73, 24d017c6-5e4f-434a-bd7d-415576142a37, , transisi, transisi_bersedekap_ke_ruku, , 
