211968, -142, 4097, 193, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213473, 3267, 2938, 2756, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213511, 4064, 3696, 2566, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213549, 4612, 2977, 2771, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213588, 4296, 3218, 2247, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213625, 4307, 2372, 1935, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213662, 3914, 3876, 757, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213699, 3460, 3207, 922, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213737, 3461, 2353, 1101, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213774, 3452, 2046, 814, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213811, 3539, 1971, 429, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213849, 3507, 1581, 567, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213886, 3598, 1141, 375, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213923, 3561, 1301, 280, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213961, 3423, 1030, 82, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
213998, 3600, 937, 117, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214035, 3245, 558, 13, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214072, 3293, 923, -395, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214109, 3734, 634, 159, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214146, 3601, 1200, -131, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214183, 4075, 913, -245, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214220, 4462, 1342, -61, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214257, 4140, 1076, -565, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214294, 3960, 946, -725, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214331, 3958, 809, -859, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214368, 4004, 1216, -1011, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214408, 4652, 842, -884, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214449, 4321, 1188, -953, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214489, 4475, 835, -1034, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214530, 4389, 740, -825, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214571, 4176, 720, -1074, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214611, 4254, 930, -1099, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214652, 4201, 863, -1162, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214692, 4053, 774, -1317, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214733, 4084, 916, -1344, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214774, 4112, 951, -1324, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
214812, 4072, 826, -1209, 78, 4f2e097d-93e6-40a8-a195-e9245fdf5b9a, , transisi, transisi_bersedekap_ke_ruku, , 
