104568, -308, 4026, 683, 89, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105717, -2994, -300, 843, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105757, -2738, 207, 1070, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105797, -2178, 370, 801, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105836, -1440, 652, 811, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105876, -885, 657, 1440, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105915, 194, 1574, 879, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105955, 1465, 4278, 322, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
105995, 1103, 1580, 74, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106031, 3795, 3484, -734, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106068, 4126, 3032, -957, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106104, 5950, 3101, -1461, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106141, 5971, 5215, -2391, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106178, 5119, 4498, -1941, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106214, 4058, 3924, -1844, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106251, 3531, 3170, -1888, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106288, 3413, 1824, -1573, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106324, 3306, 1294, -1742, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106361, 3379, 1488, -2000, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106398, 3504, 676, -2134, 90, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106437, 3362, 490, -2313, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106476, 3356, 360, -2314, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106516, 3507, -299, -1930, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106555, 3274, 23, -2460, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106595, 3228, -219, -2614, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106634, 3394, -519, -2537, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106673, 3049, -381, -2622, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106713, 3291, -346, -2671, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106752, 3410, -779, -2717, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106792, 3065, -338, -2950, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106830, 3468, -975, -2780, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106868, 3603, -739, -2989, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106907, 3426, -640, -2530, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106945, 3133, -701, -2628, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
106983, 2971, -626, -2451, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107022, 2962, -888, -2362, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107060, 3140, -1361, -2649, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107098, 3410, -1265, -2844, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107137, 3615, -1392, -2293, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107175, 3518, -1683, -2194, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107214, 3266, -1241, -2005, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107259, 3059, -1520, -2322, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107304, 3291, -823, -2345, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107349, 3291, -875, -2445, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107394, 3218, -1141, -2314, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107439, 3312, -1287, -2217, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107484, 3354, -1279, -2122, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107529, 3371, -1115, -2046, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
107574, 3350, -880, -2101, 91, 0ae4408f-8045-4430-aabe-416cf6789677, , transisi, transisi_bersedekap_ke_ruku, , 
