156167, -747, 3394, -2047, 91, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157374, 905, 469, 515, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157410, 1339, 3198, 56, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157446, 2717, 5114, 2152, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157488, 1538, 6754, 654, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157530, 5277, 6599, 2379, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157572, 5500, 7130, 532, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157614, 6676, 6233, 984, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157656, 5514, 5479, 2101, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157698, 3498, 7192, 2717, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157741, 2286, 3521, -2021, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157783, 2130, 3015, -2316, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157825, 2192, 737, -743, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157867, 2539, 1470, -946, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157909, 2733, 924, -375, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157951, 3114, 873, -275, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
157994, 3256, 45, -510, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158028, 3444, 276, -819, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158062, 4448, -228, -351, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158096, 4128, -488, -717, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158130, 4712, -216, -706, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158164, 4138, -375, -810, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158198, 4188, -416, -862, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158232, 4008, -117, -1196, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158266, 4201, -510, -1276, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158300, 3942, -11, -1456, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158334, 3878, -81, -1422, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158368, 3606, -215, -1767, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158402, 3804, -419, -1556, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158436, 3971, -455, -1838, 90, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158477, 4021, -297, -2074, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158519, 3692, -1086, -2222, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158561, 4028, -689, -2178, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158602, 3629, -800, -2059, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158644, 3512, -10, -1834, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158686, 3644, -953, -1888, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158727, 3561, -603, -2542, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158769, 4061, -1000, -2907, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158811, 4101, -470, -1884, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158852, 3826, -524, -1909, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158894, 3907, -38, -2551, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158936, 3716, -611, -2248, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
158978, 3600, -563, -2144, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159012, 3402, -484, -2315, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159046, 3242, -981, -2084, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159081, 2949, -935, -2088, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159115, 3268, -1106, -2312, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159150, 3220, -948, -2427, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159184, 3488, -692, -2388, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159219, 3561, -855, -2249, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159253, 3542, -661, -2219, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159288, 3445, -826, -2193, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159322, 3464, -947, -2160, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159357, 3358, -985, -2191, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159391, 3119, -810, -2230, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159426, 3231, -1061, -2258, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159463, 3334, -846, -2415, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159501, 3412, -1264, -2215, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159539, 3302, -736, -2249, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159577, 3341, -1058, -2265, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
159614, 3432, -1169, -2164, 88, 4a824218-f28b-4296-8309-3f18bb380bde, , transisi, transisi_bersedekap_ke_ruku, , 
