145617, 11, 4026, -766, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147191, 3226, -166, -1874, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147231, 3417, 602, -2493, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147271, 4044, -1256, -591, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147312, 2678, 168, -1691, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147352, 1874, 340, -2421, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147392, 1998, -193, -1586, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147433, 2676, -846, -637, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147473, 3064, -317, -1562, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147513, 3293, 39, -1904, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147554, 3877, -130, -1925, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147589, 3213, -1414, -2696, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147624, 4167, -2376, -2831, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147659, 4038, -2124, -2729, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147695, 4734, -1790, -1724, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147730, 4227, -1180, -1974, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147765, 4100, -1295, -2293, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147800, 4061, -1674, -2677, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147836, 3887, -1212, -2650, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147871, 4011, -914, -2388, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147906, 3888, -897, -2094, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147942, 3788, -838, -1693, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
147985, 3503, -499, -2128, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
148028, 3444, -556, -2308, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
148071, 3440, -692, -2331, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
148114, 3389, -549, -2264, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
148158, 3263, -657, -2388, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
148201, 3176, -521, -2581, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
148244, 3197, -390, -2463, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
148287, 3246, -256, -2429, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
148330, 3098, -463, -2452, 114, 067c2593-aa5c-4455-857e-51980a85b670, , transisi, transisi_bersedekap_ke_ruku, , 
