231343, -460, 3598, -1921, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232822, 3719, 5512, 3568, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232857, 2176, 4147, -1919, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232891, 1444, 1638, -1256, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232926, 1796, 1046, -753, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
232965, 2403, 681, -1045, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233005, 2735, 562, -340, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233045, 3796, 257, -198, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233085, 4303, 141, -65, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233125, 3944, 18, -916, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233165, 4262, -512, -956, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233205, 4415, 125, -746, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233245, 4403, -356, -714, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233285, 4603, -284, -1283, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233325, 4266, -465, -1361, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233365, 4132, -267, -1656, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233405, 3906, -681, -1565, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233445, 3807, -393, -1489, 94, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233482, 3875, -701, -1991, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233519, 4049, -640, -1990, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233557, 3979, -664, -1961, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233594, 3891, -860, -1757, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233632, 3767, -574, -2163, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233669, 3850, -601, -2340, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233707, 3843, -717, -2155, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233744, 3716, -615, -2026, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233782, 3623, -789, -2025, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233819, 3047, -65, -2196, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233857, 3544, -464, -2424, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233894, 3765, -862, -2414, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233932, 3525, -1171, -1746, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
233973, 3421, -496, -1802, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234014, 3233, -439, -2198, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234056, 3645, -325, -2543, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234097, 3922, -835, -2269, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234138, 3625, -697, -1953, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234180, 3209, -608, -1909, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234221, 3240, -541, -2006, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234262, 3349, -764, -2067, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234304, 3561, -819, -2020, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234345, 3676, -982, -2233, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234386, 3625, -894, -2066, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234428, 3513, -743, -2249, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234467, 3419, -678, -2305, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234506, 3433, -858, -2200, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234545, 3508, -751, -2252, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234584, 3410, -1012, -2371, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234623, 3434, -651, -2361, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
234662, 3372, -842, -2193, 93, ce65e8fd-f4d3-4d97-9a62-7bb5df38aba3, , transisi, transisi_bersedekap_ke_ruku, , 
