50436, -313, 3865, -1086, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51353, -2940, -1766, -318, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51392, -2827, -1064, 328, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51432, -3194, -286, 614, 94, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51472, -3213, -217, 650, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51512, -2768, -438, 820, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51552, -1840, -481, 618, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51592, -737, -252, 853, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51632, 589, 312, 1267, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51672, 2040, 459, 1209, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51712, 3895, 1099, 1809, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51752, 5740, 1602, 2285, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51792, 6854, -287, 724, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51833, 10254, -1625, -1261, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51869, 14812, -1497, 729, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51906, 9698, 1239, -2343, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51943, 3990, 1225, -1856, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
51980, 5480, -391, -59, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52017, 5055, 993, -156, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52054, 5113, 1294, 126, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52091, 3789, 651, 682, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52128, 2890, 1304, -334, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52165, 2560, 1010, -578, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52202, 2311, 1355, -770, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52239, 2288, 487, -1047, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52278, 3204, 3338, -1952, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52317, 3019, -4022, -1727, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52356, 2878, -4975, -1694, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52396, 3510, -1981, -2217, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52435, 3220, -2711, -2385, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52474, 3533, -2582, -1582, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52514, 4231, -2349, -1268, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52553, 3857, -2865, -1256, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52592, 3627, -2020, -1064, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52632, 3869, -1909, -2094, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52668, 3657, -1354, -1867, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52705, 3425, -2084, -1857, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52742, 3212, -1075, -1966, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52778, 3191, -1410, -2030, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52815, 3441, -1399, -2032, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52852, 3551, -1692, -2187, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52889, 3501, -1715, -2174, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52925, 3574, -1502, -1907, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52962, 3111, -1340, -2047, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
52999, 3169, -1475, -2485, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53036, 3128, -1514, -2797, 95, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53076, 3341, -1750, -2172, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53116, 3115, -1611, -2122, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53156, 3140, -1573, -2333, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53196, 3246, -2012, -2741, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53237, 3418, -1843, -2463, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53277, 3175, -2084, -2429, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53317, 2880, -1424, -2457, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53357, 2667, -1524, -2629, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53397, 2641, -1742, -2624, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53438, 2737, -1850, -2612, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53477, 2677, -1668, -2445, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53516, 2742, -1697, -2560, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53555, 2703, -1818, -2546, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53595, 2669, -1149, -2662, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53634, 2513, -3548, -2639, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53673, 2779, -2217, -2184, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53713, 2708, -1959, -2454, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53752, 2631, -1814, -2570, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53791, 2577, -1863, -2530, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53831, 2549, -1981, -2544, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
53870, 2576, -1989, -2512, 96, 1054acb0-12f4-4a29-a909-3b9baa2fd32a, , transisi, transisi_bersedekap_ke_ruku, , 
