51474, -1002, 3582, -1745, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53203, 4272, -2749, -95, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53240, 4018, -309, -1833, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53277, 3555, -1562, -1155, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53314, 3964, -853, -1490, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53351, 3688, -816, -1015, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53388, 4120, -283, -1704, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53425, 3770, -419, -1575, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53461, 3931, -494, -1827, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53498, 4090, -913, -1364, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53534, 3943, -574, -1232, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53571, 4002, -518, -2031, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53608, 4315, -218, -2097, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53644, 3720, -464, -1762, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53681, 3771, -1078, -2020, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53717, 3893, -510, -2412, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53754, 4050, -770, -2209, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53791, 4236, -776, -2548, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53831, 3979, -662, -2685, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53872, 3717, 367, -2444, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53912, 3571, 1305, -2075, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53953, 3912, 468, -2064, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
53993, 3555, 0, -2203, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
54034, 3285, 19, -2287, 55, 118e4e09-dfe5-4f6a-a0f5-b076500915eb, , transisi, transisi_bersedekap_ke_ruku, , 
