117570, 730, 4588, -783, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118354, 5388, 2852, -2073, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118392, 5046, 1415, -2128, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118430, 5044, 1525, -1392, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118468, 4364, 1290, -117, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118507, 3473, 1321, -155, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118546, 3306, 2103, -608, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118586, 4222, 1787, -259, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118625, 4173, 1744, -656, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118665, 4081, 1541, -722, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118705, 4270, 1609, -700, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118744, 3486, 1315, -452, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118784, 5796, -15437, 8202, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118823, 4261, -2265, 12, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118863, 4624, 1328, -1217, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118903, 2972, -502, -1793, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118943, 2963, -1489, -687, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
118983, 2679, -604, -695, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119023, 4019, -972, -1198, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119063, 3006, -20, -1091, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119104, 4469, 94, -887, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119144, 4015, -1040, -1391, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119184, 3658, -2663, -2235, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119224, 3483, -1036, -1099, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119264, 4710, -2014, -1359, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119305, 4539, -2626, -997, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119344, 3798, -1619, -1783, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119383, 3965, -1340, -1274, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119423, 3626, -1105, -1703, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119462, 3472, -1085, -2416, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119502, 4194, -1534, -2568, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119541, 4153, -1031, -1996, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119581, 4162, -790, -1751, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119620, 3960, -819, -1649, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
119660, 3524, -948, -1716, 88, d169527c-a036-4b4d-8c57-bb623bdbd868, , transisi, transisi_bersedekap_ke_ruku, , 
