45715, -967, 3836, -1087, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46552, -1320, 1179, 222, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46595, -87, -759, -63, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46639, 507, -4318, -1793, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46683, -18, -6210, -2896, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46727, 579, -4428, -1003, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46761, 626, -2345, -2068, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46795, 1773, -1596, -816, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46830, 1969, -635, -173, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46864, 2834, 419, -763, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46899, 4707, 1063, 961, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46933, 6793, 6276, 1357, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
46967, 9099, 1816, 717, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47002, 19241, 2586, -385, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47036, 17971, 8599, -2318, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47071, 6749, 6318, -2089, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47107, 5380, 1207, 28, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47144, 5982, 2216, -971, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47181, 5758, 4534, -2000, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47218, 3947, 4027, -900, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47255, 2170, 2863, -1090, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47291, 1515, 2822, -875, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47328, 2225, 1738, -486, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47365, 2390, 1910, -645, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47402, 2466, 1507, -1037, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47439, 3428, 5709, -3004, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47476, 2869, -9651, -4269, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47515, 4130, -2201, -1564, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47554, 3074, -2825, -2365, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47593, 4081, -1166, -2131, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47633, 3867, -1215, -2032, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47672, 3779, -723, -1485, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47711, 4283, -1337, -896, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47751, 4385, -1863, -782, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47790, 4666, 334, -1780, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47829, 4736, -1487, -1736, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47869, 3971, -1027, -2087, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47905, 4063, -1452, -1973, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47941, 4210, -903, -1689, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
47978, 3907, -1062, -1439, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48014, 4162, -988, -2072, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48051, 4132, -743, -2647, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48087, 3826, -732, -2214, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48124, 2747, -286, -2424, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48160, 3429, -137, -2006, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48197, 3106, -965, -2340, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48233, 3514, -985, -2345, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48270, 3230, -814, -2440, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48309, 3730, -246, -3023, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48348, 3587, -262, -2504, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48387, 3244, -590, -2274, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48426, 3099, -910, -2367, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48465, 3187, -624, -2414, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48504, 3060, -884, -2459, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48543, 3031, -1140, -2443, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48582, 2974, -989, -2590, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48621, 3033, -1125, -2331, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48660, 3246, -1175, -2389, 81, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
48698, 3194, -1189, -2443, 82, 546460e9-96c5-423b-9213-131e789d8d55, , transisi, transisi_bersedekap_ke_ruku, , 
