122985, 2399, 1875, 2774, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124013, 2656, 1714, 2681, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124050, 2761, 1740, 2673, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124086, 2754, 1752, 2665, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124123, 2722, 1742, 2700, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124159, 2653, 1771, 2683, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124196, 2560, 1853, 2681, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124232, 2522, 1835, 2707, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124269, 2469, 1864, 2714, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124308, 2411, 1827, 2655, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124347, 2374, 2058, 2530, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124386, 2323, 2366, 2592, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124425, 2832, 1208, 3388, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124464, 2542, 1901, 2721, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124503, 2444, 1692, 2963, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124542, 2319, 1832, 2931, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124581, 2428, 1872, 2968, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124620, 2290, 1887, 2689, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124660, 2331, 2144, 2516, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124707, 2419, 2225, 2616, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124755, 2263, 2173, 2876, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124802, 2221, 2143, 2829, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124850, 2254, 2044, 2671, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124898, 2291, 1983, 2843, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124945, 2220, 1960, 2867, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
124993, 2127, 2108, 2856, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125040, 1982, 2237, 2888, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125088, 1889, 2283, 2923, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125136, 1930, 2343, 2783, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125164, 2107, 2286, 2663, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125193, 2222, 2260, 2696, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125222, 2235, 2275, 2633, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125251, 2259, 2176, 2675, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125280, 2287, 2162, 2730, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125309, 2318, 2182, 2724, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125338, 2346, 2150, 2728, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125367, 2278, 2192, 2671, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125396, 2233, 2247, 2652, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125425, 2211, 2281, 2689, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125454, 2229, 2275, 2652, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125494, 2233, 2263, 2634, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125535, 2263, 2252, 2660, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125575, 2236, 2270, 2625, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125616, 2218, 2274, 2659, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125657, 2207, 2290, 2677, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125697, 2235, 2285, 2658, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125738, 2264, 2267, 2642, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125778, 2256, 2236, 2677, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125819, 2241, 2252, 2661, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125860, 2229, 2245, 2648, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125897, 2241, 2276, 2648, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125934, 2204, 2283, 2663, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
125971, 2215, 2242, 2647, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126008, 2241, 2257, 2654, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126045, 2298, 2272, 2616, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126083, 2267, 2285, 2620, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126120, 2238, 2284, 2629, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126157, 2219, 2318, 2630, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126194, 2236, 2265, 2648, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126231, 2242, 2264, 2634, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126269, 2282, 2257, 2640, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126307, 2250, 2269, 2669, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126346, 2221, 2265, 2644, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126384, 2217, 2280, 2627, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126423, 2218, 2268, 2679, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126462, 2235, 2265, 2676, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126500, 2251, 2265, 2625, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126539, 2240, 2247, 2665, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126577, 2257, 2242, 2663, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126616, 2264, 2244, 2635, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126655, 2278, 2261, 2645, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126702, 2223, 2217, 2684, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126749, 2240, 2266, 2662, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126796, 2247, 2322, 2598, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126843, 2230, 2251, 2651, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126890, 2233, 2246, 2708, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126937, 2239, 2193, 2694, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
126984, 2225, 2148, 2645, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127031, 2251, 2250, 2674, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127078, 2318, 2261, 2637, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127126, 2286, 2259, 2610, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127155, 2264, 2270, 2607, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127185, 2262, 2280, 2630, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127214, 2278, 2236, 2607, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127244, 2245, 2265, 2652, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127273, 2260, 2265, 2625, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127303, 2256, 2240, 2624, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127332, 2265, 2249, 2640, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127362, 2269, 2259, 2644, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127391, 2252, 2240, 2646, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127421, 2278, 2252, 2628, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127451, 2260, 2252, 2626, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127491, 2267, 2273, 2636, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127531, 2282, 2261, 2625, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127571, 2254, 2259, 2630, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127612, 2250, 2264, 2644, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127652, 2268, 2250, 2667, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127692, 2253, 2285, 2642, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127733, 2250, 2252, 2634, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127773, 2283, 2259, 2603, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127813, 2266, 2247, 2625, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127854, 2254, 2300, 2640, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127897, 2268, 2242, 2626, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127940, 2264, 2251, 2649, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
127983, 2239, 2275, 2638, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128026, 2253, 2273, 2617, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128070, 2260, 2279, 2626, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128113, 2263, 2273, 2626, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128156, 2230, 2253, 2619, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128199, 2261, 2282, 2639, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128242, 2254, 2277, 2627, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128286, 2286, 2251, 2633, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128322, 2266, 2292, 2622, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128358, 2250, 2277, 2661, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128395, 2265, 2255, 2629, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128431, 2254, 2302, 2607, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128468, 2242, 2256, 2638, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128504, 2285, 2256, 2594, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128541, 2263, 2253, 2609, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128577, 2256, 2263, 2575, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128614, 2259, 2277, 2611, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128650, 2256, 2291, 2625, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128687, 2258, 2256, 2628, 101, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128723, 2287, 2270, 2600, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128760, 2274, 2275, 2636, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128797, 2242, 2273, 2638, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128833, 2251, 2285, 2615, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128870, 2230, 2278, 2628, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128907, 2274, 2261, 2619, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128943, 2268, 2301, 2600, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
128980, 2251, 2252, 2630, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129017, 2274, 2253, 2622, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129054, 2264, 2300, 2623, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129096, 2253, 2265, 2633, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129138, 2295, 2264, 2616, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129180, 2277, 2261, 2595, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129222, 2241, 2276, 2614, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129264, 2246, 2276, 2611, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129306, 2264, 2285, 2649, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129348, 2254, 2279, 2632, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129390, 2253, 2266, 2623, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129432, 2282, 2265, 2611, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129474, 2259, 2286, 2619, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129508, 2270, 2267, 2631, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129542, 2254, 2278, 2625, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129577, 2229, 2297, 2607, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129611, 2256, 2287, 2624, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129645, 2267, 2252, 2607, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129680, 2246, 2297, 2609, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129714, 2269, 2266, 2612, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129748, 2281, 2280, 2616, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129783, 2254, 2299, 2615, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129817, 2252, 2295, 2612, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129852, 2267, 2277, 2606, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129895, 2255, 2295, 2611, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129939, 2277, 2287, 2601, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
129983, 2255, 2282, 2606, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130027, 2254, 2271, 2637, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130071, 2234, 2282, 2627, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130115, 2259, 2316, 2584, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130159, 2233, 2303, 2643, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130203, 2258, 2326, 2627, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130247, 2249, 2295, 2611, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130291, 2258, 2283, 2618, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130325, 2213, 2294, 2623, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130359, 2246, 2316, 2633, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130393, 2264, 2317, 2572, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130428, 2261, 2303, 2634, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130462, 2224, 2331, 2605, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130496, 2215, 2311, 2593, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130530, 2232, 2316, 2638, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130565, 2244, 2306, 2620, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130599, 2230, 2291, 2623, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130633, 2229, 2315, 2605, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130668, 2242, 2293, 2613, 102, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130706, 2246, 2304, 2600, 100, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130744, 2254, 2292, 2615, 100, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
130783, 2231, 2317, 2612, 100, 0edb1846-a94d-4cf9-9369-cd19e4e13e78, , duduk, duduk_tasyahud_awal, , 
