137690, 2929, 1888, 2231, 97, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140212, 2805, 2047, 2162, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140256, 2836, 2102, 2174, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140300, 2848, 2093, 2147, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140345, 2857, 2089, 2193, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140389, 2817, 2120, 2166, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140434, 2850, 2079, 2176, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140468, 2853, 2103, 2173, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140503, 2818, 2084, 2175, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140537, 2832, 2106, 2162, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140572, 2854, 2101, 2150, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140607, 2874, 2087, 2188, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140641, 2854, 2068, 2179, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140676, 2842, 2075, 2173, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140711, 2841, 2110, 2160, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140745, 2796, 2113, 2179, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140780, 2800, 2135, 2173, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140815, 2835, 2063, 2205, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140854, 2862, 2060, 2175, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140893, 2868, 2049, 2184, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140932, 2881, 2065, 2170, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
140972, 2846, 2092, 2173, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141011, 2823, 2126, 2174, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141050, 2810, 2106, 2158, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141090, 2841, 2092, 2191, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141129, 2838, 2104, 2163, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141168, 2847, 2091, 2180, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141208, 2805, 2090, 2162, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141250, 2844, 2096, 2160, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141292, 2831, 2100, 2179, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141334, 2813, 2111, 2163, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141376, 2857, 2113, 2164, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141418, 2841, 2083, 2167, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141460, 2808, 2155, 2161, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141502, 2794, 2132, 2165, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141544, 2859, 2086, 2171, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141586, 2850, 2071, 2165, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141629, 2828, 2107, 2169, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141662, 2817, 2110, 2152, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141696, 2812, 2100, 2182, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141730, 2809, 2135, 2159, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141763, 2834, 2086, 2151, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141797, 2851, 2122, 2159, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141831, 2824, 2126, 2168, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141865, 2816, 2119, 2160, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141898, 2824, 2113, 2183, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141932, 2822, 2085, 2161, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
141966, 2846, 2118, 2177, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142000, 2819, 2147, 2169, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142041, 2815, 2101, 2180, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142082, 2859, 2091, 2145, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142123, 2847, 2117, 2176, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142164, 2817, 2131, 2181, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142205, 2812, 2120, 2168, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142246, 2805, 2122, 2195, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142287, 2834, 2117, 2166, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142328, 2797, 2143, 2185, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142369, 2812, 2121, 2170, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142411, 2816, 2076, 2182, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142447, 2814, 2131, 2178, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142483, 2820, 2098, 2172, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142520, 2818, 2130, 2169, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142556, 2803, 2127, 2178, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142593, 2829, 2118, 2166, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142629, 2800, 2143, 2178, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142666, 2812, 2117, 2179, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142702, 2820, 2119, 2156, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142739, 2827, 2104, 2182, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142775, 2782, 2105, 2163, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142812, 2873, 2132, 2162, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142851, 2792, 2109, 2162, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142890, 2819, 2152, 2188, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142929, 2827, 2110, 2151, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
142969, 2828, 2106, 2177, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143008, 2833, 2138, 2174, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143047, 2791, 2132, 2168, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143087, 2828, 2100, 2171, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143126, 2833, 2110, 2177, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143165, 2814, 2144, 2168, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143205, 2815, 2132, 2175, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143245, 2820, 2114, 2180, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143286, 2850, 2108, 2180, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143326, 2825, 2123, 2163, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143367, 2827, 2122, 2174, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143407, 2829, 2151, 2166, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143448, 2824, 2115, 2157, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143488, 2827, 2126, 2158, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143529, 2822, 2111, 2176, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143569, 2850, 2102, 2156, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143610, 2818, 2103, 2195, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143646, 2848, 2132, 2197, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143682, 2840, 2117, 2133, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143718, 2831, 2146, 2140, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143755, 2784, 2153, 2160, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143791, 2836, 2148, 2140, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143827, 2848, 2092, 2161, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143863, 2863, 2082, 2173, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143900, 2843, 2114, 2171, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143936, 2828, 2143, 2167, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
143972, 2828, 2131, 2141, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144009, 2816, 2136, 2153, 95, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144048, 2799, 2137, 2154, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144087, 2832, 2155, 2136, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144126, 2809, 2118, 2126, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144165, 2824, 2163, 2148, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144204, 2800, 2147, 2168, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144243, 2838, 2127, 2151, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144282, 2847, 2120, 2162, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144321, 2804, 2143, 2163, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144360, 2762, 2183, 2154, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144399, 2812, 2140, 2135, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144437, 2840, 2156, 2166, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144476, 2822, 2140, 2153, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144515, 2822, 2151, 2152, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144554, 2796, 2121, 2165, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144593, 2826, 2161, 2144, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144632, 2804, 2186, 2152, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144671, 2804, 2142, 2151, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144710, 2809, 2121, 2177, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144749, 2802, 2140, 2159, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144788, 2829, 2149, 2150, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144827, 2796, 2127, 2155, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144865, 2794, 2198, 2152, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144904, 2814, 2111, 2153, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144942, 2814, 2144, 2173, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
144981, 2789, 2164, 2154, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145019, 2823, 2138, 2174, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145058, 2805, 2184, 2152, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145096, 2766, 2181, 2153, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145135, 2808, 2178, 2174, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145173, 2827, 2121, 2144, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145212, 2810, 2137, 2171, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145250, 2811, 2133, 2140, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145289, 2824, 2126, 2162, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145327, 2843, 2144, 2185, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145366, 2759, 2218, 2158, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145405, 2781, 2159, 2147, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145443, 2823, 2138, 2160, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145482, 2811, 2128, 2164, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145520, 2817, 2118, 2161, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145559, 2810, 2158, 2174, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145598, 2818, 2173, 2169, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145635, 2801, 2153, 2173, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145672, 2814, 2145, 2155, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145710, 2823, 2133, 2156, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145747, 2826, 2164, 2173, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
145785, 2805, 2112, 2163, 94, f40df6d7-8568-4cd9-a532-974b5f1bf491, , duduk, duduk_tasyahud_awal, , 
