159305, 1952, 2318, 2893, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159949, 2131, 2698, 2738, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
159996, 2134, 2762, 2621, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160043, 2029, 2510, 2475, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160090, 1933, 2550, 2524, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160137, 2094, 2670, 2620, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160184, 2051, 2429, 2738, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160231, 2120, 2438, 2597, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160278, 1918, 2123, 2498, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160325, 2426, 2522, 2966, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160372, 2449, 2347, 2899, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160419, 2106, 2405, 2509, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160449, 2195, 2367, 2583, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160480, 2347, 2123, 2586, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160511, 2410, 2185, 2550, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160542, 2507, 2211, 2595, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160573, 2611, 2252, 2522, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160603, 2591, 2121, 2325, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160634, 2621, 2233, 2353, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160665, 2434, 2055, 2326, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160696, 2423, 2403, 2394, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160727, 2781, 2188, 2699, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160758, 2589, 2011, 2404, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160798, 2563, 2192, 2456, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160839, 2221, 2268, 2517, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160880, 2185, 2430, 2601, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160920, 2219, 2411, 2533, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
160961, 2284, 2290, 2558, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
161002, 2313, 2270, 2576, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
161042, 2315, 2207, 2575, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
161083, 2276, 2245, 2626, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
161124, 2315, 2328, 2577, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
161165, 2254, 2375, 2655, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
161203, 2166, 2358, 2532, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
161242, 2112, 2422, 2520, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, menggaruk, 
161280, 2102, 2491, 2704, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161319, 2141, 2450, 2548, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161358, 2142, 2457, 2539, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161396, 2180, 2408, 2547, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161435, 2168, 2457, 2548, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161474, 2136, 2462, 2613, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161512, 2169, 2466, 2546, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161551, 2165, 2439, 2539, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161590, 2178, 2464, 2545, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161626, 2158, 2501, 2442, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161663, 2153, 2460, 2543, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161700, 2121, 2424, 2625, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161737, 2128, 2438, 2634, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161774, 2107, 2423, 2569, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161810, 2100, 2425, 2596, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161847, 2111, 2400, 2589, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161884, 2049, 2508, 2600, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161921, 2072, 2385, 2614, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161958, 2092, 2438, 2655, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
161998, 2074, 2412, 2610, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162039, 2121, 2390, 2652, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162079, 2102, 2404, 2657, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162120, 2074, 2426, 2649, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162161, 2101, 2477, 2603, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162201, 2072, 2443, 2595, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162242, 2048, 2433, 2622, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162282, 2032, 2480, 2645, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162323, 2031, 2502, 2634, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162364, 2021, 2467, 2634, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162399, 2035, 2475, 2627, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162434, 2027, 2512, 2620, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162470, 2023, 2474, 2589, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162505, 2020, 2489, 2634, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162541, 2022, 2515, 2632, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162576, 2034, 2501, 2584, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162612, 2059, 2521, 2595, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162647, 2027, 2518, 2596, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162683, 2035, 2535, 2609, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162718, 2007, 2556, 2620, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162754, 2011, 2542, 2574, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162798, 2019, 2534, 2584, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162843, 2003, 2547, 2557, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162888, 2011, 2547, 2552, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162933, 1972, 2571, 2581, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
162978, 1988, 2595, 2572, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163022, 1959, 2600, 2570, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163067, 1979, 2577, 2564, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163112, 1993, 2580, 2580, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163157, 2015, 2566, 2564, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163202, 1997, 2570, 2569, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163233, 1982, 2594, 2568, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163265, 1981, 2583, 2578, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163297, 1952, 2600, 2570, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163329, 1959, 2603, 2539, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163361, 1966, 2592, 2563, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163392, 1966, 2578, 2549, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163424, 1967, 2599, 2544, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163456, 2003, 2597, 2560, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163488, 1998, 2581, 2565, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163520, 1995, 2594, 2541, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163552, 1992, 2617, 2539, 80, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163592, 1968, 2570, 2555, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163632, 1976, 2625, 2548, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163672, 1971, 2622, 2546, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163712, 1966, 2597, 2531, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163752, 1974, 2597, 2555, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163792, 1997, 2594, 2527, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163832, 1986, 2596, 2564, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163872, 1994, 2647, 2510, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163912, 1983, 2606, 2537, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163953, 1990, 2606, 2554, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
163994, 1987, 2613, 2535, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164036, 1999, 2608, 2516, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164078, 2015, 2581, 2512, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164120, 1998, 2617, 2535, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164162, 1947, 2624, 2535, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164204, 1986, 2625, 2538, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164246, 2024, 2585, 2514, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164288, 2010, 2616, 2536, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164330, 2000, 2591, 2523, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164372, 1960, 2621, 2523, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164406, 2001, 2598, 2526, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164440, 1993, 2621, 2533, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164475, 1984, 2612, 2510, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164509, 2007, 2620, 2521, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164544, 2023, 2581, 2506, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164578, 1987, 2625, 2522, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164613, 2013, 2609, 2531, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164647, 1993, 2619, 2519, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164682, 1999, 2619, 2527, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164716, 2011, 2638, 2494, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164751, 2009, 2591, 2532, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164791, 2005, 2597, 2485, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164831, 1991, 2652, 2502, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164871, 2015, 2612, 2551, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164911, 2024, 2612, 2495, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164952, 1998, 2616, 2497, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
164992, 1975, 2627, 2481, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165032, 1985, 2645, 2510, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165072, 1994, 2646, 2512, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165112, 2009, 2639, 2517, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165153, 2003, 2624, 2482, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165192, 2000, 2624, 2492, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165231, 1964, 2652, 2518, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165271, 1972, 2633, 2479, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165310, 1971, 2646, 2478, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165350, 1986, 2628, 2493, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165389, 1960, 2677, 2477, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165428, 1953, 2635, 2518, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165468, 1963, 2641, 2487, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165507, 2007, 2669, 2481, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165547, 1964, 2668, 2491, 81, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165583, 1993, 2663, 2495, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165620, 1961, 2652, 2485, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165656, 1952, 2657, 2502, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165693, 1945, 2663, 2481, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165730, 1944, 2685, 2470, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165766, 1974, 2669, 2493, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165803, 1959, 2667, 2488, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165840, 1954, 2650, 2492, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165876, 1948, 2678, 2508, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165913, 1950, 2678, 2475, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165950, 1936, 2691, 2458, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
165991, 1948, 2703, 2485, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166033, 1971, 2694, 2478, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166075, 1963, 2644, 2504, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166117, 1951, 2666, 2489, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166159, 1919, 2686, 2495, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166200, 1946, 2696, 2462, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166242, 1975, 2682, 2467, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166284, 1968, 2674, 2453, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166326, 1942, 2673, 2497, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166368, 1951, 2685, 2483, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166406, 1943, 2696, 2484, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166444, 1946, 2684, 2479, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166482, 1953, 2665, 2474, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166521, 1969, 2675, 2484, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166559, 1976, 2688, 2488, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166597, 1949, 2711, 2487, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166636, 1917, 2682, 2488, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166674, 1942, 2695, 2495, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166712, 1956, 2682, 2469, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166751, 1947, 2643, 2503, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166787, 1957, 2661, 2476, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166823, 1933, 2693, 2489, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166859, 1964, 2692, 2498, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166896, 1948, 2692, 2473, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166932, 1946, 2676, 2447, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
166968, 1922, 2681, 2485, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167004, 1942, 2703, 2498, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167041, 1937, 2696, 2483, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167077, 1967, 2685, 2475, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167113, 1941, 2690, 2470, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167150, 1929, 2693, 2516, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167191, 1949, 2689, 2418, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167233, 1955, 2701, 2464, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167275, 1933, 2685, 2488, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167317, 1967, 2673, 2489, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167359, 1937, 2687, 2467, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167401, 1939, 2667, 2488, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167443, 1945, 2683, 2444, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
167485, 1940, 2695, 2494, 82, e90fa50b-3433-4013-a93b-828f5ed79920, , duduk, duduk_tasyahud_awal, , 
