190038, 2375, 2583, 2209, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194556, 2217, 2740, 2203, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194594, 2173, 2756, 2168, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194631, 2181, 2733, 2207, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194669, 2188, 2747, 2210, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194706, 2186, 2728, 2178, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194744, 2206, 2754, 2177, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194781, 2187, 2751, 2194, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194819, 2168, 2752, 2162, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194856, 2199, 2789, 2168, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194894, 2195, 2748, 2184, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194932, 2215, 2741, 2182, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
194970, 2173, 2771, 2160, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195008, 2149, 2775, 2209, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195046, 2195, 2776, 2154, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195084, 2225, 2750, 2116, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195122, 2147, 2768, 2211, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195160, 2163, 2739, 2165, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195199, 2186, 2809, 2193, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195237, 2187, 2730, 2180, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195275, 2194, 2740, 2166, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195313, 2196, 2766, 2178, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195351, 2148, 2760, 2175, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195389, 2173, 2776, 2163, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195428, 2183, 2790, 2168, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195467, 2178, 2752, 2177, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195507, 2174, 2761, 2162, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195547, 2169, 2774, 2193, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195586, 2188, 2778, 2176, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195626, 2191, 2738, 2157, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195666, 2184, 2749, 2183, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195705, 2181, 2769, 2184, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195745, 2188, 2790, 2174, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195785, 2165, 2766, 2194, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195824, 2183, 2776, 2180, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195864, 2192, 2751, 2174, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195904, 2194, 2759, 2165, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195944, 2186, 2774, 2171, 92, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
195983, 2185, 2772, 2158, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196023, 2184, 2745, 2206, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196062, 2177, 2759, 2170, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196102, 2177, 2770, 2182, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196142, 2166, 2763, 2181, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196181, 2221, 2763, 2137, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196221, 2215, 2754, 2166, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196260, 2171, 2748, 2181, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196300, 2188, 2740, 2169, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196340, 2184, 2775, 2188, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196379, 2171, 2798, 2167, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196419, 2173, 2768, 2155, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196459, 2174, 2743, 2200, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196497, 2201, 2711, 2186, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196535, 2214, 2722, 2172, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196573, 2230, 2770, 2177, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196612, 2237, 2697, 2165, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196650, 2197, 2757, 2181, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196688, 2202, 2739, 2183, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196727, 2244, 2722, 2181, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196765, 2241, 2713, 2206, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196803, 2196, 2710, 2216, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196842, 2192, 2739, 2171, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196880, 2196, 2753, 2202, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196918, 2179, 2751, 2176, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196957, 2210, 2750, 2181, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
196994, 2195, 2723, 2163, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197032, 2247, 2741, 2172, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197069, 2204, 2729, 2137, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197107, 2201, 2712, 2198, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197144, 2204, 2767, 2181, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197182, 2197, 2787, 2160, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197219, 2193, 2730, 2169, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197257, 2202, 2777, 2174, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197294, 2164, 2733, 2187, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197332, 2155, 2770, 2164, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197369, 2198, 2768, 2165, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197407, 2191, 2740, 2160, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197445, 2200, 2748, 2164, 93, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197482, 2160, 2754, 2174, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197519, 2199, 2781, 2182, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197557, 2195, 2770, 2154, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197594, 2208, 2737, 2159, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197631, 2184, 2756, 2189, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197669, 2183, 2777, 2156, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197706, 2183, 2745, 2177, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197744, 2209, 2752, 2171, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197781, 2207, 2758, 2143, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197818, 2175, 2780, 2176, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197856, 2172, 2787, 2170, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
197893, 2194, 2750, 2149, 94, 5f7df418-a59a-4b0d-b5e6-647c146f7aee, , duduk, duduk_tasyahud_awal, , 
