116606, 1552, 1904, 3237, 69, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120180, 2418, 1882, 2776, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120221, 2411, 1872, 2767, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120262, 2422, 1894, 2800, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120303, 2447, 1853, 2810, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120344, 2437, 1854, 2787, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120385, 2464, 1887, 2804, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120426, 2400, 1882, 2770, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120462, 2426, 1889, 2812, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120498, 2441, 1860, 2778, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120534, 2432, 1895, 2791, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120570, 2450, 1825, 2768, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120607, 2447, 1933, 2811, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120643, 2435, 1872, 2765, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120679, 2426, 1867, 2809, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120715, 2440, 1825, 2767, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120751, 2444, 1954, 2788, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120788, 2455, 1863, 2742, 66, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120826, 2415, 1847, 2818, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120865, 2475, 1907, 2773, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120904, 2437, 1864, 2765, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120943, 2421, 1920, 2804, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
120982, 2447, 1873, 2773, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121021, 2436, 1886, 2790, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121060, 2441, 1843, 2796, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121099, 2447, 1919, 2784, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121138, 2456, 1845, 2790, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121177, 2431, 1859, 2801, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121212, 2437, 1916, 2772, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121247, 2442, 1811, 2802, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121282, 2433, 1894, 2796, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121317, 2449, 1872, 2804, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121352, 2441, 1872, 2796, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121387, 2463, 1867, 2769, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121422, 2429, 1875, 2791, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121457, 2446, 1846, 2771, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121492, 2462, 1867, 2790, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121527, 2447, 1859, 2784, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121562, 2429, 1876, 2783, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121602, 2440, 1877, 2789, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121643, 2453, 1882, 2806, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121684, 2453, 1848, 2778, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121724, 2474, 1853, 2812, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121765, 2447, 1894, 2805, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121806, 2443, 1860, 2788, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121846, 2413, 1879, 2795, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121887, 2421, 1917, 2783, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121928, 2442, 1817, 2780, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
121969, 2446, 1905, 2802, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122005, 2432, 1895, 2800, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122042, 2432, 1857, 2774, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122078, 2460, 1896, 2780, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122115, 2434, 1887, 2795, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122152, 2407, 1890, 2757, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122188, 2441, 1875, 2786, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122225, 2431, 1890, 2772, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122262, 2443, 1864, 2787, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122298, 2426, 1893, 2798, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122335, 2439, 1868, 2766, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122372, 2416, 1867, 2803, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122414, 2457, 1897, 2790, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122456, 2422, 1857, 2787, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122498, 2449, 1906, 2808, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122540, 2444, 1859, 2788, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122582, 2424, 1903, 2797, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122624, 2436, 1888, 2786, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122666, 2422, 1903, 2791, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122708, 2440, 1854, 2771, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122750, 2443, 1859, 2784, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122793, 2439, 1895, 2798, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122830, 2436, 1875, 2816, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122868, 2437, 1870, 2776, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122906, 2456, 1859, 2782, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122943, 2461, 1842, 2790, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
122981, 2412, 1878, 2778, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123019, 2423, 1848, 2788, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123056, 2441, 1889, 2786, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123094, 2430, 1824, 2787, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123132, 2440, 1895, 2811, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123170, 2442, 1849, 2794, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123209, 2467, 1848, 2793, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123249, 2464, 1880, 2809, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123289, 2428, 1870, 2790, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123329, 2450, 1901, 2790, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123369, 2448, 1836, 2804, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123408, 2448, 1847, 2796, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123448, 2456, 1893, 2819, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123488, 2413, 1839, 2804, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123528, 2436, 1890, 2804, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123568, 2419, 1855, 2801, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123608, 2412, 1858, 2801, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123644, 2400, 1889, 2785, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123681, 2460, 1894, 2796, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123718, 2437, 1863, 2807, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123755, 2449, 1814, 2787, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123792, 2404, 1870, 2791, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123828, 2396, 1924, 2795, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123865, 2407, 1894, 2818, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123902, 2408, 1860, 2800, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123939, 2423, 1900, 2796, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
123976, 2425, 1840, 2795, 65, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124011, 2434, 1901, 2797, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124047, 2413, 1838, 2777, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124083, 2446, 1929, 2803, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124119, 2446, 1853, 2775, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124155, 2431, 1850, 2782, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124190, 2457, 1889, 2815, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124226, 2459, 1816, 2767, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124262, 2442, 1878, 2836, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124298, 2461, 1870, 2822, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124334, 2433, 1885, 2781, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124370, 2444, 1858, 2791, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124410, 2437, 1861, 2787, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124450, 2451, 1876, 2796, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124491, 2448, 1865, 2786, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124531, 2441, 1871, 2797, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124572, 2433, 1849, 2803, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124612, 2428, 1876, 2792, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124652, 2438, 1866, 2794, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124693, 2424, 1883, 2820, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124733, 2452, 1857, 2769, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124774, 2450, 1883, 2764, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124814, 2431, 1897, 2779, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124854, 2459, 1863, 2789, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124894, 2455, 1856, 2819, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124934, 2442, 1891, 2799, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
124975, 2414, 1889, 2796, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
125015, 2440, 1871, 2781, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
125055, 2460, 1831, 2791, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
125095, 2425, 1881, 2779, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
125135, 2417, 1868, 2798, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
125176, 2428, 1893, 2781, 64, ea000412-5613-4643-a4c9-37444483b830, , duduk, duduk_tasyahud_awal, , 
