161879, 3117, 731, 2758, 82, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
165083, -4031, -606, 958, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165122, -3659, -67, 996, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165161, -3538, 469, 58, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165201, -2795, -410, -10, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165240, -2883, -48, 422, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165279, -2658, -642, 476, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165319, -2530, -1123, 519, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165358, -2591, -819, 549, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165398, -2329, -302, 849, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165438, -1892, 1671, 1266, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165478, -1137, 4242, 2310, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165518, 213, 4603, 3044, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165557, 610, 3737, 4391, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165597, 2060, 2813, 4302, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165637, 1677, 2236, 3856, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165677, 2559, 1697, 4778, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165717, 2620, 1352, 3565, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165752, 2815, 754, 3001, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165788, 3870, 3054, 6988, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165823, 1940, -509, 1484, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165859, 2832, 278, 3814, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165894, 2916, 1066, 3409, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165930, 2343, 94, 3022, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
165965, 2854, 517, 3347, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
166001, 2708, 1033, 2961, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
166036, 2821, 957, 3101, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, menggaruk, 
166072, 2668, 1031, 3007, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166108, 2642, 1061, 2875, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166150, 2772, 1000, 3027, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166192, 2756, 912, 2958, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166234, 2748, 953, 3047, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166276, 2624, 1049, 3066, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166318, 2634, 1098, 3046, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166360, 2629, 1053, 2998, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166402, 2632, 1086, 3039, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166444, 2589, 1036, 3008, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166486, 2644, 1080, 3086, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166528, 2680, 989, 3024, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166563, 2630, 1041, 3057, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166599, 2666, 1016, 3015, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166634, 2677, 1030, 3019, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166670, 2691, 1007, 3023, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166705, 2614, 1027, 3024, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166741, 2661, 1019, 3036, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166776, 2661, 1039, 2999, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166812, 2664, 1014, 3044, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166847, 2654, 1003, 3055, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166883, 2628, 977, 3036, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166921, 2656, 1018, 3072, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166960, 2667, 1024, 3023, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
166998, 2655, 996, 3068, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167037, 2684, 972, 3062, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167075, 2644, 1024, 3042, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167114, 2648, 1013, 3066, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167152, 2654, 996, 2979, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167191, 2633, 1000, 3106, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167229, 2656, 959, 3001, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167268, 2659, 996, 3069, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167307, 2664, 988, 3025, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167352, 2661, 978, 3069, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167397, 2689, 975, 3002, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167442, 2671, 991, 3072, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167487, 2667, 981, 3023, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167533, 2637, 1039, 3052, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167578, 2691, 966, 3044, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167623, 2669, 1013, 3024, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167668, 2649, 971, 3038, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167713, 2646, 972, 2993, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167759, 2630, 1000, 3107, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167793, 2668, 916, 2988, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167828, 2691, 1005, 3057, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167862, 2669, 948, 3004, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167897, 2697, 969, 3012, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167931, 2693, 952, 3030, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
167966, 2682, 969, 3007, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168000, 2699, 979, 3062, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168035, 2706, 951, 2959, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168069, 2703, 942, 3051, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168104, 2755, 886, 3035, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168142, 2713, 1015, 3044, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168180, 2675, 973, 3027, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168218, 2727, 918, 2979, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168256, 2728, 926, 3023, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168294, 2704, 910, 2997, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168333, 2708, 942, 2987, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168371, 2725, 924, 3005, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168409, 2724, 922, 2994, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168447, 2730, 942, 3058, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168485, 2710, 931, 2963, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168524, 2700, 939, 3030, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168559, 2717, 913, 2991, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168594, 2716, 985, 2979, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168629, 2726, 890, 2982, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168665, 2727, 907, 2977, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168700, 2736, 899, 3001, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168735, 2729, 921, 2979, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168771, 2726, 920, 3001, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168806, 2727, 896, 2948, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168841, 2733, 926, 3010, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168877, 2726, 939, 3001, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168914, 2717, 938, 3022, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168951, 2763, 919, 2986, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
168988, 2760, 939, 3000, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169025, 2703, 898, 3021, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169062, 2734, 933, 2992, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169099, 2734, 917, 2972, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169136, 2719, 936, 3016, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169173, 2710, 936, 2992, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169210, 2715, 909, 2999, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169247, 2704, 922, 2991, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169285, 2717, 941, 2997, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169325, 2708, 925, 2992, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169365, 2749, 912, 2948, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169405, 2715, 944, 3042, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169446, 2730, 932, 2981, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169486, 2737, 914, 3032, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169526, 2761, 901, 2999, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169567, 2755, 937, 3029, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169607, 2738, 921, 2985, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169647, 2713, 954, 3009, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169688, 2716, 953, 3011, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169729, 2721, 940, 2989, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169771, 2751, 910, 3002, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169812, 2710, 906, 2996, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169854, 2751, 909, 3038, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169895, 2731, 945, 2989, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169937, 2718, 888, 2977, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
169978, 2738, 917, 3026, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
170020, 2694, 946, 3002, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
170061, 2715, 944, 2966, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
170103, 2679, 960, 3017, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
170140, 2697, 919, 3024, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
170178, 2742, 930, 2984, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
170216, 2684, 940, 3025, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
170254, 2705, 963, 3015, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
170292, 2718, 949, 2996, 81, 5856d382-2845-470f-9673-86a86941fd5f, , duduk, duduk_tasyahud_awal, , 
