275350, 2778, 1823, 2491, 70, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278040, 2759, 1897, 2454, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278085, 2797, 1901, 2410, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278119, 2778, 1888, 2447, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278154, 2788, 1911, 2465, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278188, 2770, 1857, 2465, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278223, 2781, 1871, 2481, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278258, 2751, 1853, 2494, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278292, 2752, 1874, 2476, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278327, 2749, 1914, 2441, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278361, 2779, 1866, 2408, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278396, 2786, 1901, 2432, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278431, 2765, 1879, 2451, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278467, 2791, 1867, 2447, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278504, 2815, 1850, 2444, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278540, 2806, 1873, 2433, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278577, 2804, 1876, 2426, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278614, 2786, 1884, 2464, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278650, 2768, 1885, 2417, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278687, 2784, 1882, 2425, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278724, 2789, 1855, 2416, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278760, 2790, 1873, 2434, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278797, 2796, 1844, 2426, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278834, 2787, 1882, 2418, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278872, 2781, 1864, 2425, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278911, 2803, 1895, 2428, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278949, 2779, 1880, 2438, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
278988, 2758, 1880, 2449, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279026, 2777, 1880, 2430, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279065, 2777, 1900, 2436, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279103, 2809, 1867, 2414, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279142, 2795, 1857, 2421, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279180, 2794, 1871, 2442, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279219, 2764, 1891, 2442, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279258, 2792, 1897, 2448, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279298, 2788, 1896, 2432, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279337, 2778, 1859, 2461, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279377, 2766, 1871, 2432, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279417, 2784, 1907, 2417, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279456, 2779, 1866, 2428, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279496, 2773, 1882, 2423, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279535, 2783, 1894, 2419, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279575, 2781, 1914, 2432, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279615, 2797, 1903, 2437, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279651, 2793, 1913, 2465, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279687, 2769, 1909, 2447, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279724, 2755, 1896, 2435, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279760, 2771, 1858, 2448, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279796, 2792, 1893, 2433, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279833, 2761, 1925, 2431, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279869, 2774, 1868, 2469, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279905, 2761, 1911, 2431, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279942, 2785, 1894, 2423, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
279978, 2754, 1880, 2458, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280015, 2769, 1892, 2447, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280057, 2780, 1899, 2453, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280100, 2757, 1906, 2450, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280142, 2769, 1879, 2444, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280185, 2747, 1906, 2465, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280227, 2763, 1899, 2470, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280270, 2786, 1865, 2444, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280312, 2746, 1894, 2437, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280355, 2750, 1883, 2468, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280397, 2765, 1895, 2440, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280440, 2762, 1922, 2443, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280475, 2747, 1917, 2442, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280511, 2752, 1904, 2432, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280546, 2780, 1892, 2449, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280582, 2750, 1901, 2452, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280617, 2763, 1906, 2448, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280653, 2760, 1906, 2456, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280688, 2745, 1899, 2461, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280724, 2753, 1924, 2443, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280759, 2763, 1885, 2445, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280795, 2770, 1903, 2452, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280831, 2773, 1887, 2458, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280871, 2765, 1875, 2480, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280912, 2787, 1889, 2418, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280952, 2771, 1926, 2423, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
280993, 2732, 1896, 2464, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281034, 2766, 1949, 2446, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281074, 2737, 1944, 2428, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281115, 2742, 1909, 2470, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281155, 2756, 1877, 2460, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281196, 2754, 1911, 2452, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281237, 2761, 1914, 2440, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281277, 2760, 1890, 2443, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281317, 2767, 1928, 2439, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281358, 2747, 1905, 2448, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281398, 2770, 1930, 2418, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281439, 2771, 1902, 2432, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281479, 2762, 1888, 2464, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281519, 2784, 1884, 2440, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281560, 2785, 1886, 2447, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281600, 2781, 1874, 2454, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281641, 2757, 1885, 2433, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281676, 2773, 1883, 2429, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281711, 2785, 1888, 2440, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281747, 2800, 1878, 2433, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281782, 2795, 1894, 2433, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281817, 2776, 1887, 2450, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281853, 2787, 1870, 2417, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281888, 2784, 1882, 2441, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281923, 2800, 1883, 2448, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281959, 2793, 1865, 2401, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
281994, 2794, 1857, 2456, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282030, 2806, 1887, 2444, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282070, 2800, 1864, 2402, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282111, 2787, 1869, 2441, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282151, 2787, 1864, 2421, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282192, 2786, 1866, 2412, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282232, 2798, 1879, 2439, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282273, 2804, 1867, 2431, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282313, 2805, 1861, 2425, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282354, 2765, 1876, 2436, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282394, 2827, 1851, 2420, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282435, 2812, 1873, 2413, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282471, 2794, 1889, 2416, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282508, 2784, 1871, 2385, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282545, 2822, 1869, 2429, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282581, 2812, 1891, 2426, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282618, 2784, 1862, 2439, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282655, 2813, 1874, 2422, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282692, 2807, 1865, 2416, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282728, 2798, 1894, 2410, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282765, 2824, 1872, 2413, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282802, 2811, 1855, 2430, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282839, 2805, 1870, 2446, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282881, 2782, 1884, 2428, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282924, 2791, 1872, 2436, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
282967, 2780, 1918, 2400, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
283010, 2785, 1853, 2447, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
283053, 2817, 1883, 2432, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
283095, 2766, 1873, 2418, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
283138, 2780, 1860, 2419, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
283181, 2786, 1864, 2439, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
283224, 2773, 1883, 2453, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
283267, 2790, 1883, 2428, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
283303, 2781, 1857, 2438, 69, c44f331e-6b73-480c-a8f9-d9c1c68b1731, , duduk, duduk_tasyahud_awal, , 
