94199, 3909, 1320, 48, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95243, -2345, -2555, -565, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95281, -2444, -2841, -514, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95319, -2305, -2843, -879, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95358, -2322, -2983, -707, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95394, -2391, -3270, -875, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95430, -2419, -3291, -700, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95466, -2424, -3287, -698, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95503, -2347, -3139, -602, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95539, -2407, -3031, -491, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95575, -2594, -3012, -529, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95611, -2739, -3064, -520, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95648, -2832, -3116, -510, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95684, -2835, -3082, -465, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95720, -2792, -3066, -445, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95757, -2769, -3055, -465, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95796, -2747, -3009, -445, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95835, -2699, -3018, -387, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95874, -2730, -2991, -350, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95913, -2738, -3017, -434, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95952, -2701, -2999, -428, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
95991, -2669, -3023, -389, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96030, -2620, -3051, -349, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96069, -2655, -3043, -374, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96108, -2637, -3082, -319, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96148, -2410, -2837, -456, 103, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96189, -2625, -2733, -379, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96231, -2637, -2266, -122, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96273, -2940, -2113, 155, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96315, -3110, -1681, 575, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96357, -3030, -1398, 1212, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96399, -2846, -989, 1868, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96441, -2643, -193, 2419, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96483, -2587, -385, 2948, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96525, -2516, 170, 3053, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96567, -2284, 334, 3431, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96607, -2199, 887, 4005, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96647, -1673, 1085, 3988, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96687, -1568, 1696, 4279, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96727, -1662, 2119, 4167, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96767, -863, 2179, 4221, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96807, -998, 2356, 4153, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96847, -713, 2449, 4122, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96887, -851, 2868, 3034, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96927, -492, 3659, 3037, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
96967, -360, 3445, 2711, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97008, -1049, 3900, 609, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97045, -456, 4934, 1916, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97083, -381, 3878, 1442, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97121, -93, 4242, 1199, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97159, -625, 4479, 458, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97197, -605, 4215, 492, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97235, -657, 4020, 568, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97273, -846, 4105, 161, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97311, -1236, 5142, -317, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97349, -938, 4238, -42, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97387, -736, 4433, -124, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97420, -640, 3775, -132, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97453, -282, 3614, -251, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97486, -602, 3196, -371, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97519, -350, 3479, -225, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97552, -575, 3673, -626, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97586, -766, 3993, -907, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97619, -760, 3980, -998, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97652, -603, 3942, -804, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97685, -192, 3219, -1187, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97718, -85, 4002, -908, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97752, -1315, 2924, -1579, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97797, -3327, 3846, -2722, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97843, -1719, 3726, -2419, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97889, -1791, 3801, -2422, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97935, -1793, 3316, -2078, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
97981, -1377, 3113, -2075, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
98026, -1401, 3110, -2051, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
98072, -1432, 3109, -2117, 105, ed2269da-61e2-4f3c-9a35-dcb9dcc9af8a, , takbir, takbiratulihram, , 
