50319, 4146, 366, -565, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51676, -2820, -3120, -14, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51714, -2916, -2828, 73, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51751, -2981, -2734, 96, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51789, -3106, -2613, 193, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51830, -3145, -2605, 210, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51872, -3180, -2484, 305, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51914, -3190, -2605, 397, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51956, -3215, -2577, 340, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
51998, -3192, -2519, 331, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52039, -3217, -2574, 318, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52081, -3160, -2597, 364, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52123, -3179, -2547, 426, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52165, -3191, -2536, 387, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52207, -3275, -2494, 418, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52249, -3236, -2552, 409, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52282, -3254, -2453, 467, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52316, -3256, -2483, 434, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52350, -3247, -2486, 438, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52384, -3240, -2416, 435, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52418, -3235, -2479, 440, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52451, -3240, -2488, 462, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52485, -3242, -2486, 450, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52519, -3230, -2524, 415, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52553, -3219, -2492, 428, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52587, -3216, -2482, 402, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52627, -3230, -2497, 468, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52668, -3267, -2488, 473, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52708, -3236, -2476, 483, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52749, -3261, -2457, 472, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52789, -3245, -2450, 464, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52830, -3207, -2458, 456, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52870, -3230, -2454, 501, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52911, -3242, -2435, 459, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52951, -3235, -2458, 460, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
52992, -3270, -2434, 472, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53027, -3255, -2456, 468, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53062, -3274, -2408, 456, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53098, -3274, -2416, 468, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53133, -3285, -2434, 492, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53169, -3298, -2420, 488, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53204, -3283, -2436, 459, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53240, -3279, -2426, 500, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53275, -3277, -2447, 509, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53311, -3274, -2418, 494, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53346, -3248, -2402, 509, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53382, -3291, -2393, 514, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53422, -3340, -2347, 513, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53462, -3341, -2361, 593, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53503, -3324, -2357, 545, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53543, -3359, -2358, 541, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53584, -3330, -2378, 539, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53624, -3316, -2362, 529, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53664, -3313, -2335, 514, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53705, -3288, -2356, 543, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53745, -3283, -2342, 529, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53786, -3312, -2348, 525, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53824, -3336, -2362, 527, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53862, -3345, -2356, 520, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53900, -3319, -2372, 528, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53938, -3273, -2387, 495, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
53976, -3238, -2387, 460, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54014, -3181, -2394, 395, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54052, -3123, -2359, 349, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54090, -2801, -2301, 204, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54128, -2587, -2071, -139, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54166, -2470, -1750, -129, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54205, -2330, -1135, 107, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54243, -2349, -252, 757, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54281, -2470, 286, 1284, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54319, -2112, 1344, 2427, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54357, -2878, 2254, 3342, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54395, -2453, 3187, 3435, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54433, -2394, 3117, 4600, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54471, -1905, 2842, 4374, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54509, -1728, 3586, 4154, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54547, -1184, 3197, 3637, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54585, -1270, 3527, 3319, 85, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54631, -1147, 2898, 3018, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54677, -967, 3696, 2346, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54724, -1214, 3633, 2402, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54770, -1050, 3321, 1956, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54817, -1016, 3751, 1752, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54863, -1206, 3605, 1673, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54909, -1058, 3586, 1666, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
54956, -1105, 3612, 1626, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55002, -1036, 3520, 1724, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55049, -1011, 3634, 1654, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55081, -1022, 3540, 1718, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55113, -955, 3511, 1688, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55146, -971, 3652, 1803, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55178, -931, 3461, 1832, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55211, -996, 3732, 1702, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55243, -998, 3531, 1807, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55276, -983, 3521, 1744, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55308, -930, 3569, 1808, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55341, -959, 3573, 1775, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55373, -965, 3710, 1792, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55406, -892, 3452, 1806, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55443, -949, 3802, 1726, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55481, -926, 3616, 1701, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55518, -870, 3562, 1752, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55556, -938, 3950, 1575, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55593, -910, 3714, 1525, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55631, -975, 3863, 1446, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55668, -1072, 3937, 1655, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55706, -908, 3685, 1734, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55743, -914, 3660, 1709, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55781, -955, 3761, 1407, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55819, -815, 4097, 189, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55857, -1290, 4289, -1185, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55895, -781, 3684, -1129, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55933, -995, 4018, -925, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
55971, -594, 3033, -834, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56010, -725, 3081, -1328, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56048, -719, 3486, -1029, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56086, -852, 3800, -1456, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56124, -845, 4087, -1452, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56162, -849, 3689, -1389, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56201, -926, 3816, -1601, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56239, -869, 3773, -1572, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56277, -851, 3765, -1632, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56315, -820, 3647, -1544, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56353, -872, 3650, -1796, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56391, -828, 3633, -1640, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56429, -845, 3537, -1701, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56467, -785, 3547, -1673, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56505, -739, 3305, -1568, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56543, -690, 3040, -1631, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56581, -657, 3279, -2070, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56622, -704, 3267, -1988, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56664, -865, 2711, -2532, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56705, -732, 2811, -2415, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56747, -906, 3245, -2168, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56789, -1227, 3830, -2388, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56830, -1538, 2923, -2520, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56872, -1719, 3747, -3707, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56913, -1365, 3134, -2769, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
56955, -1310, 2710, -2912, 86, ec5906d7-cd62-4763-94d3-2e6f76bb886b, , takbir, takbiratulihram, , 
