64443, 3942, 1323, -178, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66807, -2286, 2040, 3147, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66846, -2284, 1264, 3412, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66885, -1714, 1899, 3441, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66924, -1735, 1796, 3821, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66963, -1200, 3435, 3272, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66999, -1432, 3344, 3275, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67036, -1025, 2773, 2281, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67072, -807, 5198, 1769, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67109, -1732, 3814, 2316, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67145, -1290, 3862, 1566, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67182, -1199, 3646, 844, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67218, -1298, 3664, 309, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67255, -1213, 3813, 111, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67291, -1056, 3990, 109, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67328, -971, 3725, 170, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67365, -1158, 3961, -66, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67403, -1354, 3649, -178, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67441, -1157, 3730, -443, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67479, -1163, 3928, -485, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67517, -1280, 3559, -555, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67555, -1013, 3771, -397, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67593, -831, 3767, -484, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67631, -992, 3920, -673, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67669, -1237, 4209, -697, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67707, -950, 4382, -368, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67746, -782, 3779, -774, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67781, -1462, 2988, -1044, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67817, -1154, 4094, -1135, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67853, -1332, 3997, -1089, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67889, -1153, 3768, -1212, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67925, -1021, 3606, -1242, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67961, -1014, 3736, -1242, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
67997, -1257, 3851, -1425, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
68033, -1076, 3773, -1487, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
68069, -1218, 3804, -1416, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
