56392, 4262, 468, 110, 88, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59441, -3773, -1303, 886, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59477, -3757, -1266, 929, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59513, -3759, -1192, 951, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59549, -3796, -1209, 914, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59585, -3790, -1187, 955, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59621, -3779, -1163, 998, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59661, -3769, -1131, 993, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59701, -3788, -1100, 1062, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59741, -3808, -1070, 1081, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59781, -3783, -1072, 1069, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59822, -3822, -1038, 1172, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59862, -3777, -986, 1225, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59902, -3784, -915, 1299, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59942, -3758, -864, 1320, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
59982, -3754, -811, 1317, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60023, -3759, -793, 1349, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60062, -3795, -787, 1399, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60101, -3759, -779, 1399, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60140, -3763, -746, 1422, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60180, -3774, -737, 1480, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60219, -3716, -687, 1536, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60258, -3738, -619, 1509, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60297, -3699, -601, 1554, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60337, -3652, -528, 1537, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60376, -3683, -539, 1662, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60415, -3732, -526, 1673, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60455, -3671, -487, 1636, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60491, -3641, -461, 1711, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60528, -3649, -360, 1778, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60564, -3646, -358, 1796, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60601, -3593, -353, 1856, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60638, -3607, -281, 1883, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60674, -3589, -304, 1959, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60711, -3578, -247, 2023, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60747, -3546, -209, 2015, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60784, -3526, -230, 2088, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60821, -3475, -76, 2129, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60868, -3434, -52, 2123, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60915, -3433, -74, 2196, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
60962, -3449, -33, 2246, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61009, -3431, -13, 2267, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61056, -3349, 21, 2311, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61103, -3351, 99, 2327, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61150, -3309, 126, 2396, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61197, -3260, 170, 2422, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61244, -3271, 199, 2489, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61292, -3207, 202, 2504, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61320, -3207, 231, 2484, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61349, -3204, 288, 2522, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61378, -3139, 338, 2607, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61407, -3140, 328, 2630, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61436, -3115, 447, 2634, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61465, -3046, 459, 2667, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61494, -2987, 472, 2643, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61523, -2979, 479, 2686, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61552, -2995, 518, 2747, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61581, -2924, 566, 2795, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61610, -2879, 621, 2770, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61651, -2841, 701, 2842, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61693, -2816, 697, 2832, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61735, -2780, 760, 2903, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61776, -2704, 805, 2954, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61818, -2671, 818, 2979, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61860, -2515, 881, 2991, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61901, -2469, 989, 3016, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61943, -2473, 1021, 3112, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
61985, -2348, 968, 3162, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62027, -2254, 1034, 3271, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62064, -2164, 1155, 3391, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62101, -2073, 1115, 3288, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62139, -1969, 1123, 3447, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62176, -1917, 1271, 3448, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62214, -1793, 1300, 3399, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62251, -1657, 1320, 3479, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62289, -1744, 1337, 3551, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62326, -1464, 1299, 3625, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62364, -1473, 1393, 3545, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62401, -1367, 1361, 3756, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62439, -1383, 1406, 3655, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62480, -1183, 1451, 3759, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62522, -1176, 1341, 3783, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62563, -1087, 1427, 3808, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62605, -966, 1539, 3826, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62646, -908, 1475, 3835, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62688, -831, 1588, 3728, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62729, -758, 1570, 3682, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62771, -730, 1500, 3792, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62812, -634, 1598, 3651, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62854, -600, 1561, 3772, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62892, -496, 1521, 3870, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62930, -498, 1524, 3818, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
62968, -325, 1456, 3831, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63006, -314, 1308, 3928, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63044, -35, 1324, 3684, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63082, 289, 1975, 3540, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63120, 341, 1751, 3783, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63158, 499, 1974, 3565, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63196, 496, 2206, 3338, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63235, 752, 2480, 3430, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63270, 762, 2191, 3179, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63305, 902, 2681, 2816, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63340, 1106, 3096, 2931, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63375, 1259, 3138, 2995, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63410, 1260, 3596, 2667, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63445, 1528, 3230, 2694, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63480, 1235, 3113, 2419, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63515, 900, 3297, 2200, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63550, 986, 3582, 1925, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63585, 1182, 4081, 2071, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63620, 1085, 3964, 1832, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63672, 985, 3808, 1461, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63724, 952, 3835, 1424, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63776, 911, 3834, 1217, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63828, 843, 3746, 1118, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63881, 796, 3822, 1242, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63933, 810, 3655, 1545, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
63985, 805, 3835, 1239, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64037, 691, 3433, 1003, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64089, 706, 3903, 1192, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64142, 850, 4066, 1496, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64171, 888, 4003, 1342, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64201, 910, 3969, 1092, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64230, 892, 3769, 1110, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64260, 837, 3750, 1070, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64290, 930, 3791, 1230, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64319, 857, 3979, 1193, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64349, 904, 3959, 1167, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64378, 843, 3908, 1174, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64408, 838, 3868, 1135, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64438, 860, 3896, 1087, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64472, 867, 3911, 1124, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64507, 855, 3924, 1096, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64542, 778, 3958, 1086, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64577, 817, 3965, 979, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64612, 719, 3987, 996, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64647, 721, 3847, 887, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64682, 660, 3840, 885, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64717, 652, 3830, 843, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64752, 663, 3905, 843, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64787, 684, 4043, 750, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64822, 695, 4099, 693, 91, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64862, 812, 4126, 743, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64903, 729, 4096, 622, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64943, 639, 4048, 662, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
64984, 624, 3971, 643, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
65025, 587, 3903, 537, 92, 46997282-2f64-458f-a981-6e5555f26b87, , takbir, takbiratulihram, , 
