76723, 4088, 623, -386, 88, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79315, -1876, 2916, 2846, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79348, -1822, 3177, 2746, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79381, -1532, 2792, 2537, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79417, -1153, 4826, 876, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79453, -1855, 3891, 1804, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79490, -994, 3155, 1392, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79526, -1754, 4578, 466, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79562, -1141, 3543, 770, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79599, -1399, 4331, 64, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79635, -1282, 4116, 244, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79671, -1296, 4115, -315, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79708, -939, 3216, -271, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79744, -987, 4579, -283, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79781, -1228, 4196, -123, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79822, -435, 3619, -829, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79864, -964, 4483, -1111, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79906, -978, 3306, -1231, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79948, -701, 3546, -1193, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
79990, -977, 3192, -1428, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
80032, -897, 3506, -1340, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
80074, -574, 3807, -1663, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
80116, -946, 3524, -1787, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
80158, -1106, 3473, -1752, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
80200, -1064, 3478, -1872, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
80238, -1258, 3413, -2019, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
80276, -1118, 3346, -2036, 89, 3496e48c-8c32-4173-8e80-ae02c073b5a1, , takbir, takbiratulihram, , 
