15433, 3938, 1347, 53, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16129, 175, 4114, 1943, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16165, -520, 3642, 1943, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16202, -1490, 1999, 2078, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16242, -1869, 1769, 1927, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16282, -2413, 893, 2084, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16323, -2753, 550, 1506, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16363, -2995, 91, 1308, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16404, -3118, -3, 1142, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16444, -2992, -462, 898, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16484, -3153, -872, 687, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16525, -2939, -1391, 769, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16565, -2628, -1674, 538, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16606, -2754, -2343, 161, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16641, -2633, -2563, 242, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16677, -2623, -2976, 12, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16713, -2579, -2770, -167, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16749, -2568, -2653, 74, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16785, -2453, -2671, 160, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16820, -3029, -2358, 147, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16856, -3116, -2484, 239, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16892, -3316, -2339, 444, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16928, -3418, -2261, 233, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
16964, -3266, -2294, 228, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17000, -3448, -1947, 124, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17044, -3277, -2119, 116, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17089, -3470, -1696, 264, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17134, -3375, -1493, 331, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17179, -3623, -1261, 366, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17224, -3632, -838, 652, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17269, -3629, -632, 889, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17314, -3723, -313, 1060, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17359, -3431, 61, 1687, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17404, -3948, 169, 1490, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17449, -3648, 1107, 1929, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17483, -3578, 1115, 1602, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17517, -3600, 1468, 1618, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17551, -3191, 1572, 2349, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17585, -3260, 1488, 2332, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17620, -3185, 2128, 2156, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17654, -2824, 2291, 2478, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17688, -2409, 2365, 2072, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17722, -2549, 2658, 1831, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17756, -2407, 3622, 1735, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17791, -2060, 3021, 2189, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17828, -2079, 3089, 2126, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17865, -2186, 4095, 1802, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17902, -1695, 3189, 1762, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17939, -1758, 3497, 1624, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
17976, -1625, 4036, 1461, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18013, -1545, 3481, 1367, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18050, -1437, 3570, 1360, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18087, -1485, 3700, 1369, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18124, -1511, 3725, 1270, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18161, -1394, 3617, 1093, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18199, -1325, 3335, 1085, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18239, -1242, 3800, 984, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18279, -1205, 3834, 1072, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18320, -1169, 3867, 920, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18360, -1234, 3966, 918, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18401, -1201, 3841, 1075, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18441, -1232, 4031, 1072, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18481, -1092, 3947, 1024, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18522, -1045, 3809, 1123, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18562, -903, 3804, 1116, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18603, -850, 3955, 920, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18639, -838, 3981, 786, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18676, -726, 3904, 709, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18712, -747, 4076, 557, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18749, -716, 3922, 348, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18786, -802, 3947, 346, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18822, -774, 4095, 374, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18859, -700, 4118, 244, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18896, -635, 4153, 165, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18932, -756, 3968, 90, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
18969, -645, 3975, 147, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19006, -718, 4065, -99, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19047, -883, 4348, -407, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19088, -993, 4247, -398, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19129, -781, 3866, -380, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19170, -819, 3872, -564, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19211, -848, 3500, -460, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19252, -859, 3669, -482, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19293, -860, 3934, -488, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19334, -848, 3825, -418, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19375, -887, 3870, -554, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19417, -913, 3919, -735, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19455, -907, 4038, -784, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19494, -1024, 3884, -756, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19532, -892, 4236, -827, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19571, -1011, 3935, -902, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19609, -901, 4027, -894, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19648, -973, 3934, -751, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19686, -887, 3798, -909, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19725, -861, 3714, -927, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19763, -815, 3722, -902, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19802, -776, 3541, -966, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19841, -859, 3721, -1033, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19881, -922, 3754, -967, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19920, -1057, 3836, -1277, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19960, -1289, 4104, -1321, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
19999, -1287, 3967, -1485, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
20039, -1304, 4009, -1455, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
20078, -931, 3785, -1453, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
20118, -1108, 3637, -1286, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
20157, -1091, 3638, -1351, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
20197, -1055, 3665, -1273, , d4ec8b52-fbd0-4961-842e-d2e08537f184, , takbir, takbiratulihram, , 
