3407, 3762, 1850, -319, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5765, -1604, 1525, 4395, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5806, -1536, 2415, 3934, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5846, -1218, 1804, 4407, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5886, -1073, 1864, 4116, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5927, -992, 2135, 4049, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
5967, -744, 1840, 3762, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6008, -800, 2566, 3708, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6048, -704, 2349, 3675, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6089, -626, 2456, 3363, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6129, -753, 3162, 3089, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6170, -579, 2597, 3062, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6210, -605, 3102, 2725, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6251, -530, 3027, 2787, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6288, -512, 2920, 2571, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6325, -569, 3499, 2248, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6362, -522, 3549, 2297, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6399, -705, 3464, 1895, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6437, -666, 3599, 1905, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6474, -692, 3785, 1520, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6511, -770, 3851, 1467, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6548, -760, 3769, 1410, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6585, -827, 3896, 1173, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6623, -834, 3984, 977, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6661, -833, 3893, 891, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6699, -745, 3830, 868, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6737, -835, 4034, 621, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6776, -835, 4007, 565, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6814, -835, 3993, 542, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6852, -922, 4158, 323, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6891, -898, 3938, 312, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6929, -948, 4007, 300, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
6967, -1025, 4128, 72, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7006, -977, 3790, 137, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7041, -975, 4062, 12, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7077, -910, 4159, -117, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7112, -905, 3741, -14, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7148, -952, 4176, -237, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7184, -912, 3888, -238, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7219, -956, 3978, -138, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7255, -946, 3958, -266, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7291, -988, 3915, -242, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7326, -1046, 4018, -293, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7362, -1026, 3995, -321, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7398, -1052, 3988, -467, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7438, -1087, 3374, -263, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7478, -827, 3774, -528, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7518, -1040, 3911, -809, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7559, -1017, 3991, -945, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7599, -965, 4203, -994, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7639, -996, 3861, -884, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7680, -895, 4181, -895, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7720, -963, 3791, -951, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7760, -914, 3514, -974, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7801, -919, 3776, -943, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7847, -921, 4175, -1167, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7894, -956, 4129, -1027, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7941, -898, 3548, -1093, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
7988, -885, 3790, -1127, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8035, -1004, 3635, -1086, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8081, -936, 3743, -1216, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8128, -980, 4025, -1420, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8175, -1041, 3701, -1284, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8222, -924, 3762, -1246, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8269, -993, 3769, -1221, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8299, -1069, 3805, -1295, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8329, -1258, 3738, -1489, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8359, -977, 3641, -1334, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8389, -1120, 3735, -1328, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8419, -992, 3723, -1357, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8449, -1085, 3630, -1309, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8479, -1136, 3599, -1318, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8509, -1098, 3555, -1306, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8539, -1133, 3726, -1370, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8569, -1093, 3719, -1279, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8600, -1107, 3672, -1220, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8638, -1144, 3760, -1296, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8676, -1155, 3699, -1314, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8715, -1183, 3568, -1293, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8753, -1146, 3684, -1434, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8792, -1131, 3761, -1451, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8830, -1129, 3742, -1458, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8868, -1103, 3717, -1430, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8907, -1055, 3708, -1441, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8945, -1084, 3694, -1436, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
8984, -1061, 3724, -1482, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9019, -1059, 3701, -1495, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9054, -1076, 3644, -1477, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9089, -1051, 3658, -1501, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9124, -1019, 3575, -1545, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9159, -1026, 3562, -1573, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9195, -1003, 3515, -1572, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9230, -945, 3492, -1636, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9265, -1024, 3648, -1645, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9300, -897, 3592, -1863, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9335, -525, 2882, -1382, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9371, -1511, 3645, -832, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9412, -1448, 3585, -1486, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9453, -1626, 4809, -1951, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9494, -2090, 4043, -2320, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9535, -1498, 3544, -1764, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9576, -1076, 3229, -1519, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9617, -875, 3226, -1694, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9658, -1062, 3397, -1738, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9699, -1127, 3448, -1792, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9740, -1126, 3607, -1910, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
9782, -1174, 3488, -1805, , 528474d1-5876-49bc-916d-dd880d900134, , takbir, takbiratulihram, , 
