39689, 3398, 2965, 463, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41882, -3313, -1693, 784, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41914, -3169, -1502, 569, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41947, -3095, -1142, 652, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
41986, -2813, -1252, 901, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42025, -2863, -897, 1003, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42065, -3032, -337, 1129, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42104, -3462, 187, 1319, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42143, -3768, 910, 1511, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42183, -3352, 1452, 2034, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42222, -3648, 2122, 2430, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42262, -3735, 2636, 2067, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42301, -3492, 3082, 2414, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42340, -3476, 2661, 1913, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42380, -2828, 3132, 1822, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42419, -2782, 3393, 2047, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42459, -2545, 2292, 1266, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42496, -2384, 3854, 1390, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42533, -2238, 3506, 1902, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42570, -1990, 3081, 1382, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42607, -1725, 3724, 1515, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42645, -1828, 3717, 1560, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42682, -1737, 3423, 1165, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42719, -1644, 3512, 1127, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42756, -1704, 3723, 1226, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42794, -1678, 3422, 1067, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42831, -1722, 3619, 1111, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42868, -1563, 3805, 1209, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42905, -1483, 3489, 1119, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42943, -1317, 3467, 1082, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
42980, -1357, 3568, 966, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43018, -1273, 3822, 829, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43055, -1387, 3697, 717, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43093, -1235, 4142, -28, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43130, -1274, 4040, -167, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43168, -1060, 4085, -211, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43205, -1022, 4225, -317, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43243, -1091, 4275, -346, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43280, -1174, 4393, -426, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43318, -805, 3703, -506, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43355, -1226, 4477, -746, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43393, -1025, 3963, -828, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43431, -1046, 3854, -1286, 99, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43469, -647, 3878, -821, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43507, -907, 2661, -987, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43545, -692, 2715, -881, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43583, -602, 3145, -1134, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43622, -735, 4235, -1053, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43660, -1307, 3755, -1050, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43698, -1168, 3810, -1486, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43736, -1299, 4438, -1823, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43775, -1160, 4121, -1621, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43813, -1012, 3768, -1398, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43851, -1016, 3491, -1292, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43889, -869, 3627, -1398, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43928, -825, 3376, -1281, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
43968, -883, 3568, -1384, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
44008, -972, 4176, -1378, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
44048, -1246, 3741, -1387, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
44088, -1224, 3786, -1418, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
44128, -985, 3616, -1517, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
44168, -1097, 3789, -1579, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
44208, -1171, 3506, -1365, 100, 018b7689-ce0c-7e47-b497-6f2e5435b3ad, , takbir, takbiratulihram, , 
