10479, 4064, 855, -20, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11897, -2923, -761, 1039, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11940, -3898, 567, 1343, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
11983, -3619, 1334, 1735, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12026, -2560, 1458, 1445, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12070, -3011, 3766, 1992, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12113, -2860, 3623, 2793, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12156, -2992, 3134, 2224, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12199, -2556, 3650, 2648, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12242, -2082, 3936, 2542, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12286, -1921, 3860, 1794, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12319, -1431, 4146, 1596, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12353, -1482, 4186, 1516, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12386, -1270, 3692, 1040, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12420, -1072, 4154, 839, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12453, -1311, 3830, 955, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12487, -1084, 3884, 812, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12520, -1069, 4409, 554, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12554, -1012, 4378, 418, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12587, -1032, 4137, 240, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12621, -755, 3709, 264, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12655, -706, 3899, 349, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12695, -819, 4257, 97, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12736, -813, 4266, 59, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12776, -737, 3830, 119, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12817, -747, 4146, 110, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12858, -765, 3954, 219, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12898, -713, 4031, 49, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12939, -739, 4083, 76, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
12979, -659, 3818, -134, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13020, -739, 3620, 191, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13061, -803, 3977, 82, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13100, -836, 4164, -236, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13139, -895, 4250, -165, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13179, -931, 4141, -253, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13218, -992, 4296, -185, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13258, -994, 4174, -271, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13297, -960, 4071, -245, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13337, -876, 3538, -274, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13376, -1024, 3597, -471, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13416, -1080, 4055, -485, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13455, -1143, 3938, -628, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13495, -1264, 3566, -692, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13530, -1483, 3211, -645, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13566, -1244, 3226, -321, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13602, -1228, 3297, -250, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13638, -1273, 3662, -485, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13674, -1294, 3813, -586, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13710, -1287, 3971, -536, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13746, -1294, 4021, -409, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13782, -1305, 3959, -482, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13818, -1306, 3987, -812, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13854, -1299, 3860, -649, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13892, -1216, 3817, -554, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13930, -1117, 3851, -715, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
13968, -1218, 3825, -613, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14007, -1250, 3941, -587, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14045, -1238, 3967, -606, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14083, -1206, 3888, -665, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14121, -1112, 3762, -582, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14160, -1179, 3791, -642, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14198, -1228, 3711, -668, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14236, -1350, 3962, -727, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14275, -1268, 3946, -677, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14312, -1264, 3820, -862, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14350, -1223, 3794, -826, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14388, -1223, 3630, -916, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14425, -1153, 3781, -948, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14463, -1123, 4066, -1063, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14501, -1219, 3891, -1174, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14538, -1076, 3925, -996, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14576, -1174, 3796, -979, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
14614, -1134, 3788, -1032, , a6c19bca-8c56-45a5-bc7a-0ffe4efa00a3, , takbir, takbiratulihram, , 
