22224, 4055, -340, -483, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
23975, -1999, 2047, 3040, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24024, -2040, 1982, 3031, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24072, -1971, 2061, 2927, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24120, -1845, 2120, 3027, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24169, -1843, 2205, 3076, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24217, -1808, 2170, 2988, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24265, -1757, 2102, 3035, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24314, -1733, 2239, 3065, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24343, -1676, 2113, 3080, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24373, -1622, 2170, 3026, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24402, -1643, 2336, 3150, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24432, -1556, 2097, 2920, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24462, -1440, 2533, 3073, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24491, -1549, 2147, 3067, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24521, -1368, 2408, 2852, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24551, -1345, 2468, 2900, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24580, -1232, 2396, 3082, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24610, -1183, 2680, 2748, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24640, -1071, 2554, 2971, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24679, -968, 2756, 3065, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24718, -882, 2795, 2579, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24757, -834, 2893, 2923, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24796, -781, 3167, 2685, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24835, -709, 3030, 2460, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24874, -572, 3597, 2515, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24913, -576, 3406, 2142, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24952, -498, 3308, 2282, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
24991, -433, 3399, 2206, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25030, -279, 3283, 2057, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25064, -345, 3209, 2029, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25099, 125, 4202, 1619, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25134, -151, 3881, 1694, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25169, -29, 3968, 1685, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25204, 4, 4043, 1536, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25239, 51, 3859, 1549, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25274, 209, 3879, 1408, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25309, 216, 4015, 1172, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25344, 171, 4163, 891, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25379, 128, 3988, 611, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25414, -60, 3940, 13, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25456, 61, 4104, -71, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25499, 185, 4099, 343, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25541, 135, 4663, 61, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25584, -43, 4112, -28, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25626, 240, 4131, -127, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25669, 130, 4186, -318, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25711, 119, 4030, -499, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25754, 46, 4163, -581, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25796, -203, 3853, -615, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25839, -58, 3872, -637, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25887, 174, 4416, -775, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25935, -173, 3855, -1034, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
25983, -135, 3817, -1275, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
26031, -129, 3711, -1334, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
26079, -204, 3639, -1284, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
26127, -253, 3585, -1197, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
26175, -176, 3614, -1221, , 87fd727c-2c7e-4b26-b88a-d6a120d8cfce, , takbir, takbiratulihram, , 
