66704, 4093, 477, -436, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70601, -1062, 3990, -434, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70640, -1064, 3745, -536, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70680, -1103, 3845, -721, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70719, -1099, 3798, -843, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70759, -1102, 3690, -882, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70799, -1071, 3851, -924, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70838, -1023, 3633, -924, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70878, -1009, 3796, -1114, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70917, -1013, 3769, -1042, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70957, -916, 3343, -884, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
70997, -737, 3321, -1663, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71038, -715, 3744, -1410, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71080, -772, 4199, -1667, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71122, -809, 3952, -1671, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71163, -781, 3800, -1657, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71205, -720, 3680, -1563, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71247, -659, 3863, -1647, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71288, -693, 3744, -1624, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71330, -761, 3707, -1782, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71372, -646, 3802, -1681, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71414, -807, 3664, -1685, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71447, -680, 3656, -1721, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71481, -710, 3740, -1707, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71515, -682, 3665, -1757, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71548, -749, 3706, -1723, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71582, -715, 3748, -1764, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71616, -792, 3677, -1692, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71650, -790, 3697, -1764, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71683, -688, 3530, -1695, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71717, -700, 3468, -1699, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71751, -663, 3293, -1748, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71785, -589, 3365, -1765, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71825, -522, 3733, -1941, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71866, -264, 3394, -2232, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71906, -387, 2765, -1999, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71947, -550, 3994, -1171, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
71988, -1275, 3834, -2282, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
72028, -1111, 3199, -2327, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
72069, -1098, 3476, -2433, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
72109, -1001, 3710, -2694, 86, 5c908a98-a29b-4377-a2d7-8ba1561cbb15, , takbir, takbiratulihram, , 
