22924, 3829, 469, -656, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24803, -2055, -1029, -579, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24842, -2800, -29, -27, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24880, -2811, 1179, 1207, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24919, -2885, 2048, 2239, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24958, -2192, 3384, 3004, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
24994, -1481, 2847, 3913, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25031, -891, 4225, 5763, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25068, -975, 1959, 5050, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25105, -578, 2454, 4550, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25142, -360, 2023, 4428, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25178, -153, 2231, 4025, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25215, 176, 2192, 3783, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25252, 278, 2091, 4178, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25289, -68, 1657, 3831, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25326, 86, 1902, 3647, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25363, 34, 1795, 3979, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25404, 111, 2125, 3854, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25445, 147, 1922, 3921, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25486, 165, 2218, 3679, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25527, 86, 2319, 3568, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25569, 41, 2135, 3602, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25610, -6, 2331, 3531, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25651, 46, 2435, 3208, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25692, 21, 2252, 3348, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25733, -24, 2096, 3493, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25775, -23, 2080, 3410, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25814, -84, 2069, 3426, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25854, 54, 2242, 3453, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25894, -70, 2179, 3431, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25934, 56, 2370, 3346, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
25974, 47, 2502, 3376, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26013, 90, 2220, 3290, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26053, 92, 2528, 3501, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26093, 128, 2188, 3456, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26133, 64, 2130, 3510, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26173, 164, 2339, 3392, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26208, 165, 2337, 3455, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26243, 257, 2188, 3384, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26279, 189, 2491, 3264, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26314, 161, 2451, 3272, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26350, 139, 2549, 3279, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26385, 157, 2546, 3297, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26421, 182, 2592, 3247, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26456, 216, 2622, 3175, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26492, 173, 2561, 3209, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26527, 209, 2728, 3100, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26563, 167, 2728, 3135, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26604, 175, 2618, 3153, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26645, 151, 2669, 3078, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26686, 248, 2877, 3061, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26727, 201, 2784, 3069, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26769, 217, 2822, 3035, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26810, 187, 2735, 2972, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26851, 199, 2904, 2969, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26892, 125, 2887, 2896, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26933, 321, 2964, 2815, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
26975, 203, 3060, 2776, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27011, 136, 3190, 2675, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27047, 140, 3196, 2644, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27084, 225, 3210, 2581, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27120, 254, 3231, 2472, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27156, 261, 3506, 2344, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27193, 301, 3559, 2294, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27229, 306, 3536, 2209, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27265, 263, 3538, 2057, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27302, 228, 3546, 2003, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27338, 185, 3630, 1953, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27375, 308, 3699, 1806, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27413, 271, 3754, 1738, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27452, 328, 3842, 1709, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27491, 285, 3879, 1593, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27529, 283, 3881, 1509, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27568, 299, 3970, 1381, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27607, 242, 3985, 1335, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27645, 209, 3954, 1241, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27684, 193, 3971, 1147, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27723, 192, 4023, 1104, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27762, 112, 4021, 882, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27806, 70, 4032, 719, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27850, 26, 4015, 699, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27894, 30, 3964, 549, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27938, 31, 4061, 522, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
27982, 42, 4058, 474, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28026, -18, 4016, 450, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28070, -59, 4012, 387, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28114, -25, 4058, 339, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28158, -87, 4088, 269, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28202, -88, 4041, 272, , 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28236, -89, 4110, 242, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28270, -105, 4088, 202, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28304, -104, 4145, 217, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28338, -87, 4111, 157, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28372, -56, 4147, 182, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28406, -84, 4079, 172, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28440, -95, 4172, 149, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28474, -85, 4126, 176, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28508, -74, 4142, 137, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28542, -62, 4113, 167, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28577, -89, 4108, 136, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28615, -88, 4125, 156, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28654, -68, 4130, 137, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28692, -57, 4094, 150, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28731, -61, 4107, 149, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28769, -41, 4153, 148, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28808, -47, 4106, 171, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28846, -10, 4078, 162, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28885, -27, 4145, 155, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28923, -22, 4092, 139, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28962, 27, 4057, 167, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
28999, -16, 4106, 154, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29036, 18, 4072, 137, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29074, 15, 4080, 151, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29111, 3, 4103, 109, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29149, 1, 4073, 165, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29186, 42, 4115, 123, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29224, 83, 4091, 81, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29261, 86, 4191, -1, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29299, 114, 4157, 20, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29336, 77, 4194, -25, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29374, 71, 4098, 133, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29414, 0, 4094, 124, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29454, -27, 4039, 68, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29494, -32, 4012, -7, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29534, -30, 4067, -35, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29574, 16, 4103, -32, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
29614, 62, 4068, 1, 86, 9cfdd128-9c39-44fe-be27-115b51ba0d13, , takbir, takbiratulihram, , 
