9581, 4095, 1288, 364, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14399, -616, 3966, -1050, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14434, -635, 3801, -1025, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14469, -634, 3770, -1051, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14504, -604, 3867, -1049, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14540, -307, 3756, -1151, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14575, -465, 3995, -1122, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14610, -566, 3894, -1150, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14646, -526, 3834, -1200, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14688, -563, 3910, -1269, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14730, -763, 3880, -1320, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14772, -418, 3836, -1296, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14814, -744, 4076, -1375, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14857, -1094, 4391, -1598, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14899, -704, 3920, -1351, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
