5293, 4172, 848, -92, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7560, -569, 4091, 93, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7598, -599, 4186, -68, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7636, -534, 4108, -190, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7674, -299, 3366, -216, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7712, -579, 4086, -337, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7750, -416, 4226, -335, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7789, -647, 3972, -388, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7826, -591, 3960, -568, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7863, 12, 3522, -588, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7900, -471, 3655, -976, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7937, -610, 3714, -1228, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
7974, -470, 3960, -1139, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8012, -588, 3974, -1225, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8049, -591, 3866, -1386, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8086, -774, 3661, -1494, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8123, -794, 3817, -1465, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8160, -838, 3752, -1495, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8198, -802, 3613, -1548, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8235, -881, 3610, -1653, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8273, -859, 3588, -1593, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8311, -843, 3561, -1716, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8349, -933, 3597, -1719, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8387, -922, 3647, -1777, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8425, -901, 3624, -1803, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8463, -889, 3631, -1818, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8501, -888, 3576, -1869, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8539, -867, 3515, -1819, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8577, -860, 3568, -1910, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8614, -837, 3501, -1906, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8652, -850, 3585, -1933, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8690, -961, 3459, -1904, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8728, -917, 3500, -1941, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8766, -898, 3527, -1909, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8804, -924, 3450, -1908, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8842, -915, 3437, -1837, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8880, -887, 3410, -1830, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8918, -832, 3413, -1915, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8956, -729, 3283, -1804, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
8994, -329, 3111, -2068, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
9031, 164, 2722, -1472, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
9068, -2988, 3619, -2647, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
9105, -608, 3610, -2858, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
9142, -1253, 3423, -2388, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
9180, -1213, 3398, -2631, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
9217, -1101, 3102, -2338, , faf015d4-b9df-4ce7-acc9-d145ee24c55d, , takbir, takbiratulihram, , 
