32730, 4105, 398, -93, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34397, -3453, -2288, 419, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34433, -3559, -2222, 508, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34469, -3496, -2057, 582, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34505, -3513, -1682, 726, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34541, -3387, -1524, 841, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34579, -3506, -1464, 994, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34618, -3509, -1344, 1304, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34656, -3520, -1350, 1448, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34695, -3543, -1145, 1669, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34733, -3346, -988, 1867, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34772, -3469, -788, 1934, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34810, -3254, -575, 2097, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34849, -3307, -489, 2274, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34887, -3152, -296, 2450, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34926, -3141, -281, 2680, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
34966, -2984, -294, 2809, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35007, -2870, -60, 2965, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35048, -2834, -19, 3008, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35088, -2706, 166, 3138, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35129, -2583, 94, 3219, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35170, -2556, 281, 3341, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35210, -2394, 374, 3437, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35251, -2264, 284, 3416, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35292, -2186, 573, 3501, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35333, -2077, 571, 3535, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35370, -2065, 754, 3631, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35407, -1905, 573, 3534, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35445, -1615, 835, 3729, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35482, -1508, 965, 4104, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35519, -1724, 713, 3820, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35557, -1406, 1217, 3866, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35594, -1425, 1228, 4030, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35631, -1180, 1293, 3574, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35669, -1123, 1440, 4066, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35706, -969, 1456, 3696, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35744, -741, 1784, 3529, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35784, -705, 1970, 3792, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35824, -721, 2333, 3549, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35864, -637, 2437, 3280, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35904, -747, 2601, 2993, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35944, -1020, 3561, 2515, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
35984, -782, 3112, 2402, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36024, -805, 3501, 2148, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36064, -699, 3364, 2103, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36104, -721, 3760, 1885, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36145, -689, 3809, 1715, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36180, -701, 4064, 1331, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36215, -688, 3939, 1175, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36250, -742, 4068, 1181, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36285, -716, 3985, 1090, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36320, -664, 3878, 969, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36356, -595, 4054, 914, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36391, -565, 4164, 760, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36426, -576, 4044, 732, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36461, -602, 4153, 593, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36496, -630, 4171, 455, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36532, -605, 4184, 388, 100, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36573, -777, 3926, 152, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36614, -690, 3835, 303, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36655, -632, 3918, 273, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36696, -661, 4082, 335, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36738, -545, 4048, 244, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36779, -537, 4158, 180, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36820, -605, 3991, 156, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36861, -549, 4062, 133, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36902, -549, 4103, 99, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36944, -505, 4105, 130, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
36984, -511, 4071, 77, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37024, -582, 4076, 23, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37064, -523, 4123, 26, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37104, -572, 4024, 45, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37144, -596, 4081, 45, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37184, -652, 4011, -9, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37224, -574, 4119, -40, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37264, -627, 4008, -72, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37304, -691, 3984, -139, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37345, -679, 3981, -180, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37380, -698, 4058, -250, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37415, -665, 4070, -306, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37450, -655, 4066, -310, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37485, -691, 3987, -408, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37520, -704, 4110, -374, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37556, -770, 3967, -532, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37591, -686, 3758, -643, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37626, -659, 3898, -665, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37661, -721, 3676, -687, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37696, -751, 3710, -827, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37732, -698, 3736, -910, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37773, -705, 3804, -1110, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37814, -726, 3610, -1182, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37855, -719, 3506, -1082, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37896, -539, 3782, -1048, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37937, -901, 4293, -1143, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
37978, -967, 3729, -1057, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
38019, -931, 4064, -1569, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
38060, -1173, 4407, -1681, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
38101, -1461, 4068, -1636, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
38143, -940, 3938, -1605, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
38180, -828, 3500, -1392, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
38217, -910, 3517, -1522, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
38255, -862, 3539, -1378, 99, 42b252c6-cce0-4b3e-9656-af1fa72dc99e, , takbir, takbiratulihram, , 
