101275, 4109, 186, -453, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102898, -2102, 1691, 3123, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102934, -1988, 2373, 3135, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102970, -1957, 2006, 2755, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103006, -1582, 1951, 3483, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103044, -1587, 2395, 3494, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103083, -1582, 2335, 3537, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103121, -1450, 2394, 3572, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103160, -1492, 2080, 3190, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103199, -1382, 2387, 3417, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103237, -1344, 2144, 3353, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103276, -1318, 2251, 3254, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103315, -1266, 2153, 3293, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103353, -1310, 2176, 3230, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103392, -1229, 2251, 3257, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103431, -1244, 2174, 3225, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103468, -1242, 2228, 3324, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103505, -1220, 2236, 3231, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103542, -1190, 2243, 3228, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103579, -1221, 2278, 3250, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103617, -1198, 2220, 3155, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103654, -1168, 2344, 3265, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103691, -1146, 2294, 3185, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103728, -1149, 2333, 3202, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103765, -1141, 2283, 3240, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103803, -1135, 2294, 3205, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103841, -1079, 2259, 3221, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103879, -1081, 2324, 3170, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103917, -1037, 2334, 3276, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103956, -1027, 2268, 3340, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
103994, -980, 2475, 3421, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104032, -906, 1914, 3133, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104070, -803, 2662, 2670, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104109, -1122, 3652, 2321, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104147, -807, 3371, 2126, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104185, -788, 4126, 1743, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104224, -815, 3797, 1796, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104259, -728, 3681, 1360, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104295, -738, 4115, 1254, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104331, -719, 3764, 1180, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104366, -603, 4028, 850, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104402, -705, 3990, 871, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104438, -597, 4010, 652, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104473, -586, 3964, 581, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104509, -538, 3885, 438, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104545, -598, 4166, 423, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104581, -607, 4031, 378, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104623, -571, 3929, 273, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104665, -664, 4223, 220, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104707, -582, 4050, 204, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104749, -625, 4156, 234, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104791, -706, 4180, 84, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104833, -655, 3987, 153, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104875, -711, 4023, 124, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104917, -669, 4046, 42, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
104959, -722, 4058, -27, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105002, -723, 4161, -44, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105045, -713, 4001, -25, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105088, -752, 4174, -155, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105131, -736, 3984, -84, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105174, -780, 4013, -63, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105217, -802, 4090, -138, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105260, -820, 3956, -139, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105303, -872, 4265, -287, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105346, -836, 3883, -146, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105389, -897, 4054, -413, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105432, -1008, 3669, -663, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105476, -868, 3130, -557, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105509, -885, 3684, -845, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105543, -825, 3353, -954, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105577, -701, 3282, -1631, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105611, -716, 3563, -1308, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105645, -576, 3709, -1875, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105678, -939, 3520, -1674, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105712, -746, 4036, -1739, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105746, -1076, 3050, -1652, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105780, -1427, 3495, -2754, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105814, -1780, 3779, -2595, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105850, -1221, 3496, -2097, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105887, -1012, 3159, -2256, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
105923, -977, 3113, -2174, 88, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
