8833, 2727, 3213, -436, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9549, -2783, -2019, 503, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9579, -2906, -2035, 557, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9609, -2853, -2312, 397, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9639, -2860, -2430, 317, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9669, -2850, -2396, 278, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9709, -2981, -2552, 183, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9750, -2906, -2641, 260, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9790, -2946, -2667, 291, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9831, -2865, -2747, 175, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9871, -2884, -2720, 311, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9912, -2839, -2658, 258, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9952, -2936, -2767, 316, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
9993, -2953, -2680, 411, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10033, -3040, -2609, 371, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10074, -3104, -2599, 378, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10114, -3136, -2560, 385, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10154, -3227, -2471, 350, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10194, -3258, -2501, 339, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10234, -3218, -2496, 376, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10274, -3308, -2382, 423, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10314, -3273, -2375, 428, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10354, -3287, -2337, 441, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10394, -3298, -2282, 446, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10434, -3397, -2280, 410, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10474, -3397, -2247, 453, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10514, -3545, -2207, 445, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10553, -3475, -2166, 442, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10592, -3467, -2105, 492, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10631, -3430, -2027, 517, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10670, -3443, -1998, 530, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10709, -3476, -1937, 591, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10748, -3490, -1877, 581, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10787, -3591, -1918, 763, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10826, -3523, -1842, 700, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10865, -3623, -1730, 589, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10904, -3489, -1615, 578, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10946, -3490, -1438, 539, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
10988, -3455, -1254, 616, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11030, -3604, -1120, 674, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11072, -3694, -813, 753, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11114, -3624, -734, 966, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11156, -3798, -483, 1125, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11198, -3696, -178, 1249, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11240, -3752, 6, 1264, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11282, -3546, 487, 1334, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11324, -3558, 730, 1771, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11358, -3535, 817, 1833, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11392, -3388, 1566, 2011, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11427, -3282, 1527, 1897, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11461, -2967, 2198, 1814, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11495, -2869, 1972, 2506, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11530, -2873, 2249, 2108, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11564, -2901, 2787, 2132, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11598, -2504, 2494, 2240, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11633, -2402, 3116, 1776, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11667, -2128, 3118, 2051, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11702, -2119, 2832, 1567, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11746, -1764, 4399, 1352, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11791, -1593, 3699, 2050, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11836, -1647, 3840, 2037, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11881, -1514, 3997, 1645, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11926, -1276, 3323, 1688, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
11971, -968, 4116, 1468, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12016, -1050, 3572, 1381, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12061, -973, 3747, 1257, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12106, -978, 4038, 1175, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12151, -996, 3823, 1054, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12182, -964, 3917, 809, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12214, -1011, 3855, 804, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12246, -906, 3916, 685, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12278, -906, 4037, 490, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12310, -938, 4178, 290, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12342, -751, 4159, 335, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12374, -783, 4117, 376, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12406, -756, 3900, 255, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12438, -697, 3937, -54, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12470, -773, 3967, -113, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12502, -725, 3991, -361, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12542, -745, 4066, -388, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12582, -719, 4180, -454, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12622, -662, 3990, -450, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12662, -625, 3724, -290, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12702, -734, 4100, -129, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12742, -592, 4194, -375, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12782, -671, 4008, -456, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12822, -615, 4316, -583, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12862, -750, 4214, -824, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12903, -740, 3954, -619, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12947, -711, 3807, -721, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
12991, -709, 3700, -657, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13036, -768, 3818, -941, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13080, -745, 3641, -942, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13125, -937, 3710, -1035, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13169, -789, 3953, -1181, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13213, -885, 3727, -1158, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13258, -771, 3663, -1210, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13302, -873, 3693, -1053, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13347, -867, 3702, -1094, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13380, -837, 3856, -1136, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13413, -833, 3856, -1193, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13446, -846, 3842, -1090, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13479, -838, 3838, -1169, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13512, -912, 3853, -1208, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13545, -959, 3753, -1155, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13578, -949, 3822, -1185, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13611, -914, 3829, -1170, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13644, -906, 3644, -1242, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13677, -940, 3753, -1160, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13710, -905, 3794, -1156, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13754, -509, 2727, -1884, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13798, 205, 4743, -1517, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13842, -900, 3495, -1114, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13887, -922, 3715, -1378, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13931, -981, 3479, -1206, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
13975, -1078, 4044, -1643, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
14020, -1290, 4089, -1607, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
14064, -997, 3929, -1490, , 6f53baea-12a3-4944-b032-71af8f81e0e2, , takbir, takbiratulihram, , 
