27091, 3435, 1859, -1389, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27784, 3892, 3827, -1764, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27823, 3147, 4262, -1316, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27861, 3242, 4286, -796, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27899, 2096, 3914, -552, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27937, 1837, 3369, -153, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
27975, 532, 3825, -345, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28014, 412, 3737, -143, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28057, 497, 3323, 267, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28101, -48, 3494, 564, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28145, -81, 3709, 502, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28188, -665, 3744, 801, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28232, -656, 3314, 951, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28276, -1284, 3536, 1076, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28319, -1538, 2894, 1358, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28363, -1805, 2837, 1414, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28407, -2084, 2308, 1617, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28451, -2288, 2063, 1923, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28483, -2472, 1965, 1818, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28516, -2593, 1780, 1880, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28548, -2719, 1721, 1897, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28581, -2678, 1560, 1893, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28614, -2685, 1799, 1902, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28646, -2680, 2019, 2014, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28679, -2720, 2081, 1931, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28712, -2800, 2160, 2080, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28744, -2858, 1970, 2004, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28777, -2923, 1750, 1988, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28810, -2966, 1908, 2039, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28850, -2949, 1966, 2039, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28890, -3011, 2125, 2058, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28931, -2974, 2087, 2004, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
28971, -3032, 2002, 1963, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29012, -2920, 2007, 1995, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29052, -2868, 1913, 1935, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29092, -2884, 2042, 1917, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29133, -2848, 2230, 1942, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29173, -2918, 2212, 2041, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29214, -2837, 2212, 2065, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29252, -2931, 2145, 1802, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29291, -2883, 2089, 1927, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29329, -2941, 2207, 1996, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29368, -2846, 2043, 2120, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29406, -2780, 1797, 1881, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29445, -2777, 1377, 1496, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29483, -2525, 1245, 1610, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29522, -2335, 1970, 1237, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29560, -2184, 1037, 589, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29599, -1020, 1071, 529, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29635, -2730, 5552, 955, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29671, -756, 2972, 576, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29707, -1363, 5549, 452, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29744, -311, 4882, 566, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29780, -345, 5254, -155, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29816, 791, 5118, 560, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29852, 341, 4725, 1174, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29889, -9206, 6400, -1490, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29925, 8639, 7241, 3608, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29961, -3093, 2342, -422, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
29998, -1736, 3322, 730, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30037, -1857, 3148, -101, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30077, -943, 3764, 514, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30117, -1293, 3208, 136, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30157, -1430, 3710, -201, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30197, -1330, 4152, -483, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30236, -2732, 4379, -1232, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30276, -1507, 4820, -241, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30316, -748, 3115, 3, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30356, -1232, 3505, -20, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30396, -989, 3160, -104, , ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30438, -390, 3814, -73, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30481, -500, 4592, -393, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30523, -917, 3922, -386, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30566, -1204, 3584, -512, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30609, -1474, 3977, -902, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30651, -1404, 4094, -787, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30694, -1284, 3899, -937, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30737, -949, 4078, -796, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30779, -1028, 4062, -893, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30822, -773, 4079, -853, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30865, -677, 3939, -854, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30899, -726, 3826, -671, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30934, -737, 3902, -480, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
30968, -834, 4010, -495, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31003, -785, 3947, -419, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31038, -668, 3997, -487, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31072, -587, 4115, -572, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31107, -740, 4078, -552, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31141, -826, 3963, -447, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31176, -794, 3975, -449, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31211, -725, 3915, -520, 76, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31251, -660, 4005, -582, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31291, -686, 3993, -590, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31331, -621, 4056, -568, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31371, -679, 4076, -573, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31412, -709, 4013, -538, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31452, -632, 3939, -499, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31492, -699, 3934, -521, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31532, -748, 4006, -553, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31572, -719, 3998, -557, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31613, -663, 4014, -603, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31648, -702, 4035, -610, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31684, -663, 3965, -591, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31720, -640, 3985, -600, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31756, -655, 4045, -601, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
31792, -660, 4022, -625, 75, ccd16ef4-0d2b-4058-85f8-d3346569dcf0, , takbir, takbiratulihram, , 
