128715, 4057, 409, -392, 93, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130258, -1612, 3061, 4133, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130299, -879, 3002, 4280, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130341, -2345, 6149, 4041, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130382, -871, 2299, 4658, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130424, -965, 4250, 4227, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130465, -1081, 3249, 3403, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130506, -760, 4174, 1591, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130548, -1392, 4285, 1305, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130589, -1267, 3645, 1103, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130631, -1116, 3987, 131, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130664, -1265, 4110, 63, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130697, -1247, 2928, -162, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130730, -766, 3746, -582, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130764, -714, 3496, -800, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130797, -610, 4000, -846, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130830, -532, 3340, -1113, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130863, -526, 3449, -1370, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130897, -669, 3693, -1621, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130930, -820, 3809, -1529, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130963, -1083, 3292, -2090, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
130997, -1048, 3317, -2073, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
131038, -730, 3144, -2409, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
131079, -859, 3340, -2717, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
131120, -695, 3428, -2689, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
131161, -838, 3413, -2592, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
131203, -950, 3418, -2779, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
131244, -946, 3243, -2461, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
131285, -831, 3244, -2413, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
131326, -921, 3079, -2307, 94, d0f93585-e27c-4ee2-884e-6f8b223ecf54, , takbir, takbiratulihram, , 
