111048, 4086, 350, -408, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114683, -700, 3448, 1680, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114723, -855, 3823, 1379, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114764, -830, 3860, 1216, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114805, -792, 4063, 778, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114845, -789, 3920, 895, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114886, -755, 3776, 692, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114926, -797, 4277, 486, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
114967, -734, 3803, 585, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115008, -822, 4206, 276, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115044, -784, 3933, 326, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115081, -777, 3862, 245, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115118, -838, 3951, 212, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115155, -809, 3813, 187, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115192, -818, 3965, 264, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115229, -827, 4209, 190, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115266, -842, 4169, 127, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115303, -811, 4044, 135, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115340, -935, 4222, -45, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115377, -841, 3918, -83, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115414, -873, 4157, -409, 88, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115452, -907, 4386, -683, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115491, -945, 3802, -662, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115530, -783, 3600, -769, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115568, -867, 3695, -1060, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115607, -631, 3285, -1175, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115646, -819, 3766, -1154, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115684, -630, 3642, -1313, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115723, -869, 3410, -1474, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115762, -620, 3730, -1669, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115801, -739, 3471, -1594, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115843, -904, 3636, -1715, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115885, -1049, 3507, -1833, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115927, -1100, 3431, -1782, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
115969, -1165, 3077, -1963, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
116011, -1172, 3581, -2223, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
116053, -1435, 3533, -2347, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
116095, -1290, 3304, -2432, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
116137, -1343, 3528, -2302, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
116179, -1306, 3036, -2326, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
116221, -1185, 3183, -2054, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
116255, -1197, 3149, -2237, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
116289, -1211, 3179, -2161, 89, 7ea74cf9-1d53-4b87-91e8-1f0d1cae1442, , takbir, takbiratulihram, , 
