15319, 4217, 470, -35, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16335, -3177, -1565, 619, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16372, -3348, -1847, 516, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16409, -3312, -1772, 443, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16447, -3278, -2344, 165, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16482, -3116, -2046, 307, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16518, -2940, -2367, 127, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16553, -2814, -2584, 95, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16589, -2773, -2670, 50, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16625, -2647, -2635, -30, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16660, -2945, -2504, 47, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16696, -3237, -2311, 140, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16732, -3335, -2121, 204, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16767, -3509, -2038, 330, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16803, -3614, -1977, 296, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16839, -3768, -1861, 360, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16879, -3716, -1740, 372, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16919, -3846, -1493, 382, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
16960, -3698, -1539, 355, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17000, -3797, -1192, 386, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17041, -3688, -1177, 456, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17081, -3778, -885, 537, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17121, -3816, -713, 701, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17162, -3772, -632, 681, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17202, -3781, -403, 816, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17243, -3623, -210, 799, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17279, -3779, 106, 713, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17316, -3589, 360, 714, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17352, -3673, 583, 811, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17389, -3549, 1020, 1074, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17426, -3328, 893, 1472, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17462, -3597, 1335, 1746, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17499, -3372, 1973, 2056, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17536, -3093, 2307, 1952, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17572, -3016, 2822, 1510, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17609, -2687, 3125, 1702, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17646, -2458, 3104, 1711, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17686, -2206, 2899, 1936, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17726, -2385, 3033, 2409, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17767, -2395, 2964, 2033, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17807, -1994, 3741, 924, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17848, -1658, 3532, 1374, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17888, -1455, 4322, 1318, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17928, -1366, 4437, 1208, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
17969, -1210, 4084, 911, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18009, -1064, 3708, 1034, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18050, -1253, 3878, 838, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18089, -1263, 3997, 553, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18129, -1106, 3921, 372, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18168, -1015, 3873, 291, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18208, -1065, 3973, 191, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18248, -1006, 4067, 80, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18287, -950, 4066, 55, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18327, -971, 3997, 53, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18366, -1008, 3840, -79, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18406, -708, 3434, -46, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18446, -831, 4310, 28, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18480, -727, 4188, -140, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18515, -799, 4050, -207, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18549, -814, 4020, -241, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18584, -602, 4114, -277, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18618, -676, 4091, -374, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18653, -564, 4021, -417, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18687, -559, 4084, -299, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18722, -631, 3997, -481, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18756, -540, 4199, -775, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18791, -420, 4228, -909, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18826, -473, 4097, -984, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18865, -544, 3896, -929, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18904, -508, 3950, -1234, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18943, -602, 3500, -1192, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
18982, -560, 3549, -1489, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
19021, -482, 3396, -1528, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
19060, -452, 3303, -1456, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
19099, -484, 3503, -1515, , d087f549-3e2c-4bea-a801-f82db3a6abb7, , takbir, takbiratulihram, , 
