121019, 4112, 278, -365, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122003, -1623, -3234, -93, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122044, -1962, -3278, -496, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122084, -2005, -3917, 183, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122125, -2005, -3957, 23, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122165, -2060, -3749, 339, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122206, -2105, -3298, 308, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122241, -2169, -3232, 528, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122277, -2303, -3085, 597, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122312, -2266, -3337, 568, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122348, -2324, -3249, 649, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122383, -2325, -3334, 543, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122419, -2303, -3495, 598, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122454, -2343, -3321, 546, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122490, -2348, -3418, 534, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122525, -2352, -3358, 583, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122561, -2348, -3342, 511, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122597, -2312, -3343, 446, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122642, -2341, -3307, 448, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122687, -2324, -3379, 375, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122732, -2332, -3364, 416, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122777, -2344, -3341, 439, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122823, -2370, -3364, 428, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122868, -2329, -3413, 448, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122913, -2339, -3372, 442, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
122958, -2294, -3389, 445, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123003, -2309, -3354, 407, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123049, -2368, -3342, 411, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123084, -2370, -3324, 369, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123120, -2377, -3320, 354, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123156, -2378, -3267, 373, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123191, -2427, -3299, 470, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123227, -2401, -3362, 467, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123263, -2444, -3324, 614, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123298, -2424, -3270, 573, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123334, -2456, -3227, 592, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123370, -2444, -3251, 618, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123406, -2448, -3232, 656, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123441, -2476, -3200, 637, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123477, -2476, -3175, 633, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123512, -2468, -3193, 629, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123548, -2514, -3172, 619, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123584, -2492, -3244, 659, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123619, -2528, -3207, 711, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123655, -2548, -3200, 694, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123691, -2503, -3215, 591, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123726, -2485, -3213, 581, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123762, -2489, -3161, 505, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123798, -2430, -3058, 514, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123838, -2452, -2901, 451, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123878, -2445, -2526, 395, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123918, -2509, -2047, 438, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123959, -2446, -2073, 781, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
123999, -2421, -1855, 1354, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124039, -2560, -1838, 1762, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124080, -2550, -1168, 2339, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124120, -2283, -1311, 2604, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124160, -2027, -374, 3343, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124201, -1623, -534, 4045, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124237, -1563, -314, 4598, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124274, -1133, 782, 3891, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124311, -634, 1507, 4707, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124348, -690, 2197, 4980, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124385, -520, 2100, 4077, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124422, -606, 2386, 3846, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124459, -474, 1599, 3598, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124496, -82, 2583, 3707, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124533, -463, 3120, 3087, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124570, -17, 3164, 2402, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124607, -1316, 5430, 1579, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124646, -593, 3980, 1786, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124686, -642, 4054, 626, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124726, -838, 4491, -6, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124765, -780, 3639, 472, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124805, -804, 4301, -122, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124845, -997, 3981, -333, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124884, -725, 3567, -188, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124924, -678, 4161, -469, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
124964, -819, 3752, -653, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125004, -634, 3907, -688, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125044, -405, 3546, -866, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125084, -562, 3807, -1068, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125124, -591, 3810, -1301, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125164, -543, 3515, -1502, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125204, -867, 4080, -1843, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125244, -606, 3862, -1683, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125284, -654, 3723, -1715, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125324, -1118, 3853, -2348, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125364, -789, 3482, -2044, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125405, -930, 3437, -2166, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125445, -715, 3749, -2343, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125486, -1097, 3439, -1890, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125527, -1014, 3377, -2280, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125568, -986, 3553, -2197, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125609, -968, 3463, -2164, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
125650, -916, 3342, -2073, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
