21257, 3788, 1609, -131, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23495, -2847, 2861, 1982, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23526, -2947, 2814, 1980, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23557, -2533, 3278, 2179, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23588, -2393, 3924, 2211, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23619, -2364, 4027, 956, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23661, -1731, 3948, 1082, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23704, -1543, 4076, 1031, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23747, -1549, 3973, 881, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23790, -1208, 3985, 895, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23833, -1252, 4439, 833, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23876, -1403, 4218, 828, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23919, -1169, 3795, 897, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
23962, -1081, 3752, 806, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24005, -915, 3486, 922, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24048, -993, 3749, 710, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24083, -1225, 4289, 503, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24118, -1707, 3931, 108, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24153, -780, 3608, -430, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24188, -1268, 4302, 263, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24223, -1072, 4076, -61, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24259, -1167, 3932, -566, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24294, -978, 4205, -674, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24329, -1295, 3845, -621, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24364, -1281, 3539, -655, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24399, -710, 4127, -996, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24435, -1162, 4023, -1231, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24475, -1029, 3663, -1187, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24516, -1110, 3484, -1576, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24556, -1019, 3675, -1662, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24597, -999, 3608, -1778, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24637, -965, 3218, -1589, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24678, -822, 3135, -1499, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24718, -801, 3335, -1758, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24759, -900, 3351, -1726, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24799, -948, 3138, -1804, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24840, -989, 3318, -1803, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24880, -1064, 3342, -1809, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24921, -1204, 3208, -1740, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
24962, -1069, 3485, -1825, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25002, -1057, 3837, -1949, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25043, -1090, 3385, -2022, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25084, -1084, 3374, -1997, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25124, -1075, 3411, -2002, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25165, -1093, 3412, -2079, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25206, -932, 3345, -2283, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25247, -1116, 3244, -2352, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25286, -1168, 3293, -2451, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25325, -1074, 3222, -2671, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25365, -996, 3022, -2393, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25404, -822, 3038, -2504, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25444, -976, 3034, -2378, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25483, -899, 2937, -2661, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25523, -1073, 3190, -2765, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25562, -1066, 2865, -2666, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25602, -950, 2745, -2589, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25641, -847, 3009, -2945, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25681, -989, 3088, -2843, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25717, -981, 2828, -2660, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25753, -997, 3017, -2815, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25789, -930, 2940, -2930, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25825, -1023, 2932, -2895, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25861, -962, 3037, -2915, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25897, -1016, 2724, -2594, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25933, -997, 2682, -2375, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
25969, -1124, 2878, -2500, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26005, -1161, 3134, -2848, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26041, -921, 2610, -2316, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26078, -999, 3232, -2508, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26115, -891, 3264, -2346, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26152, -884, 3093, -2413, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26189, -919, 3163, -2330, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26226, -1002, 3281, -2408, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26263, -1107, 3130, -2297, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26300, -1050, 3151, -2319, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26337, -851, 3138, -2260, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26374, -993, 3386, -2399, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26411, -869, 3137, -2318, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26448, -889, 3190, -2163, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26486, -929, 3148, -2255, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26525, -980, 3336, -2489, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
26564, -979, 3195, -2452, , 246b013b-7a15-4866-afba-84f39366a9c5, , takbir, takbiratulihram, , 
