9468, 3913, 1260, 62, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10837, -3230, -1237, 32, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10874, -3657, -243, 394, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10911, -3346, 117, 1076, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10948, -3560, 842, 1458, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
10985, -3504, 1759, 1566, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11022, -3265, 1760, 1861, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11059, -3299, 2375, 2356, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11096, -2896, 2284, 2258, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11133, -2903, 2998, 2403, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11170, -2751, 2970, 2751, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11210, -2716, 3052, 2545, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11250, -2440, 2567, 2279, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11291, -2103, 2896, 2574, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11331, -2060, 2917, 2505, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11372, -2131, 3334, 2172, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11412, -1932, 3492, 1740, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11452, -1857, 3613, 1708, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11493, -1735, 3467, 1748, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11533, -1592, 3485, 1750, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11574, -1540, 3482, 1548, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11615, -1414, 3633, 1459, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11656, -1400, 3763, 1294, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11697, -1402, 3859, 1218, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11738, -1298, 3920, 1197, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11779, -1264, 3920, 1180, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11821, -1280, 4029, 1049, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11862, -1244, 4001, 1007, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11903, -1041, 3459, 969, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11944, -1047, 3484, 968, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
11985, -1025, 3709, 868, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12027, -1061, 3949, 642, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12061, -1034, 3890, 648, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12095, -1076, 4033, 545, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12129, -1074, 4194, 478, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12163, -1027, 4279, 467, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12198, -1049, 4043, 284, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12232, -1002, 4169, 172, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12266, -938, 4112, 66, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12300, -905, 3997, 79, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12334, -948, 4158, -12, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12369, -896, 3821, -149, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12405, -854, 4104, -434, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12442, -916, 4025, -364, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12479, -923, 4096, -362, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12516, -1063, 4012, -403, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12553, -1119, 3816, -623, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12590, -1184, 3473, -724, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12627, -1301, 3834, -1122, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12664, -1226, 3437, -1169, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12701, -1274, 3362, -848, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12738, -1268, 3365, -1158, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12775, -1304, 3575, -1198, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12817, -1385, 3607, -1267, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12859, -1367, 3606, -1370, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12901, -1423, 3626, -1355, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12944, -1409, 3616, -1358, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
12986, -1396, 3694, -1368, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13028, -1348, 3682, -1450, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13071, -1366, 3681, -1412, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13113, -1374, 3666, -1406, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13155, -1372, 3615, -1445, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13198, -1314, 3568, -1480, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13235, -1300, 3645, -1446, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13272, -1341, 3546, -1458, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13309, -1335, 3635, -1496, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13347, -1278, 3594, -1433, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13384, -1282, 3619, -1475, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13421, -1270, 3599, -1478, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13459, -1276, 3591, -1454, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13496, -1250, 3588, -1457, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13533, -1255, 3578, -1462, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13571, -1259, 3560, -1516, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13611, -1280, 3554, -1452, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13652, -1248, 3604, -1489, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13693, -1269, 3545, -1511, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13734, -1241, 3594, -1521, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13775, -1173, 3694, -1537, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13815, -1081, 3424, -1389, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13856, -990, 3540, -1547, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13897, -1064, 3271, -1658, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13938, -1158, 2957, -1351, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
13979, -1343, 3653, -1523, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14020, -1644, 4102, -1783, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14056, -1045, 3708, -1736, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14092, -1159, 3702, -1886, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14128, -1194, 3629, -1872, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14164, -1088, 3456, -1793, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14201, -1120, 3372, -1840, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14237, -948, 3381, -1744, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14273, -1060, 3300, -1724, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14309, -1111, 3407, -1804, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14345, -1028, 3449, -1875, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14382, -916, 3454, -1964, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14417, -825, 3626, -2165, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14452, -1141, 3548, -2125, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14487, -1318, 3523, -2298, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14522, -993, 3190, -1929, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14557, -441, 3294, -2218, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
14593, -991, 3524, -2394, , ac6d353d-c2a9-42ca-8610-b0c6655bd6e1, , takbir, takbiratulihram, , 
