14991, 3790, 1588, 341, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18127, -2899, 1062, 2781, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18158, -2595, 2434, 2637, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18189, -2748, 2639, 2837, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18220, -2279, 3074, 2413, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18251, -1879, 3140, 2263, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18282, -1802, 3225, 2368, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18313, -1699, 3329, 2263, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18344, -1665, 3853, 2110, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18375, -1562, 3727, 1894, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18406, -1357, 4022, 1747, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18445, -1225, 3505, 1675, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18484, -1119, 3616, 1373, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18524, -986, 3662, 1186, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18563, -1010, 3677, 1193, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18603, -1043, 3885, 1066, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18642, -1126, 4091, 894, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18681, -1048, 3942, 779, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18721, -1156, 4027, 716, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18760, -1155, 4104, 613, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18800, -1139, 3835, 624, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18839, -1136, 3929, 500, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18879, -1189, 3980, 413, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18919, -1114, 3958, 412, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18958, -1056, 4080, 392, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
18998, -1065, 4073, 249, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19038, -965, 3925, 319, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19077, -1011, 4037, 439, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19117, -956, 3909, 188, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19157, -946, 3998, 207, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19197, -1043, 4258, 55, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19232, -1030, 3913, -281, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19267, -1015, 4145, -436, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19302, -983, 3889, -512, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19338, -1011, 3506, -618, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19373, -949, 4028, -762, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19408, -832, 3703, -820, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19443, -932, 3659, -1065, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19479, -896, 3542, -1111, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19514, -1024, 3343, -1130, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19549, -948, 3669, -1027, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19585, -1042, 3663, -999, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19631, -959, 3477, -1103, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19677, -899, 3672, -980, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
19724, -855, 3396, -1065, , bcc29c73-1340-4543-b0ff-27035b4db2f3, , takbir, takbiratulihram, , 
