33934, 3740, 1689, -346, 82, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36698, 1200, 1411, 3321, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36735, 953, 1678, 3022, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36775, 589, 2587, 2444, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36816, 624, 2863, 1474, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36857, 140, 2908, 2075, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36897, 236, 2783, 2560, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36938, -114, 3469, 1763, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
36979, -69, 3334, 1700, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37019, 186, 3691, 2006, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37060, 297, 3650, 1902, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37101, 162, 3732, 1360, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37142, 164, 3818, 1169, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37182, 129, 3919, 960, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37223, 30, 4212, 823, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37263, -113, 4511, 513, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37304, -124, 4378, 458, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37345, -90, 4240, 304, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37385, 37, 4221, 234, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37426, 77, 4139, 270, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
37467, 59, 4093, 265, 79, deeaaf77-92ba-4a1c-8ee0-fba1e0f68256, , takbir, takbiratulihram, , 
