15003, 3987, 1275, -388, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16666, -730, 3370, 2752, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16709, -559, 3216, 2611, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16753, -767, 4133, 2033, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16796, -863, 3581, 2191, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16840, -825, 3723, 1771, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16883, -1168, 3976, 1558, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16926, -1028, 3532, 1331, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
16970, -1322, 3823, 1090, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17013, -1334, 3651, 821, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17057, -1399, 3854, 276, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17088, -1479, 3562, 154, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17120, -1340, 3945, -294, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17152, -1247, 3622, -533, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17183, -1358, 3715, -667, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17215, -1181, 3664, -810, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17247, -1231, 3671, -916, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17279, -1213, 3969, -1137, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17310, -1170, 3598, -1086, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17342, -1259, 3585, -1016, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17374, -1170, 3773, -1110, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17406, -1125, 3675, -1083, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17446, -1229, 3860, -1059, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17486, -1179, 3848, -1129, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17526, -1129, 3760, -1128, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17566, -1183, 3857, -1131, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17606, -1092, 3603, -1045, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17646, -1062, 3754, -1110, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17686, -1065, 3564, -1193, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17726, -1064, 3682, -1075, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17766, -1017, 3780, -1271, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17807, -924, 3537, -1359, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17849, -1004, 3789, -1213, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17891, -842, 3892, -1327, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17934, -973, 3856, -1120, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
17976, -955, 3950, -1486, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18019, -937, 3811, -1309, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18061, -963, 3858, -1511, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18103, -914, 3756, -1362, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18146, -916, 3852, -1414, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18188, -907, 3703, -1369, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18231, -894, 3799, -1342, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18265, -935, 3764, -1449, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18299, -919, 3789, -1335, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18333, -959, 3745, -1360, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18367, -960, 3699, -1447, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18401, -985, 3723, -1543, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18436, -970, 3644, -1529, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18470, -954, 3696, -1495, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18504, -938, 3627, -1433, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18538, -921, 3643, -1446, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18572, -907, 3592, -1489, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18607, -886, 3611, -1552, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18649, -743, 3421, -1883, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18692, -643, 3198, -2317, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18734, 80, 2820, -1891, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18777, -1522, 3248, 658, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18819, -1021, 4163, -2480, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18862, -2562, 3390, -2050, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18904, -1426, 4216, -2628, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18947, -1438, 3230, -2349, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
18989, -1311, 3455, -2265, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
19032, -1169, 2936, -2071, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
19067, -1183, 3110, -2274, , 854b89bd-b689-47bf-bfe4-48025c466f06, , takbir, takbiratulihram, , 
