148489, 4100, 287, -445, 91, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149426, -2910, -51, 1723, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149471, -2468, -1161, 1053, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149516, -2725, -1676, 781, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149561, -1919, -2411, 430, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149606, -1556, -1984, -28, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149651, -799, -2811, -819, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149696, -720, -2822, -1346, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149741, -689, -3643, -1353, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149786, -827, -3616, -1341, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149831, -992, -3815, -1280, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149864, -1213, -3641, -1005, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149898, -1566, -3576, -1033, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149931, -1885, -3529, -905, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149965, -2031, -3388, -872, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
149998, -2149, -3184, -877, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150032, -2071, -2919, -811, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150065, -2349, -2629, -824, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150099, -2459, -2764, -738, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150132, -2879, -2332, -535, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150166, -3247, -2294, -467, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150200, -3156, -2199, -241, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150239, -3582, -1794, 62, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150278, -3327, -1634, 535, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150317, -3634, -1236, 702, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150356, -3311, -829, 1367, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150395, -3388, -560, 1442, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150434, -3218, 88, 2114, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150473, -2937, 108, 1444, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150512, -2677, 450, 2763, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150551, -2391, 695, 3181, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150590, -2507, 1007, 3755, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150635, -2368, 1897, 4410, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150680, -2024, 562, 4290, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150726, -1800, 2166, 4065, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150771, -1484, 1347, 4383, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150817, -1245, 2294, 3151, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150862, -1437, 3134, 3330, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150907, -1382, 3967, 3055, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150953, -936, 3205, 2465, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
150998, -867, 3614, 2246, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151044, -858, 4025, 1608, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151074, -737, 3971, 1346, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151105, -747, 3858, 1156, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151136, -825, 4249, 683, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151166, -710, 3926, 562, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151197, -822, 4273, -29, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151228, -903, 4122, -487, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151259, -1022, 3716, -296, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151289, -989, 3692, -624, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151320, -934, 4019, -365, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151351, -907, 3920, -1002, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151382, -699, 4014, -1103, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151425, -979, 3749, -1156, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151468, -823, 3688, -1319, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151511, -898, 3473, -1560, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151555, -836, 3634, -1876, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151598, -1034, 3067, -1677, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151641, -1069, 3320, -1932, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151685, -1086, 3383, -1883, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151728, -1179, 3370, -1921, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151771, -1141, 3341, -2159, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151815, -1320, 3251, -1996, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151851, -1244, 3113, -2107, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151888, -1335, 3329, -2008, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151924, -1335, 3314, -1977, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151961, -1236, 3154, -1963, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
151997, -1372, 3373, -1909, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152034, -1352, 3344, -2123, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152070, -1441, 3220, -2036, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152107, -1376, 3265, -2100, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152143, -1496, 3368, -2329, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152180, -1472, 3314, -2089, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152217, -1438, 3178, -1879, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152257, -1375, 3189, -2066, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152297, -1300, 3047, -1895, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152338, -1188, 3302, -2245, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152378, -1131, 3449, -2382, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152419, -1191, 3440, -2402, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152459, -1256, 3434, -2286, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152499, -1127, 3313, -2188, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152540, -1175, 3281, -2215, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152580, -1141, 3246, -2221, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152621, -1126, 3156, -2116, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152655, -1376, 3100, -2223, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152690, -1346, 3124, -2085, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152725, -1419, 3049, -2163, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152760, -1294, 3028, -2216, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152795, -1347, 3242, -2194, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152829, -1265, 3041, -2331, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152864, -1062, 3181, -2297, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152899, -1099, 3236, -2418, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152934, -1066, 3323, -2407, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
152969, -1192, 3247, -2355, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
153004, -1118, 3117, -2304, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
153042, -1194, 3056, -2297, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
153080, -1205, 3198, -2292, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
153118, -1134, 3212, -2330, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
153156, -1075, 3167, -2325, 93, 3a786a19-64b4-4ec8-984d-14b86d4eced4, , takbir, takbiratulihram, , 
