41121, 4036, 664, -446, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43380, -3534, -1783, 1065, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43415, -3578, -1792, 1060, 84, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43455, -3541, -1832, 994, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43495, -3476, -1864, 982, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43535, -3475, -1934, 999, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43575, -3445, -1877, 1077, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43616, -3482, -1843, 1085, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43656, -3516, -1807, 1077, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43696, -3594, -1726, 1063, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43736, -3590, -1822, 1081, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43776, -3593, -1887, 995, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43817, -3500, -1947, 979, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43856, -3483, -1830, 1019, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43896, -3460, -1851, 918, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43935, -3482, -1866, 992, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
43975, -3474, -1901, 1070, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44015, -3527, -1958, 1001, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44054, -3554, -1961, 993, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44094, -3503, -2003, 911, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44134, -3425, -2067, 834, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44173, -3376, -2032, 800, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44213, -3400, -2063, 782, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44253, -3441, -1902, 853, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44287, -3424, -2029, 816, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44322, -3475, -2047, 741, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44356, -3508, -2116, 792, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44391, -3500, -2154, 721, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44425, -3459, -2055, 698, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44460, -3439, -2091, 693, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44494, -3422, -2088, 806, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44529, -3413, -2081, 733, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44563, -3433, -2130, 755, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44598, -3493, -2107, 732, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44638, -3499, -2109, 738, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44679, -3456, -2079, 750, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44720, -3439, -2118, 742, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44761, -3366, -2137, 724, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44802, -3403, -2145, 696, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44843, -3444, -2059, 678, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44884, -3445, -2097, 669, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44925, -3459, -2187, 710, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
44966, -3459, -2164, 768, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45007, -3466, -2047, 779, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45048, -3455, -1982, 829, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45085, -3431, -2024, 779, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45122, -3433, -2095, 754, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45160, -3421, -2081, 751, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45197, -3429, -1995, 789, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45235, -3410, -1981, 798, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45272, -3452, -1920, 921, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45309, -3535, -1953, 973, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45347, -3588, -1958, 1021, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45384, -3613, -1926, 1014, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45422, -3632, -1893, 1007, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45463, -3503, -1928, 928, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45504, -3466, -1972, 910, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45546, -3455, -1949, 874, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45587, -3476, -1955, 870, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45629, -3499, -1910, 869, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45670, -3505, -1919, 948, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45711, -3506, -1913, 962, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45753, -3474, -1900, 945, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45794, -3505, -1957, 971, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45836, -3516, -1949, 955, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45870, -3483, -1966, 904, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45905, -3459, -1966, 890, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45940, -3412, -1957, 872, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
45975, -3327, -1972, 738, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46010, -3267, -1950, 684, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46044, -3164, -1915, 586, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46079, -2916, -1905, 569, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46114, -3016, -1543, 645, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46149, -2850, -1134, 750, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46184, -2874, -220, 1228, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46219, -2647, -299, 1782, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46257, -2530, 88, 2016, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46295, -2134, 343, 3073, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46333, -1783, 948, 3067, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46371, -3313, 2846, 3477, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46409, -2636, 4084, 2647, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46447, -2188, 4380, 1843, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46485, -2085, 5000, 1410, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46523, -1439, 4382, 1501, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46561, -1063, 4431, 520, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46599, -1404, 4987, 45, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46639, -799, 4163, -125, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46679, -826, 4127, -658, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46720, -643, 3678, -1371, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46760, -720, 3375, -887, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46800, -702, 4080, -1493, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46841, -641, 3110, -1274, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46881, -645, 3907, -1069, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46921, -560, 4056, -1861, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
46962, -651, 3576, -1896, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47002, -545, 3458, -1481, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47043, -750, 4026, -1379, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47079, -382, 3368, -1354, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47115, -747, 3965, -1830, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47151, -1250, 3580, -2387, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47187, -945, 3915, -2085, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47224, -920, 3700, -2068, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47260, -958, 3670, -2103, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
47296, -885, 3386, -1955, 85, 01f08012-3cbc-4a70-a1f1-1ccadf086f33, , takbir, takbiratulihram, , 
