24751, 4098, 413, 76, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25462, 850, 4090, 1813, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25493, 212, 3542, 2032, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25525, -279, 3449, 1980, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25556, -768, 3039, 2074, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25587, -1420, 2031, 1851, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25619, -2008, 1250, 1661, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25659, -2337, 792, 1227, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25700, -2220, 397, 1189, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25740, -2210, -463, 809, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25781, -2047, -1341, 341, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25822, -2082, -2142, 146, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25862, -2525, -3231, -508, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25903, -2698, -3073, -295, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25943, -2771, -2477, 11, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
25984, -3532, -1742, -21, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26025, -3339, -853, 219, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26059, -3280, -453, 476, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26093, -2980, -111, 957, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26127, -2723, 521, 1222, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26161, -2588, 1266, 1815, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26195, -2589, 1789, 2400, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26230, -2688, 2434, 2243, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26264, -2430, 2307, 2400, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26298, -2252, 3372, 2638, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26332, -2137, 3113, 1816, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26366, -1900, 2928, 3276, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26401, -1510, 3610, 3077, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26442, -1413, 3085, 2756, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26483, -1184, 2846, 2608, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26524, -801, 4282, 2255, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26565, -649, 3801, 2416, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26606, -363, 5217, 1886, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26647, -463, 4540, 1691, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26688, -327, 4079, 1543, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26729, -136, 4034, 1420, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26770, -109, 3809, 1434, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26812, -133, 3872, 1434, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26853, -232, 4144, 745, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26895, 354, 3812, 905, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26937, 387, 3897, 1555, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
26978, 159, 3825, 1439, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27020, 176, 3847, 901, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27062, 176, 4343, 1057, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27103, 194, 4282, 993, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27145, 226, 4186, 927, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27187, 111, 4354, 741, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27229, 101, 4204, 616, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27262, 131, 4222, 613, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27296, -42, 4112, 413, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27330, -174, 4054, 309, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27364, -271, 3848, 128, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27398, -103, 4031, 157, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27431, -182, 4140, 195, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27465, -162, 4058, 246, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27499, -399, 4074, 99, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27533, -404, 3965, -161, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27567, -468, 4056, -410, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27601, -556, 3779, -236, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27646, -529, 3841, -127, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27691, -583, 3748, -4, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27736, -592, 3799, -54, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27781, -580, 3931, -236, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27827, -579, 3921, -234, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27872, -591, 4093, -272, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27917, -562, 4044, -300, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
27962, -581, 4007, -312, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28007, -567, 4003, -348, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28053, -544, 3946, -391, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28089, -542, 4033, -431, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28125, -575, 4051, -501, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28161, -595, 4064, -494, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28197, -586, 4066, -517, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28233, -605, 4035, -541, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28269, -588, 3943, -500, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28305, -633, 3831, -544, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28341, -563, 4033, -729, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28377, -555, 4024, -762, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28413, -533, 4043, -830, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28446, -350, 4099, -756, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28479, -586, 3936, -648, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28513, -618, 3881, -706, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28546, -639, 3823, -739, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28579, -910, 3872, -983, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28613, -890, 4026, -1194, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28646, -744, 4204, -1177, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
28679, -682, 4246, -1163, , 85d86b2c-9ad4-4252-9cbb-c8726e52759d, , takbir, takbiratulihram, , 
