146563, 1329, 2101, 3418, 99, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151578, 1173, 2294, 3246, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151612, 1124, 2316, 3263, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151646, 1140, 2312, 3249, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151680, 1132, 2268, 3254, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151714, 1172, 2252, 3244, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151748, 1154, 2295, 3265, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151782, 1134, 2325, 3227, 95, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151817, 1145, 2308, 3229, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151853, 1146, 2295, 3262, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151888, 1125, 2317, 3250, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151924, 1139, 2304, 3254, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151959, 1132, 2300, 3241, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
151995, 1143, 2288, 3246, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152030, 1141, 2297, 3253, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152066, 1123, 2289, 3260, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152101, 1114, 2318, 3240, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152137, 1136, 2309, 3268, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152173, 1122, 2289, 3242, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152212, 1127, 2282, 3255, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152251, 1127, 2280, 3270, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152290, 1096, 2321, 3238, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152329, 1102, 2320, 3252, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152368, 1125, 2314, 3237, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152407, 1133, 2303, 3248, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152446, 1122, 2316, 3261, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152485, 1109, 2332, 3250, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152524, 1103, 2290, 3248, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152564, 1109, 2310, 3253, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152601, 1112, 2323, 3241, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152638, 1118, 2308, 3235, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152675, 1117, 2312, 3238, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152712, 1119, 2309, 3272, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152749, 1115, 2374, 3264, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152786, 1094, 2301, 3230, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152823, 1137, 2314, 3263, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152860, 1125, 2336, 3243, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152897, 1092, 2322, 3230, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152934, 1099, 2308, 3254, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
152972, 1128, 2332, 3249, 94, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153010, 1106, 2299, 3252, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153049, 1108, 2327, 3244, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153087, 1078, 2354, 3247, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153126, 1093, 2328, 3229, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153164, 1114, 2311, 3262, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153203, 1102, 2309, 3217, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153241, 1107, 2337, 3245, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153280, 1101, 2337, 3253, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153318, 1106, 2346, 3234, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153357, 1125, 2310, 3237, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153399, 1104, 2331, 3244, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153441, 1118, 2319, 3239, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153483, 1094, 2329, 3262, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153525, 1100, 2375, 3227, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153567, 1085, 2357, 3232, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153609, 1124, 2343, 3238, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153651, 1092, 2296, 3237, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153693, 1080, 2333, 3253, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153735, 1083, 2366, 3221, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153777, 1062, 2306, 3222, 92, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153816, 1106, 2346, 3242, 89, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
153856, 1082, 2328, 3247, 89, 3fc124e5-6e35-48e7-aa4a-8b9f0aa4a76c, , duduk, duduk_tasyahud_akhir, , 
