340481, 2143, 1485, 3193, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
342922, -2108, 2802, 2338, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342956, -1950, 2125, 1799, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
342990, -2391, 3147, 1284, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343024, -2495, 2242, 510, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343058, -2739, 2300, 112, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343092, -3131, 1898, 148, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343126, -3072, 1914, 276, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343163, -3401, 2260, 196, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343200, -3341, 2234, 89, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343237, -3266, 2297, 105, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343274, -3077, 2443, 61, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343311, -3395, 2088, 419, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343348, -3246, 2111, 334, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343385, -3332, 2567, 114, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343422, -3254, 2573, 230, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343459, -3351, 2403, 528, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343496, -3258, 2695, 164, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343534, -3659, 1980, 498, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343574, -3300, 1945, 638, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343614, -3416, 2644, 830, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343654, -3261, 2228, 641, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343694, -3350, 2162, 401, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343734, -3157, 2192, 850, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343774, -3376, 2311, 780, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343814, -3406, 2305, 243, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343854, -3564, 2364, 41, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343894, -3486, 1955, 590, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343934, -3436, 2193, 247, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
343973, -3730, 1570, 285, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344012, -3327, 1896, 147, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344051, -3082, 2319, 266, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344091, -3176, 2547, 268, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344130, -3274, 2358, 223, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344169, -3644, 2162, -5, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344209, -3352, 2173, 236, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344248, -3165, 2512, 334, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344287, -3065, 2403, 7, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344327, -3131, 2483, -42, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344364, -3100, 2584, 30, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344401, -3039, 2459, 210, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344438, -3130, 458, 1992, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344475, -1951, 2468, 790, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344512, -1746, 2926, 955, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344550, -1569, 2573, 1355, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344587, -1643, 1286, 2557, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344624, -1423, 1668, 3032, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344661, -218, 2843, 1891, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344698, 111, 3057, 3729, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344736, -389, 846, 3297, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344775, 936, -101, 3538, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344815, 1866, 3107, 5210, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344855, 1767, 3149, 3984, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344895, 2135, 1190, 4660, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344935, 2788, 2380, 4290, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
344974, 2539, 1637, 3241, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345014, 2968, 1210, 3399, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345054, 2420, 429, 3341, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345094, 2239, 175, 3044, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345134, 2807, 335, 3666, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345170, 3850, 4110, 4578, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345207, 2251, 812, 2831, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345244, 2829, 613, 2877, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345281, 2235, -177, 2929, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345318, 2360, -308, 4102, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345355, 2220, -774, 4095, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345392, 1972, 200, 3566, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345429, 1978, 706, 3384, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345466, 1920, 949, 3577, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345503, 1914, 1053, 3568, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345540, 1840, 1064, 3582, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345580, 1945, 769, 3628, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345620, 2013, 636, 3644, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, menggaruk, 
345660, 1997, 685, 3607, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
345700, 1911, 801, 3607, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
345740, 1867, 875, 3615, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
345780, 1858, 916, 3619, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
345820, 1850, 923, 3580, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
345860, 1893, 884, 3602, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
345900, 1947, 817, 3606, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
345940, 1889, 839, 3615, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
345979, 1878, 849, 3617, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346018, 1887, 879, 3606, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346058, 1883, 891, 3587, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346097, 1910, 885, 3588, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346137, 1915, 870, 3594, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346176, 1899, 867, 3610, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346215, 1882, 897, 3607, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346255, 1930, 896, 3601, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346294, 1920, 837, 3577, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346334, 1908, 845, 3583, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346369, 1903, 848, 3632, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346405, 1887, 915, 3585, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346440, 1905, 885, 3594, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346476, 1932, 891, 3586, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346512, 1888, 901, 3587, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346547, 1878, 933, 3611, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346583, 1904, 870, 3572, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346619, 1902, 901, 3580, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346654, 1929, 896, 3601, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346690, 1891, 902, 3578, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346726, 1896, 900, 3578, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346766, 1880, 950, 3590, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346807, 1913, 905, 3578, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346848, 1855, 899, 3610, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346889, 1847, 895, 3562, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346930, 1874, 902, 3621, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
346970, 1875, 965, 3612, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347011, 1866, 915, 3566, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347052, 1894, 894, 3592, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347093, 1896, 913, 3605, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347134, 1847, 942, 3581, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347172, 1861, 934, 3605, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347211, 1866, 956, 3582, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347250, 1880, 935, 3580, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347288, 1882, 1048, 3561, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347327, 1909, 834, 3611, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347366, 1869, 820, 3648, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347404, 1899, 958, 3566, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347443, 1880, 964, 3594, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347482, 1878, 927, 3607, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347521, 1886, 892, 3594, 76, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347557, 1895, 935, 3594, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347594, 1876, 863, 3621, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347631, 1868, 888, 3616, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347667, 1888, 925, 3586, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347704, 1879, 916, 3593, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347741, 1833, 873, 3610, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347778, 1885, 893, 3595, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347814, 1877, 882, 3598, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347851, 1887, 880, 3606, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347888, 1875, 923, 3602, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347925, 1858, 897, 3577, 77, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
347966, 1866, 937, 3609, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348007, 1909, 905, 3601, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348048, 1890, 892, 3606, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348089, 1859, 899, 3609, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348130, 1895, 912, 3605, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348171, 1883, 922, 3605, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348212, 1851, 925, 3605, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348253, 1885, 913, 3601, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348294, 1892, 882, 3596, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348336, 1865, 876, 3593, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
348375, 1884, 923, 3601, 79, 11478c77-014a-409a-b2c3-15b7ad114c07, , duduk, duduk_tasyahud_akhir, , 
