440597, 2254, 1995, 2877, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
442705, 2284, 2007, 2822, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
442741, 2296, 1993, 2841, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
442777, 2285, 1987, 2824, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
442813, 2280, 1997, 2834, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
442854, 2283, 1998, 2856, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
442896, 2276, 2000, 2835, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
442938, 2276, 1986, 2824, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
442980, 2286, 1987, 2816, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443022, 2264, 1980, 2853, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443063, 2263, 2016, 2835, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443105, 2274, 2037, 2837, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443147, 2288, 1989, 2783, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443189, 2306, 2003, 2815, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443231, 2281, 1999, 2861, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443276, 2261, 2023, 2814, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443321, 2287, 1999, 2834, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443366, 2280, 1994, 2830, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443412, 2267, 2009, 2828, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443457, 2244, 1999, 2850, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443502, 2265, 2011, 2827, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443548, 2291, 1998, 2850, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443593, 2278, 1995, 2822, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443638, 2279, 2019, 2828, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443684, 2293, 2005, 2819, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443717, 2251, 2008, 2827, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443750, 2276, 2010, 2816, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443783, 2265, 2008, 2798, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443816, 2267, 2014, 2823, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443849, 2285, 2021, 2832, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443882, 2299, 1978, 2847, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443915, 2272, 1998, 2872, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443948, 2242, 2069, 2815, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
443981, 2225, 2047, 2838, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444014, 2279, 2015, 2810, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444047, 2277, 2009, 2851, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444084, 2296, 2005, 2834, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444121, 2253, 2014, 2811, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444158, 2237, 2027, 2814, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444195, 2261, 2034, 2850, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444232, 2245, 2021, 2841, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444269, 2276, 2017, 2825, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444306, 2257, 2033, 2820, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444343, 2258, 2020, 2822, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444380, 2277, 2031, 2822, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444418, 2261, 2024, 2824, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444454, 2257, 2047, 2822, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444490, 2228, 2014, 2824, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444527, 2269, 2039, 2829, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444563, 2248, 1991, 2832, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444600, 2262, 2014, 2826, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444636, 2254, 2013, 2848, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444673, 2255, 2022, 2824, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444709, 2206, 2064, 2841, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444746, 2237, 2034, 2820, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444782, 2268, 2030, 2849, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444819, 2269, 1978, 2827, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444863, 2285, 2003, 2826, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444908, 2267, 2013, 2826, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444952, 2247, 2034, 2831, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
444997, 2244, 2017, 2828, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445041, 2282, 2042, 2818, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445086, 2276, 2017, 2835, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445130, 2261, 1986, 2837, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445175, 2254, 2001, 2840, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445219, 2274, 2028, 2821, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445264, 2274, 2033, 2825, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445305, 2265, 2018, 2805, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445347, 2271, 2012, 2806, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445389, 2280, 2034, 2836, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445431, 2275, 2028, 2812, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445473, 2270, 2021, 2828, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445514, 2286, 2034, 2831, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445556, 2260, 2017, 2818, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445598, 2219, 2017, 2829, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445640, 2276, 2060, 2809, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445682, 2286, 2042, 2815, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445714, 2278, 2009, 2823, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445746, 2256, 2006, 2853, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445779, 2278, 2016, 2824, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445811, 2254, 2047, 2796, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445844, 2262, 2014, 2808, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445876, 2278, 2035, 2818, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445909, 2254, 2072, 2822, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445941, 2271, 2053, 2811, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
445974, 2271, 2014, 2826, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446006, 2264, 2033, 2828, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446039, 2254, 2020, 2834, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446079, 2255, 2045, 2841, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446120, 2239, 2027, 2839, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446161, 2238, 2039, 2828, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446202, 2229, 2046, 2817, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446243, 2261, 2029, 2823, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446284, 2253, 2038, 2823, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446325, 2237, 2051, 2818, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446366, 2251, 2064, 2828, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446407, 2267, 2043, 2814, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446448, 2247, 2010, 2839, 76, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446481, 2252, 2028, 2839, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446514, 2237, 2056, 2813, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446548, 2229, 2045, 2842, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446581, 2251, 2044, 2815, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446614, 2250, 2020, 2848, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446648, 2258, 2020, 2815, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446681, 2271, 2059, 2831, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446714, 2241, 2021, 2815, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446748, 2227, 2045, 2824, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446781, 2248, 2059, 2834, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446815, 2231, 2027, 2832, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446859, 2241, 2017, 2810, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446903, 2257, 2025, 2829, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446947, 2271, 2009, 2826, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
446991, 2274, 2018, 2850, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447035, 2253, 2036, 2828, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447079, 2212, 2070, 2811, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447123, 2273, 2047, 2813, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447167, 2279, 2007, 2805, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447211, 2262, 2006, 2828, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447255, 2263, 2005, 2817, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447291, 2283, 2015, 2801, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447328, 2286, 2037, 2828, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447365, 2259, 2024, 2822, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447402, 2282, 2006, 2812, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447439, 2269, 2012, 2832, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447475, 2258, 2055, 2825, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447512, 2264, 2046, 2813, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447549, 2280, 2021, 2819, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447586, 2239, 2039, 2828, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447623, 2259, 2047, 2803, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447660, 2275, 2046, 2832, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447698, 2251, 2026, 2841, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447735, 2249, 2037, 2824, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447773, 2236, 2036, 2826, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447811, 2219, 2055, 2829, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447848, 2256, 2046, 2795, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447886, 2282, 2036, 2808, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447924, 2295, 2020, 2809, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447961, 2240, 2023, 2842, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
447999, 2243, 2056, 2838, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448037, 2230, 2053, 2817, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448081, 2262, 2031, 2813, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448126, 2266, 2021, 2821, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448171, 2233, 2031, 2840, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448216, 2238, 2047, 2818, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448261, 2254, 2061, 2821, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448305, 2244, 2037, 2797, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448350, 2241, 2001, 2821, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448395, 2229, 2033, 2841, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448440, 2235, 2052, 2811, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448485, 2254, 2053, 2823, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448519, 2242, 2029, 2842, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448554, 2258, 2026, 2842, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448588, 2203, 2063, 2817, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448623, 2249, 2055, 2817, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448658, 2281, 2042, 2816, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448692, 2257, 2021, 2833, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448727, 2225, 2059, 2843, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448761, 2222, 2058, 2820, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448796, 2222, 2087, 2836, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
448831, 2229, 2066, 2817, 75, d159a131-3f41-4518-9304-e2e2475a38f4, , duduk, duduk_tasyahud_akhir, , 
