245735, 2152, 2193, 2749, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246347, 2141, 2209, 2819, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246387, 2155, 2172, 2770, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246426, 2125, 2227, 2847, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246466, 2131, 2150, 2770, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246506, 2181, 2118, 2781, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246546, 2134, 2182, 2796, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246586, 2176, 2167, 2821, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246626, 2151, 2157, 2823, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246666, 2128, 2216, 2818, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246706, 2140, 2133, 2772, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246746, 2159, 2252, 2815, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246786, 2143, 2163, 2796, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246822, 2148, 2161, 2805, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246859, 2114, 2203, 2775, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246896, 2133, 2203, 2760, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246933, 2128, 2205, 2835, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
246970, 2139, 2163, 2772, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247007, 2181, 2197, 2792, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247044, 2155, 2167, 2781, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247081, 2100, 2214, 2827, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247118, 2148, 2161, 2780, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247155, 2148, 2191, 2792, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247192, 2135, 2182, 2791, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247231, 2092, 2194, 2824, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247270, 2134, 2199, 2795, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247309, 2160, 2176, 2799, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247349, 2140, 2199, 2789, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247388, 2128, 2178, 2819, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247427, 2121, 2198, 2815, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247467, 2157, 2190, 2796, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247506, 2126, 2159, 2784, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247545, 2125, 2193, 2811, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247585, 2145, 2163, 2803, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247625, 2150, 2194, 2812, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247666, 2152, 2185, 2805, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247706, 2134, 2174, 2800, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247747, 2156, 2210, 2805, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247788, 2140, 2189, 2809, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247828, 2130, 2198, 2803, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247869, 2158, 2160, 2812, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247909, 2138, 2218, 2817, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247950, 2145, 2157, 2780, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
247991, 2128, 2185, 2817, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248032, 2124, 2194, 2796, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248073, 2135, 2159, 2796, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248115, 2134, 2163, 2802, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248156, 2106, 2182, 2813, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248198, 2140, 2186, 2834, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248239, 2158, 2177, 2797, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248281, 2140, 2189, 2783, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248322, 2118, 2172, 2798, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248364, 2127, 2192, 2805, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248405, 2138, 2163, 2812, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248447, 2131, 2155, 2820, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248482, 2142, 2205, 2802, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248518, 2140, 2179, 2804, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248554, 2125, 2197, 2792, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248590, 2136, 2178, 2799, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248626, 2141, 2198, 2794, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248662, 2143, 2158, 2806, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248698, 2148, 2186, 2816, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248734, 2130, 2188, 2806, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248770, 2134, 2166, 2800, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248806, 2159, 2206, 2788, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248838, 2145, 2198, 2818, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248871, 2150, 2179, 2804, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248904, 2153, 2165, 2793, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248937, 2150, 2171, 2826, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
248970, 2140, 2201, 2808, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249003, 2142, 2176, 2813, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249036, 2138, 2153, 2820, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249069, 2129, 2191, 2795, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249102, 2142, 2158, 2808, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249135, 2127, 2157, 2804, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249168, 2139, 2166, 2821, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249208, 2117, 2194, 2813, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249249, 2145, 2193, 2798, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249289, 2130, 2172, 2825, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249330, 2154, 2185, 2816, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249370, 2113, 2162, 2791, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249411, 2147, 2175, 2824, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249451, 2111, 2154, 2801, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249492, 2141, 2180, 2805, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249532, 2137, 2152, 2821, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249573, 2145, 2176, 2822, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249611, 2125, 2158, 2813, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249650, 2134, 2149, 2826, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249689, 2129, 2197, 2801, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249728, 2136, 2160, 2838, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249767, 2135, 2186, 2805, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249806, 2151, 2182, 2802, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249845, 2132, 2171, 2827, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249884, 2134, 2198, 2816, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249923, 2135, 2166, 2841, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
249962, 2168, 2173, 2820, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250005, 2127, 2180, 2811, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250048, 2125, 2165, 2817, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250091, 2126, 2177, 2804, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250134, 2162, 2154, 2801, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250177, 2143, 2174, 2813, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250220, 2120, 2184, 2825, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250263, 2132, 2163, 2829, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250306, 2152, 2170, 2805, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250349, 2144, 2177, 2808, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250392, 2113, 2176, 2819, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250436, 2143, 2141, 2808, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250472, 2137, 2172, 2818, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250509, 2143, 2141, 2807, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250546, 2127, 2164, 2794, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250583, 2149, 2168, 2798, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250620, 2131, 2147, 2825, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250657, 2102, 2180, 2801, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250694, 2137, 2178, 2833, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250731, 2149, 2198, 2788, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250768, 2148, 2145, 2808, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250805, 2121, 2177, 2820, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250839, 2156, 2176, 2795, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250874, 2158, 2183, 2799, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250909, 2129, 2177, 2800, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250944, 2122, 2165, 2810, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
250979, 2133, 2194, 2802, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251014, 2131, 2143, 2812, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251049, 2138, 2177, 2807, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251084, 2131, 2196, 2803, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251119, 2147, 2176, 2818, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251154, 2137, 2156, 2810, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251189, 2146, 2194, 2811, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251229, 2136, 2177, 2837, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251269, 2138, 2198, 2831, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251309, 2141, 2172, 2806, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251349, 2146, 2179, 2826, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251389, 2146, 2152, 2795, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251429, 2126, 2190, 2827, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251469, 2134, 2190, 2814, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251509, 2130, 2165, 2802, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251549, 2130, 2176, 2812, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251589, 2120, 2176, 2815, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251629, 2147, 2174, 2812, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251669, 2147, 2147, 2828, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251710, 2123, 2176, 2824, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251750, 2124, 2175, 2814, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251791, 2148, 2160, 2836, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251831, 2126, 2187, 2805, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251871, 2120, 2186, 2856, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251912, 2160, 2164, 2812, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251952, 2139, 2178, 2812, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
251993, 2119, 2167, 2813, 78, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252028, 2147, 2154, 2829, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252064, 2133, 2168, 2802, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252100, 2124, 2160, 2823, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252135, 2127, 2168, 2826, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252171, 2133, 2166, 2805, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252207, 2139, 2173, 2833, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252243, 2128, 2167, 2815, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252278, 2139, 2169, 2795, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252314, 2145, 2172, 2826, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252350, 2113, 2186, 2789, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252386, 2135, 2165, 2821, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252425, 2140, 2175, 2823, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252465, 2138, 2165, 2830, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252505, 2147, 2140, 2812, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252545, 2125, 2171, 2806, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252585, 2103, 2174, 2823, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252625, 2115, 2195, 2829, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252665, 2134, 2175, 2810, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252705, 2138, 2162, 2825, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252745, 2105, 2182, 2819, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252785, 2137, 2184, 2819, 79, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252826, 2134, 2157, 2810, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252868, 2129, 2179, 2823, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252910, 2133, 2184, 2804, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252952, 2143, 2181, 2828, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
252994, 2119, 2189, 2817, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253035, 2118, 2184, 2822, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253077, 2134, 2160, 2834, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253119, 2109, 2189, 2827, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253161, 2134, 2165, 2815, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253203, 2125, 2182, 2817, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253245, 2110, 2185, 2807, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253279, 2125, 2172, 2829, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253313, 2148, 2165, 2825, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253348, 2113, 2179, 2812, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253382, 2123, 2174, 2832, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253417, 2121, 2171, 2825, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253451, 2134, 2175, 2835, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253485, 2149, 2170, 2803, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253520, 2130, 2187, 2817, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253554, 2112, 2184, 2817, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253589, 2120, 2180, 2820, 80, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253629, 2124, 2166, 2821, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253669, 2122, 2192, 2820, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253709, 2125, 2155, 2816, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253750, 2131, 2156, 2806, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253790, 2140, 2165, 2820, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253830, 2108, 2178, 2820, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253871, 2128, 2185, 2831, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253911, 2161, 2157, 2823, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253951, 2123, 2163, 2830, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
253992, 2133, 2162, 2835, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
254028, 2120, 2157, 2804, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
254064, 2150, 2177, 2828, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
254101, 2149, 2149, 2834, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
254137, 2114, 2175, 2821, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
254174, 2145, 2186, 2817, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
254210, 2136, 2176, 2797, 81, 8003926c-d162-4311-9c38-cd032279463a, , duduk, duduk_tasyahud_akhir, , 
