290999, 1735, 1915, 2949, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292118, 1460, 2498, 2982, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292160, 1352, 2626, 2916, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292202, 1419, 2642, 2913, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292244, 1503, 2568, 2881, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292286, 1478, 2577, 2867, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292328, 1408, 2631, 2880, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292370, 1362, 2666, 2868, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292408, 1378, 2646, 2874, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292447, 1410, 2654, 2886, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292486, 1391, 2619, 2861, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292524, 1383, 2632, 2879, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292563, 1423, 2651, 2876, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292602, 1403, 2601, 2870, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292640, 1339, 2644, 2849, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292679, 1295, 2723, 2815, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292718, 1305, 2732, 2837, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292757, 1327, 2723, 2828, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292798, 1324, 2737, 2798, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292840, 1318, 2706, 2829, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292881, 1335, 2724, 2857, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292923, 1314, 2732, 2800, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
292965, 1308, 2747, 2810, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293006, 1326, 2741, 2829, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293048, 1319, 2780, 2777, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293090, 1298, 2775, 2802, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293131, 1279, 2794, 2789, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293173, 1275, 2794, 2784, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293215, 1270, 2788, 2779, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293249, 1249, 2785, 2779, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293283, 1269, 2793, 2782, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293317, 1274, 2786, 2764, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293351, 1260, 2828, 2757, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293385, 1226, 2844, 2739, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293419, 1272, 2818, 2726, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293453, 1285, 2844, 2723, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293487, 1279, 2844, 2704, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293521, 1251, 2837, 2759, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293555, 1229, 2813, 2761, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293592, 1244, 2828, 2752, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293629, 1215, 2883, 2743, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293666, 1217, 2846, 2736, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293703, 1220, 2862, 2733, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293740, 1244, 2841, 2745, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293778, 1253, 2847, 2739, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293815, 1255, 2845, 2735, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293852, 1301, 2814, 2739, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293889, 1274, 2833, 2734, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293926, 1297, 2865, 2729, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
293964, 1277, 2827, 2742, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294004, 1303, 2793, 2742, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294044, 1312, 2816, 2733, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294084, 1324, 2822, 2745, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294125, 1316, 2814, 2771, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294165, 1289, 2801, 2741, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294205, 1333, 2811, 2742, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294246, 1349, 2805, 2731, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294286, 1341, 2805, 2740, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294326, 1328, 2799, 2739, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294367, 1333, 2805, 2736, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294405, 1353, 2800, 2754, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294444, 1339, 2784, 2729, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294482, 1333, 2820, 2749, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294521, 1351, 2823, 2737, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294560, 1364, 2772, 2739, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294598, 1360, 2804, 2734, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294637, 1337, 2797, 2720, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294675, 1342, 2818, 2726, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294714, 1331, 2801, 2725, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294753, 1352, 2846, 2712, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294795, 1368, 2807, 2731, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294838, 1342, 2805, 2703, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294881, 1399, 2803, 2691, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294924, 1361, 2815, 2712, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
294967, 1341, 2842, 2725, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295009, 1316, 2841, 2716, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295052, 1375, 2844, 2693, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295095, 1390, 2824, 2698, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295138, 1378, 2820, 2705, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295181, 1362, 2819, 2710, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295224, 1358, 2844, 2679, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295258, 1345, 2843, 2716, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295293, 1348, 2827, 2685, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295328, 1387, 2820, 2673, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295363, 1372, 2830, 2684, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295398, 1365, 2822, 2697, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295432, 1371, 2822, 2689, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295467, 1377, 2828, 2684, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295502, 1375, 2841, 2683, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295537, 1387, 2820, 2676, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295572, 1372, 2820, 2673, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295610, 1406, 2836, 2698, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295648, 1402, 2814, 2699, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295686, 1385, 2832, 2691, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295725, 1349, 2849, 2700, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295763, 1391, 2848, 2670, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295801, 1406, 2834, 2667, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295840, 1384, 2813, 2695, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295878, 1401, 2816, 2688, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295916, 1374, 2816, 2695, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295955, 1400, 2814, 2708, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
295992, 1380, 2833, 2682, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296029, 1374, 2835, 2691, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296067, 1368, 2843, 2689, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296104, 1375, 2831, 2690, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296142, 1397, 2831, 2660, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296179, 1385, 2833, 2706, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296217, 1393, 2836, 2682, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296254, 1405, 2843, 2676, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296292, 1359, 2825, 2676, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296329, 1371, 2834, 2698, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296367, 1372, 2852, 2690, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296405, 1358, 2858, 2674, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296444, 1333, 2862, 2695, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296482, 1363, 2834, 2653, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296521, 1400, 2849, 2683, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296560, 1368, 2862, 2685, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296598, 1360, 2832, 2679, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296637, 1378, 2846, 2686, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296675, 1350, 2845, 2672, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296714, 1359, 2827, 2656, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296753, 1363, 2839, 2673, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296795, 1362, 2862, 2667, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296838, 1359, 2855, 2683, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296881, 1353, 2839, 2661, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296924, 1347, 2870, 2684, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
296967, 1353, 2848, 2692, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297009, 1363, 2863, 2683, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297052, 1385, 2866, 2681, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297095, 1363, 2843, 2678, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297138, 1364, 2871, 2678, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297181, 1345, 2883, 2673, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297224, 1347, 2873, 2671, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297256, 1394, 2849, 2665, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297288, 1355, 2816, 2665, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297320, 1340, 2857, 2658, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297353, 1337, 2873, 2662, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297385, 1369, 2882, 2664, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297417, 1320, 2851, 2668, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297450, 1352, 2868, 2671, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297482, 1351, 2878, 2663, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297514, 1338, 2891, 2659, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297547, 1355, 2830, 2668, 76, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297587, 1339, 2884, 2662, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297627, 1333, 2868, 2674, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297667, 1357, 2888, 2661, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297708, 1311, 2854, 2660, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297748, 1323, 2880, 2661, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297788, 1359, 2848, 2674, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297829, 1299, 2886, 2662, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297869, 1292, 2891, 2661, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297909, 1344, 2870, 2646, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297950, 1363, 2868, 2649, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
297988, 1336, 2875, 2666, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298026, 1349, 2866, 2659, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298064, 1342, 2892, 2653, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298102, 1338, 2880, 2661, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298140, 1322, 2872, 2639, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298178, 1342, 2888, 2660, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298216, 1335, 2877, 2656, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298254, 1358, 2877, 2662, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298292, 1332, 2901, 2654, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298330, 1333, 2901, 2677, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298369, 1358, 2865, 2656, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298409, 1364, 2871, 2643, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298449, 1326, 2890, 2663, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298490, 1341, 2907, 2661, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298530, 1338, 2874, 2641, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298571, 1288, 2895, 2666, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298611, 1311, 2909, 2639, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298651, 1379, 2886, 2646, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298692, 1345, 2863, 2665, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298732, 1334, 2898, 2668, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298773, 1308, 2898, 2653, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298807, 1348, 2881, 2661, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298841, 1324, 2868, 2664, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298876, 1330, 2906, 2627, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298910, 1329, 2876, 2664, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298944, 1297, 2889, 2628, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
298979, 1349, 2893, 2656, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299013, 1351, 2866, 2673, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299047, 1325, 2867, 2673, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299082, 1330, 2870, 2644, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299116, 1315, 2895, 2660, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299151, 1330, 2904, 2657, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299191, 1354, 2873, 2670, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299231, 1341, 2882, 2644, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299271, 1307, 2880, 2661, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299311, 1358, 2885, 2668, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299352, 1384, 2857, 2672, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299392, 1371, 2858, 2680, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
299432, 1338, 2862, 2657, 77, 41608a63-6e3f-457b-879e-962943d39525, , duduk, duduk_tasyahud_akhir, , 
