136411, 2510, 1815, 2854, 102, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137479, 2406, 1874, 2816, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137518, 2421, 1863, 2807, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137557, 2464, 1871, 2808, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137596, 2440, 1859, 2802, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137636, 2425, 1880, 2773, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137675, 2453, 1868, 2802, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137714, 2411, 1858, 2782, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137753, 2417, 1896, 2791, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137792, 2423, 1881, 2805, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137832, 2442, 1864, 2783, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137874, 2425, 1889, 2795, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137916, 2423, 1883, 2782, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
137958, 2461, 1865, 2782, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138001, 2441, 1865, 2797, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138043, 2433, 1854, 2808, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138085, 2427, 1874, 2800, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138128, 2405, 1911, 2796, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138170, 2437, 1882, 2774, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138212, 2449, 1865, 2787, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138255, 2450, 1858, 2820, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138289, 2396, 1859, 2807, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138324, 2409, 1879, 2780, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138359, 2418, 1896, 2778, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138394, 2419, 1879, 2789, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138429, 2415, 1868, 2797, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138464, 2425, 1896, 2798, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138499, 2418, 1892, 2802, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138534, 2411, 1894, 2817, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138569, 2424, 1889, 2784, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138604, 2410, 1899, 2779, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138639, 2437, 1899, 2812, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138679, 2412, 1914, 2821, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138720, 2419, 1905, 2800, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138761, 2414, 1887, 2791, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138802, 2413, 1905, 2776, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138843, 2399, 1887, 2807, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138884, 2391, 1907, 2822, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138925, 2357, 1914, 2806, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
138966, 2373, 1926, 2804, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139007, 2403, 1912, 2771, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139048, 2424, 1893, 2787, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139081, 2413, 1888, 2817, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139114, 2380, 1918, 2793, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139147, 2397, 1912, 2803, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139181, 2402, 1889, 2772, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139214, 2390, 1888, 2810, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139247, 2364, 1932, 2798, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139280, 2360, 1919, 2771, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139314, 2399, 1894, 2804, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139347, 2391, 1899, 2796, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139380, 2407, 1921, 2803, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139414, 2399, 1919, 2786, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139454, 2389, 1903, 2805, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139494, 2382, 1935, 2788, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139535, 2387, 1932, 2806, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139575, 2380, 1915, 2786, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139616, 2403, 1917, 2790, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139656, 2410, 1912, 2814, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139696, 2392, 1936, 2803, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139737, 2359, 1940, 2825, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139777, 2359, 1942, 2805, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139818, 2397, 1914, 2788, 104, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139860, 2415, 1887, 2790, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139903, 2395, 1921, 2811, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139945, 2369, 1921, 2815, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
139988, 2370, 1956, 2798, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140031, 2361, 1942, 2784, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140073, 2345, 1934, 2791, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140116, 2373, 1934, 2802, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140158, 2390, 1936, 2795, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140201, 2394, 1922, 2799, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140244, 2399, 1912, 2792, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140279, 2394, 1927, 2795, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140314, 2386, 1935, 2789, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140350, 2372, 1943, 2814, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140385, 2383, 1907, 2803, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140420, 2373, 1922, 2799, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140456, 2388, 1922, 2793, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140491, 2398, 1906, 2791, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140526, 2413, 1923, 2797, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140562, 2408, 1893, 2807, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140597, 2369, 1898, 2806, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140633, 2373, 1949, 2813, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140673, 2391, 1910, 2798, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140714, 2422, 1891, 2809, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140754, 2392, 1915, 2810, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140795, 2367, 1926, 2792, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140835, 2392, 1912, 2809, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140876, 2398, 1897, 2786, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140916, 2384, 1936, 2793, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140957, 2378, 1917, 2779, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
140997, 2375, 1936, 2783, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141038, 2376, 1965, 2801, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141077, 2380, 1921, 2787, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141116, 2362, 1919, 2800, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141155, 2373, 1932, 2803, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141195, 2353, 1929, 2798, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141234, 2368, 1927, 2784, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141273, 2381, 1934, 2801, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141313, 2353, 1949, 2808, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141352, 2388, 1921, 2792, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141391, 2378, 1900, 2821, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141431, 2357, 1930, 2805, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141467, 2334, 1962, 2789, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141504, 2336, 1939, 2778, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141541, 2375, 1935, 2799, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141577, 2399, 1927, 2811, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141614, 2366, 1961, 2795, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141651, 2375, 1941, 2837, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141688, 2401, 1902, 2821, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141724, 2346, 1948, 2789, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141761, 2334, 1983, 2807, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141798, 2338, 1970, 2786, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141835, 2375, 1935, 2800, 105, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141876, 2365, 1955, 2800, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141918, 2367, 1959, 2806, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
141960, 2365, 1934, 2813, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142002, 2362, 1953, 2799, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142044, 2365, 1959, 2830, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142085, 2367, 1945, 2796, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142127, 2349, 1955, 2804, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142169, 2356, 1946, 2794, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142211, 2354, 1930, 2790, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142253, 2403, 1927, 2817, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142287, 2359, 1971, 2794, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142321, 2367, 1967, 2795, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142356, 2392, 1930, 2780, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142390, 2409, 1918, 2790, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142425, 2399, 1930, 2814, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142459, 2348, 1916, 2801, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142494, 2367, 1921, 2800, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142528, 2392, 1941, 2791, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142563, 2376, 1929, 2789, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142597, 2397, 1925, 2799, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142632, 2398, 1923, 2775, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142672, 2385, 1941, 2799, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142713, 2387, 1943, 2781, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142753, 2369, 1964, 2784, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142794, 2396, 1939, 2767, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142834, 2405, 1924, 2774, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142875, 2373, 1952, 2746, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142915, 2405, 1927, 2783, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142956, 2406, 1916, 2791, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
142996, 2379, 1924, 2795, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143037, 2357, 1969, 2801, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143077, 2370, 2007, 2743, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143117, 2428, 1948, 2755, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143157, 2424, 1919, 2774, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143197, 2395, 1929, 2784, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143238, 2404, 1919, 2781, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143278, 2408, 1931, 2783, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143318, 2397, 1942, 2783, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143358, 2404, 1931, 2787, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143398, 2408, 1915, 2769, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143439, 2430, 1925, 2783, 103, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143478, 2413, 1927, 2774, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143518, 2377, 1930, 2788, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143557, 2385, 1939, 2794, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143597, 2358, 1959, 2778, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143636, 2389, 1947, 2770, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143676, 2380, 1972, 2774, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143715, 2392, 1979, 2771, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143755, 2364, 1995, 2780, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143794, 2341, 1992, 2759, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143834, 2350, 1985, 2769, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143874, 2380, 1993, 2759, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143911, 2385, 1981, 2760, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143948, 2342, 1996, 2761, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
143986, 2349, 2016, 2756, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144023, 2341, 2005, 2766, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144061, 2342, 2023, 2762, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144098, 2323, 2027, 2767, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144135, 2345, 2066, 2762, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144173, 2361, 2040, 2739, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144210, 2361, 2000, 2756, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144248, 2358, 2037, 2743, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144283, 2345, 2020, 2754, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
144319, 2351, 2042, 2743, 99, ff50de2a-fc67-45e3-ab33-061efc8ef896, , duduk, duduk_tasyahud_akhir, , 
