159197, 1480, 2159, 3225, 81, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160424, 1223, 2346, 3165, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160471, 1255, 2330, 3182, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160502, 1237, 2367, 3158, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160534, 1240, 2370, 3148, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160565, 1229, 2390, 3174, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160597, 1322, 2188, 3278, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160629, 1221, 2340, 3130, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160660, 1225, 2437, 3225, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160692, 1441, 2153, 3462, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160724, 1137, 2180, 3105, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160755, 1186, 2370, 3125, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160787, 1244, 2274, 3266, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160819, 1169, 2276, 3223, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160859, 1228, 2399, 3132, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160899, 1231, 2097, 3316, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160940, 1223, 2108, 3291, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
160980, 1173, 2197, 3323, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161021, 1076, 2134, 3413, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161061, 1163, 2151, 3409, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161101, 1185, 2187, 3308, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161142, 1207, 2161, 3305, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161182, 1278, 2069, 3357, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161223, 1247, 2161, 3272, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161258, 1238, 2144, 3277, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161294, 1209, 2200, 3324, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161329, 1164, 2196, 3337, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161365, 1120, 2182, 3325, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161401, 1134, 2149, 3336, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161436, 1204, 2081, 3339, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161472, 1240, 2048, 3375, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161508, 1185, 2141, 3352, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161543, 1150, 2207, 3338, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161579, 1130, 2230, 3303, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161615, 1058, 2241, 3299, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161655, 1152, 2189, 3327, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161695, 1248, 2177, 3296, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161735, 1181, 2138, 3341, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161775, 1176, 2166, 3359, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161815, 1146, 2155, 3323, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161855, 1183, 2133, 3355, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161895, 1161, 2198, 3298, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161935, 1181, 2126, 3332, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
161975, 1182, 2184, 3341, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162016, 1132, 2147, 3335, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162055, 1179, 2131, 3348, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162094, 1178, 2154, 3300, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162133, 1185, 2129, 3288, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162172, 1135, 2202, 3305, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162211, 1116, 2200, 3327, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162250, 1148, 2176, 3314, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162289, 1187, 2195, 3306, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162328, 1159, 2217, 3318, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162367, 1150, 2221, 3271, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162407, 1160, 2261, 3284, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162443, 1178, 2237, 3276, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162480, 1190, 2233, 3272, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162517, 1167, 2253, 3275, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162554, 1163, 2240, 3283, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162591, 1168, 2224, 3291, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162628, 1159, 2221, 3256, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162665, 1160, 2273, 3263, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162702, 1148, 2291, 3285, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162739, 1155, 2278, 3278, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162776, 1146, 2260, 3285, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162813, 1177, 2276, 3271, 80, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162856, 1168, 2270, 3249, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162899, 1153, 2285, 3259, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162942, 1158, 2282, 3271, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
162986, 1173, 2276, 3262, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163029, 1178, 2274, 3263, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163072, 1137, 2277, 3260, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163116, 1154, 2267, 3273, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163159, 1154, 2255, 3247, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163202, 1184, 2295, 3256, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163246, 1161, 2268, 3229, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163282, 1138, 2273, 3273, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163318, 1140, 2306, 3242, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163354, 1184, 2254, 3266, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163390, 1164, 2285, 3254, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163426, 1148, 2273, 3248, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163462, 1166, 2273, 3258, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163498, 1194, 2284, 3266, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163534, 1146, 2255, 3251, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163570, 1116, 2292, 3257, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163606, 1181, 2301, 3254, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163647, 1162, 2263, 3235, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163688, 1159, 2267, 3242, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163729, 1146, 2301, 3259, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163770, 1154, 2271, 3263, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163811, 1152, 2291, 3252, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163852, 1157, 2269, 3257, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163893, 1161, 2277, 3253, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163934, 1154, 2264, 3263, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
163975, 1131, 2273, 3259, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164016, 1141, 2299, 3260, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164057, 1165, 2274, 3254, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164093, 1164, 2299, 3253, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164129, 1163, 2273, 3241, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164165, 1159, 2264, 3254, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164202, 1149, 2287, 3246, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164238, 1169, 2269, 3260, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164274, 1147, 2279, 3268, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164311, 1181, 2260, 3247, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164347, 1157, 2255, 3265, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164383, 1199, 2282, 3243, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164420, 1187, 2268, 3239, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164455, 1163, 2283, 3247, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164491, 1178, 2254, 3254, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164526, 1220, 2264, 3239, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164562, 1209, 2261, 3240, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164598, 1204, 2269, 3266, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164633, 1208, 2293, 3233, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164669, 1189, 2275, 3230, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164705, 1204, 2271, 3260, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164740, 1219, 2275, 3231, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164776, 1195, 2266, 3250, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164812, 1169, 2257, 3235, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164852, 1173, 2296, 3251, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164892, 1195, 2276, 3239, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164932, 1195, 2289, 3226, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
164972, 1162, 2309, 3233, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165012, 1156, 2325, 3223, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165052, 1180, 2316, 3232, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165092, 1172, 2283, 3222, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165132, 1139, 2306, 3253, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165172, 1153, 2296, 3227, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165213, 1180, 2272, 3231, 78, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165251, 1198, 2324, 3220, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165290, 1195, 2319, 3233, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165329, 1151, 2314, 3221, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165368, 1153, 2349, 3218, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165407, 1178, 2328, 3223, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165445, 1169, 2296, 3213, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165484, 1160, 2303, 3220, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165523, 1155, 2306, 3226, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165562, 1184, 2308, 3230, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165601, 1161, 2300, 3229, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165637, 1175, 2324, 3219, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165674, 1194, 2305, 3235, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165711, 1178, 2328, 3234, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165748, 1121, 2344, 3221, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165785, 1211, 2305, 3207, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165821, 1218, 2313, 3200, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165858, 1189, 2321, 3195, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165895, 1170, 2319, 3217, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165932, 1174, 2314, 3213, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
165969, 1189, 2317, 3206, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166006, 1184, 2332, 3225, 76, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166046, 1182, 2318, 3228, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166087, 1188, 2300, 3205, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166128, 1186, 2312, 3213, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166168, 1178, 2316, 3195, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166209, 1185, 2335, 3185, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166250, 1189, 2333, 3207, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166290, 1178, 2322, 3222, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166331, 1174, 2324, 3216, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166372, 1212, 2312, 3213, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166413, 1215, 2340, 3239, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166454, 1196, 2311, 3205, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166495, 1206, 2351, 3214, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166536, 1162, 2326, 3203, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166577, 1153, 2323, 3228, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166618, 1191, 2327, 3208, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166660, 1206, 2343, 3215, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166701, 1192, 2343, 3208, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
166742, 1185, 2342, 3218, 74, 865ed29e-63e6-44c0-a8a2-bdcff46b2d8d, , duduk, duduk_tasyahud_akhir, , 
