34483, -1797, 1715, -3308, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35097, -1873, 1719, -3175, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35134, -1871, 1739, -3169, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35171, -1847, 1686, -3229, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35208, -1866, 1762, -3262, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35254, -1836, 1736, -3242, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35300, -1796, 1770, -3176, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35346, -1827, 1783, -3171, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35392, -1843, 1797, -3225, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35439, -1807, 1759, -3191, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35485, -1815, 1766, -3237, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35531, -1816, 1788, -3232, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35577, -1808, 1796, -3242, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35623, -1793, 1778, -3217, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35670, -1818, 1801, -3244, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35702, -1797, 1813, -3181, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35734, -1813, 1797, -3205, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35766, -1811, 1805, -3191, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35799, -1791, 1787, -3220, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35831, -1781, 1828, -3161, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35863, -1780, 1781, -3207, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35895, -1811, 1838, -3191, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35928, -1774, 1781, -3207, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35960, -1782, 1833, -3222, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
35992, -1797, 1797, -3221, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36025, -1790, 1805, -3203, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36064, -1794, 1814, -3207, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36103, -1784, 1837, -3213, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36143, -1793, 1823, -3183, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36182, -1773, 1823, -3173, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36222, -1782, 1798, -3209, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36261, -1776, 1819, -3218, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36300, -1780, 1817, -3196, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36340, -1764, 1841, -3208, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36379, -1809, 1858, -3199, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36419, -1784, 1787, -3171, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36457, -1791, 1798, -3209, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36496, -1775, 1784, -3195, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36535, -1815, 1797, -3247, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36574, -1749, 1796, -3191, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36613, -1821, 1781, -3220, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36651, -1820, 1786, -3215, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36690, -1774, 1796, -3203, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36729, -1806, 1804, -3220, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36768, -1786, 1761, -3240, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36807, -1796, 1753, -3205, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36843, -1826, 1759, -3226, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36879, -1820, 1771, -3224, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36915, -1817, 1758, -3261, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36951, -1824, 1786, -3242, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
36987, -1837, 1781, -3239, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37023, -1815, 1776, -3223, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37059, -1824, 1764, -3205, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37095, -1789, 1750, -3201, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37131, -1810, 1775, -3218, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37167, -1824, 1747, -3199, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37203, -1816, 1762, -3209, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37250, -1795, 1763, -3219, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37297, -1822, 1737, -3208, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37344, -1792, 1751, -3215, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37391, -1830, 1743, -3194, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37439, -1826, 1776, -3188, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37486, -1828, 1791, -3212, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37533, -1794, 1774, -3196, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37580, -1778, 1743, -3157, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37627, -1841, 1765, -3217, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37675, -1813, 1745, -3214, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37708, -1802, 1737, -3234, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37742, -1856, 1755, -3223, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37775, -1816, 1771, -3227, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37809, -1818, 1808, -3283, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37843, -1765, 1803, -3191, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37876, -1802, 1769, -3215, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37910, -1765, 1783, -3233, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37944, -1736, 1753, -3240, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
37977, -1761, 1807, -3267, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38011, -1740, 1777, -3213, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38045, -1746, 1752, -3190, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38080, -1735, 1784, -3219, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38116, -1743, 1818, -3248, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38152, -1727, 1827, -3271, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38188, -1750, 1831, -3280, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38224, -1755, 1833, -3215, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38260, -1776, 1808, -3204, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38296, -1798, 1826, -3249, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38332, -1735, 1828, -3222, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38368, -1753, 1821, -3235, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38404, -1781, 1803, -3238, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38448, -1721, 1808, -3195, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38492, -1743, 1778, -3209, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38536, -1747, 1789, -3219, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38581, -1731, 1812, -3217, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38625, -1736, 1808, -3192, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38669, -1773, 1825, -3209, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38714, -1754, 1828, -3188, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38758, -1750, 1852, -3216, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38802, -1751, 1849, -3205, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38847, -1753, 1828, -3194, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38881, -1767, 1850, -3247, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38915, -1745, 1804, -3237, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38949, -1743, 1836, -3209, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
38984, -1757, 1817, -3182, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39018, -1757, 1846, -3209, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39052, -1768, 1792, -3239, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39086, -1767, 1778, -3214, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39121, -1758, 1809, -3192, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39155, -1777, 1837, -3201, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39189, -1797, 1819, -3203, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39224, -1783, 1817, -3215, 58, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39262, -1806, 1823, -3209, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39301, -1787, 1802, -3226, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39339, -1780, 1797, -3201, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39378, -1823, 1780, -3206, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39416, -1820, 1808, -3192, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39455, -1785, 1789, -3175, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39493, -1798, 1843, -3146, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39532, -1785, 1860, -3176, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39570, -1821, 1814, -3188, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39609, -1816, 1835, -3207, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39647, -1812, 1834, -3184, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39685, -1799, 1822, -3159, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39723, -1837, 1785, -3170, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39761, -1825, 1737, -3178, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39799, -1802, 1770, -3178, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39837, -1804, 1823, -3149, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39875, -1801, 1843, -3148, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39913, -1778, 1868, -3164, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39951, -1768, 1876, -3186, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
39989, -1771, 1888, -3201, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40028, -1777, 1874, -3187, 60, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40067, -1762, 1937, -3148, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40106, -1732, 1935, -3090, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40145, -1746, 1935, -3118, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40185, -1736, 1944, -3131, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40224, -1735, 1965, -3187, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40263, -1749, 1895, -3217, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40303, -1727, 1885, -3148, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40342, -1772, 1900, -3164, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40381, -1780, 1855, -3165, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40421, -1776, 1864, -3153, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40461, -1781, 1883, -3198, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40502, -1755, 1881, -3205, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40542, -1764, 1853, -3210, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40583, -1769, 1834, -3211, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40623, -1792, 1827, -3200, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40664, -1784, 1832, -3211, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40704, -1764, 1830, -3210, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40745, -1778, 1834, -3213, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40785, -1769, 1819, -3219, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40826, -1770, 1795, -3234, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40866, -1767, 1844, -3242, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40907, -1741, 1830, -3217, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40948, -1753, 1828, -3206, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
40989, -1741, 1832, -3199, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41030, -1752, 1855, -3203, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41070, -1761, 1859, -3215, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41111, -1754, 1810, -3203, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41152, -1735, 1825, -3208, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41193, -1726, 1838, -3187, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41234, -1739, 1803, -3154, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41275, -1734, 1811, -3206, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41309, -1726, 1842, -3218, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41343, -1745, 1871, -3222, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41377, -1709, 1848, -3215, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41412, -1728, 1802, -3234, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41446, -1744, 1839, -3235, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41480, -1709, 1836, -3243, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41515, -1724, 1842, -3269, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41549, -1693, 1824, -3220, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41583, -1675, 1828, -3210, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41618, -1690, 1808, -3227, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41656, -1670, 1852, -3226, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41694, -1676, 1867, -3262, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41733, -1613, 1874, -3216, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41771, -1657, 1871, -3229, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41809, -1674, 1873, -3202, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41848, -1698, 1864, -3252, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41886, -1690, 1785, -3200, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41924, -1745, 1769, -3256, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
41963, -1735, 1776, -3307, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42001, -1708, 1760, -3316, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42040, -1693, 1790, -3393, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42078, -1621, 1846, -3413, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42117, -1634, 1839, -3354, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42156, -1627, 1826, -3242, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42195, -1672, 1838, -3184, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42234, -1641, 1847, -3161, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42272, -1671, 1879, -3174, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42311, -1698, 1857, -3166, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42350, -1704, 1819, -3181, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42389, -1731, 1798, -3202, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42428, -1759, 1748, -3201, 63, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42467, -1779, 1803, -3214, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42507, -1809, 1825, -3209, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42546, -1804, 1786, -3201, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42586, -1826, 1826, -3267, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42626, -1814, 1827, -3249, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42665, -1767, 1810, -3231, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42705, -1790, 1818, -3208, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42744, -1766, 1824, -3212, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42784, -1765, 1811, -3209, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42824, -1769, 1773, -3216, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42861, -1756, 1810, -3202, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42899, -1780, 1778, -3197, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42937, -1775, 1767, -3173, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
42975, -1796, 1793, -3209, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43013, -1765, 1846, -3235, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43051, -1777, 1836, -3207, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43089, -1798, 1836, -3170, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43127, -1780, 1815, -3176, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43165, -1750, 1833, -3201, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43203, -1762, 1824, -3192, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43241, -1776, 1815, -3197, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43279, -1781, 1820, -3191, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43318, -1760, 1844, -3198, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43356, -1783, 1814, -3200, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43395, -1799, 1815, -3217, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43434, -1797, 1825, -3221, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43472, -1757, 1832, -3223, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43511, -1772, 1783, -3209, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43549, -1792, 1840, -3238, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43588, -1793, 1861, -3213, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43627, -1766, 1860, -3226, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43669, -1789, 1817, -3135, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43711, -1770, 1793, -3202, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43753, -1746, 1814, -3217, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43796, -1728, 1797, -3376, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43838, -1781, 1828, -3264, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43880, -1752, 1854, -3176, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43922, -1770, 1847, -3194, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
43965, -1794, 1880, -3151, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
44007, -1733, 1886, -3149, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
44049, -1795, 1829, -3150, 62, 5186c527-e266-4af2-ab93-ec83cf11289a, , qunut, qunut, , 
