157524, -1654, 1614, -3417, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158526, -1800, 1303, -3412, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158562, -1811, 1348, -3406, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158599, -1787, 1325, -3353, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158636, -1877, 1277, -3417, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158672, -1827, 1391, -3336, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158709, -1861, 1316, -3370, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158745, -1833, 1400, -3385, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158782, -1837, 1322, -3356, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158819, -1837, 1368, -3391, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158857, -1813, 1334, -3440, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158895, -1764, 1305, -3461, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158933, -1803, 1281, -3404, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
158972, -1818, 1314, -3445, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159010, -1811, 1399, -3393, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159048, -1893, 1384, -3399, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159087, -1803, 1403, -3375, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159125, -1855, 1367, -3392, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159163, -1789, 1373, -3422, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159202, -1818, 1374, -3401, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159238, -1790, 1324, -3433, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159274, -1793, 1354, -3378, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159311, -1761, 1340, -3424, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159347, -1778, 1327, -3438, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159384, -1745, 1341, -3421, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159420, -1770, 1355, -3452, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159457, -1757, 1283, -3489, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159493, -1764, 1347, -3500, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159530, -1725, 1360, -3486, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159566, -1721, 1317, -3460, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159603, -1709, 1314, -3461, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159644, -1703, 1310, -3494, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159686, -1741, 1328, -3454, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159728, -1684, 1275, -3548, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159770, -1726, 1298, -3517, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159812, -1741, 1311, -3479, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159854, -1748, 1248, -3567, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159896, -1738, 1330, -3451, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159938, -1739, 1272, -3487, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
159980, -1710, 1334, -3530, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160022, -1701, 1383, -3514, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160058, -1758, 1313, -3494, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160094, -1786, 1307, -3495, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160130, -1692, 1308, -3516, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160166, -1681, 1324, -3478, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160202, -1689, 1342, -3500, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160238, -1754, 1297, -3526, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160274, -1759, 1369, -3499, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160310, -1688, 1348, -3497, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160346, -1747, 1328, -3497, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160382, -1694, 1347, -3407, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160419, -1741, 1348, -3406, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160459, -1737, 1324, -3397, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160499, -1767, 1315, -3341, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160539, -1780, 1303, -3388, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160580, -1740, 1385, -3374, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160620, -1787, 1341, -3369, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160660, -1810, 1356, -3457, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160701, -1779, 1369, -3403, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160741, -1756, 1410, -3432, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160781, -1776, 1387, -3460, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160822, -1835, 1354, -3431, 85, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160865, -1827, 1310, -3477, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160908, -1798, 1334, -3426, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160951, -1799, 1345, -3476, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
160994, -1787, 1338, -3403, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161037, -1814, 1346, -3419, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161080, -1825, 1288, -3392, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161123, -1811, 1301, -3409, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161166, -1838, 1301, -3458, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161209, -1815, 1314, -3412, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161253, -1855, 1300, -3389, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161286, -1839, 1306, -3457, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161319, -1810, 1331, -3422, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161353, -1826, 1291, -3373, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161386, -1859, 1258, -3415, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161420, -1842, 1307, -3413, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161453, -1854, 1326, -3409, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161487, -1858, 1290, -3412, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161520, -1859, 1262, -3441, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161554, -1881, 1282, -3403, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161587, -1859, 1282, -3398, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161621, -1837, 1242, -3401, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161662, -1830, 1276, -3372, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161704, -1836, 1323, -3394, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161746, -1824, 1278, -3379, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161787, -1870, 1315, -3429, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161829, -1841, 1302, -3421, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161871, -1780, 1285, -3477, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161912, -1784, 1313, -3455, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161954, -1801, 1289, -3415, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
161996, -1842, 1253, -3446, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162038, -1773, 1293, -3451, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162073, -1702, 1281, -3352, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162108, -1713, 1302, -3339, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162144, -1657, 1336, -3465, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162179, -1658, 1273, -3405, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162215, -1688, 1232, -3571, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162250, -1725, 1306, -3494, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162286, -1633, 1401, -3486, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162321, -1591, 1326, -3578, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162357, -1610, 1305, -3554, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162392, -1526, 1300, -3523, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162428, -1568, 1333, -3565, 84, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162467, -1619, 1273, -3593, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162506, -1608, 1273, -3573, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162545, -1629, 1294, -3607, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162584, -1611, 1248, -3640, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162624, -1552, 1329, -3589, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162663, -1636, 1204, -3603, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162702, -1630, 1266, -3571, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162741, -1649, 1223, -3547, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162780, -1692, 1211, -3531, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162820, -1692, 1236, -3507, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162860, -1665, 1251, -3473, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162900, -1670, 1235, -3507, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162940, -1685, 1274, -3460, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
162981, -1659, 1281, -3519, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163021, -1672, 1270, -3499, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163061, -1649, 1308, -3476, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163102, -1666, 1289, -3488, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163142, -1687, 1295, -3538, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163182, -1672, 1343, -3483, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163223, -1649, 1276, -3521, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163259, -1697, 1247, -3504, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163296, -1683, 1223, -3490, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163333, -1755, 1225, -3502, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163370, -1717, 1269, -3489, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163407, -1711, 1289, -3505, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163443, -1708, 1255, -3420, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163480, -1869, 1277, -3492, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163517, -1742, 1189, -3493, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163554, -1804, 1214, -3502, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163591, -1852, 1120, -3521, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163628, -1753, 1162, -3407, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163669, -1919, 1240, -3478, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163710, -1811, 1278, -3443, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163751, -1947, 1293, -3388, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163792, -1877, 1304, -3381, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163833, -1971, 1225, -3434, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163874, -1884, 1131, -3389, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163915, -1964, 1090, -3414, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163956, -1964, 1080, -3417, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
163997, -1960, 1169, -3480, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164039, -1962, 1157, -3484, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164073, -2026, 1258, -3460, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164108, -1909, 1203, -3369, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164143, -1976, 1206, -3352, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164178, -1941, 1235, -3355, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164213, -1928, 1207, -3336, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164247, -1952, 1190, -3363, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164282, -1915, 1153, -3309, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164317, -1944, 1165, -3296, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164352, -1939, 1168, -3286, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164387, -1923, 1166, -3409, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164422, -1984, 1231, -3381, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164468, -1945, 1234, -3435, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164515, -1923, 1229, -3497, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164562, -1883, 1291, -3417, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164609, -1894, 1216, -3415, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164656, -1885, 1205, -3369, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164703, -1870, 1182, -3485, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164750, -1832, 1200, -3437, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164797, -1875, 1211, -3479, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164844, -1904, 1213, -3428, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164891, -1872, 1235, -3405, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164925, -1832, 1235, -3435, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164959, -1802, 1250, -3382, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
164993, -1813, 1247, -3431, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165027, -1808, 1283, -3462, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165061, -1841, 1258, -3425, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165095, -1820, 1257, -3486, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165129, -1825, 1290, -3497, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165163, -1812, 1283, -3564, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165197, -1817, 1236, -3472, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165231, -1779, 1259, -3493, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165266, -1748, 1325, -3432, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165302, -1765, 1330, -3452, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165337, -1723, 1296, -3438, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165373, -1767, 1255, -3440, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165409, -1773, 1206, -3438, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165444, -1768, 1253, -3447, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165480, -1751, 1269, -3459, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165516, -1773, 1302, -3427, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165551, -1774, 1281, -3439, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165587, -1808, 1244, -3438, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165623, -1797, 1257, -3484, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165663, -1808, 1232, -3440, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165704, -1765, 1244, -3490, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165744, -1769, 1286, -3466, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165785, -1800, 1284, -3470, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165825, -1749, 1255, -3474, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165866, -1738, 1243, -3476, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165906, -1792, 1243, -3474, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165947, -1746, 1248, -3460, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
165987, -1741, 1267, -3475, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166028, -1755, 1255, -3494, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166067, -1748, 1245, -3504, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166106, -1756, 1275, -3472, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166145, -1784, 1264, -3455, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166184, -1764, 1199, -3442, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166224, -1736, 1226, -3516, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166263, -1752, 1206, -3499, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166302, -1757, 1278, -3475, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166341, -1782, 1263, -3479, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166380, -1753, 1254, -3486, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166420, -1722, 1220, -3509, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166456, -1747, 1234, -3477, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166493, -1757, 1226, -3471, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166529, -1789, 1230, -3488, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166566, -1791, 1192, -3508, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166603, -1759, 1181, -3528, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166639, -1731, 1219, -3496, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166676, -1774, 1237, -3484, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166713, -1752, 1239, -3427, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166749, -1777, 1209, -3495, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166786, -1754, 1220, -3477, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166823, -1794, 1234, -3508, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
166863, -1736, 1267, -3477, 83, f7513f22-3507-4e07-b3c4-d470ac910e1c, , qunut, qunut, , 
