253874, -3487, 1002, -1933, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254895, -3485, 846, -1996, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254936, -3494, 857, -1993, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254977, -3417, 848, -1947, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255018, -3415, 855, -1922, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255059, -3515, 788, -1960, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255100, -3529, 750, -1938, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255141, -3496, 758, -1965, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255182, -3504, 808, -2012, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255224, -3510, 777, -2004, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255260, -3511, 824, -1972, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255296, -3513, 774, -1986, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255332, -3496, 750, -1904, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255368, -3511, 770, -1926, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255404, -3475, 709, -1921, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255441, -3558, 823, -1916, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255477, -3503, 745, -1918, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255513, -3543, 767, -1926, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255549, -3523, 814, -1923, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255585, -3522, 795, -1919, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255622, -3507, 774, -1957, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255662, -3554, 824, -1912, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255703, -3556, 806, -1894, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255743, -3499, 791, -1923, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255784, -3507, 797, -1917, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255825, -3488, 806, -1937, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255865, -3487, 852, -1881, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255906, -3514, 786, -1903, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255946, -3532, 883, -1914, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
255987, -3520, 851, -1973, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256028, -3526, 884, -1911, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256063, -3490, 883, -1925, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256099, -3505, 899, -1895, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256134, -3456, 901, -1903, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256170, -3516, 871, -1924, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256206, -3500, 866, -1913, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256241, -3565, 860, -1894, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256277, -3537, 845, -1880, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256313, -3492, 844, -1885, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256348, -3520, 877, -1905, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256384, -3527, 911, -1908, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256420, -3519, 895, -1839, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256461, -3499, 929, -1871, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256503, -3507, 909, -1838, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256545, -3486, 897, -1881, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256586, -3531, 877, -1882, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256628, -3524, 919, -1890, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256670, -3518, 876, -1877, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256711, -3537, 882, -1880, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256753, -3542, 875, -1888, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256795, -3524, 907, -1882, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256837, -3544, 856, -1868, 98, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256874, -3563, 835, -1816, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256912, -3534, 834, -1842, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256949, -3528, 864, -1869, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
256987, -3528, 885, -1869, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257025, -3537, 873, -1871, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257062, -3549, 907, -1870, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257100, -3518, 883, -1869, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257137, -3544, 903, -1856, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257175, -3523, 847, -1821, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257213, -3495, 881, -1858, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257250, -3513, 914, -1856, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257287, -3525, 903, -1824, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257324, -3560, 881, -1848, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257361, -3541, 884, -1853, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257398, -3552, 875, -1838, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257435, -3541, 900, -1848, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257472, -3541, 855, -1862, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257509, -3542, 864, -1839, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257546, -3547, 876, -1818, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257583, -3554, 872, -1841, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257620, -3548, 883, -1823, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257661, -3578, 885, -1823, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257703, -3538, 885, -1824, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257745, -3542, 870, -1845, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257786, -3551, 887, -1845, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257828, -3536, 859, -1862, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257870, -3517, 882, -1810, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257911, -3572, 871, -1808, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257953, -3587, 871, -1855, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
257995, -3542, 897, -1831, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258037, -3572, 911, -1824, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258071, -3534, 911, -1821, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258105, -3515, 934, -1827, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258139, -3538, 921, -1823, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258173, -3554, 906, -1790, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258207, -3518, 897, -1822, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258242, -3513, 915, -1840, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258276, -3540, 930, -1800, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258310, -3512, 905, -1772, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258344, -3546, 904, -1764, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258378, -3575, 888, -1814, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258413, -3536, 919, -1854, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258454, -3522, 931, -1843, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258495, -3485, 909, -1827, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258536, -3528, 878, -1846, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258577, -3541, 893, -1882, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258618, -3522, 865, -1877, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258659, -3492, 885, -1895, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258700, -3541, 858, -1922, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258741, -3515, 857, -1956, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258782, -3481, 843, -1939, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258824, -3501, 845, -1964, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258861, -3477, 801, -1994, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258899, -3519, 860, -1983, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258937, -3506, 873, -1990, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
258975, -3505, 858, -1986, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259013, -3488, 885, -2016, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259051, -3475, 866, -2021, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259089, -3457, 894, -1954, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259127, -3500, 893, -1939, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259165, -3540, 843, -1991, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259203, -3514, 887, -1967, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259238, -3505, 878, -1948, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259273, -3458, 933, -1906, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259308, -3497, 897, -1893, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259344, -3486, 906, -1869, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259379, -3513, 900, -1875, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259414, -3523, 882, -1869, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259449, -3455, 849, -1893, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259485, -3508, 948, -1853, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259520, -3510, 925, -1855, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259555, -3548, 956, -1885, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259591, -3501, 915, -1893, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259633, -3490, 880, -1856, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259675, -3521, 951, -1864, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259717, -3548, 924, -1849, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259759, -3491, 917, -1838, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259802, -3525, 969, -1858, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259844, -3517, 975, -1865, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259886, -3488, 999, -1858, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259928, -3487, 986, -1821, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
259970, -3493, 976, -1837, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260013, -3493, 1004, -1842, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260050, -3466, 976, -1855, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260087, -3455, 970, -1850, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260124, -3552, 1047, -1813, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260161, -3463, 982, -1829, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260198, -3566, 978, -1851, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260236, -3506, 992, -1830, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260273, -3513, 963, -1894, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260310, -3462, 951, -1893, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260347, -3481, 949, -1824, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260384, -3508, 975, -1854, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260422, -3540, 973, -1891, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260467, -3518, 970, -1909, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260512, -3510, 966, -1877, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260557, -3514, 949, -1866, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260602, -3471, 945, -1871, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260647, -3516, 961, -1896, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260692, -3474, 963, -1891, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260737, -3494, 958, -1922, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260782, -3503, 977, -1878, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260827, -3501, 951, -1892, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260873, -3511, 970, -1885, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260907, -3475, 967, -1906, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260942, -3470, 903, -1915, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
260977, -3468, 914, -1882, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261012, -3516, 893, -1894, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261047, -3561, 935, -1909, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261081, -3537, 920, -1920, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261116, -3478, 923, -1922, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261151, -3497, 949, -1908, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261186, -3494, 899, -1895, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261221, -3501, 907, -1890, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261257, -3501, 878, -1891, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261293, -3521, 885, -1907, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261330, -3513, 891, -1948, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261366, -3542, 926, -1903, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261403, -3509, 914, -1898, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261439, -3511, 947, -1892, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261476, -3488, 903, -1921, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261512, -3495, 937, -1912, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261549, -3459, 928, -1883, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261585, -3498, 911, -1880, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261622, -3498, 910, -1885, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261664, -3495, 943, -1887, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261706, -3493, 974, -1902, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261748, -3570, 902, -1915, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261791, -3534, 909, -1886, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261833, -3501, 904, -1866, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261875, -3494, 929, -1886, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261918, -3479, 894, -1849, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
261960, -3477, 857, -1846, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262002, -3556, 927, -1847, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262045, -3482, 911, -1881, 96, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262079, -3560, 942, -1878, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262113, -3523, 929, -1891, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262147, -3509, 912, -1906, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262181, -3505, 918, -1866, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262215, -3482, 951, -1900, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262250, -3516, 886, -1878, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262284, -3522, 906, -1885, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262318, -3528, 912, -1902, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262352, -3501, 960, -1904, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262386, -3518, 944, -1904, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262421, -3511, 904, -1899, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262461, -3509, 900, -1881, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262502, -3491, 936, -1866, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262543, -3523, 942, -1908, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
262584, -3525, 969, -1879, 97, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
