228063, -2196, 1063, -3393, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231403, -2270, 1196, -3180, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231443, -2288, 1212, -3192, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231483, -2232, 1272, -3162, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231523, -2243, 1225, -3152, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231563, -2288, 1241, -3154, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231603, -2265, 1241, -3176, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231641, -2274, 1251, -3158, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231679, -2277, 1294, -3172, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231717, -2278, 1237, -3180, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231755, -2274, 1281, -3110, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231793, -2260, 1308, -3146, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231831, -2262, 1294, -3145, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231869, -2252, 1300, -3153, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231907, -2271, 1323, -3147, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231945, -2228, 1327, -3133, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
231983, -2306, 1344, -3155, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232022, -2247, 1309, -3126, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232060, -2257, 1309, -3167, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232098, -2256, 1337, -3156, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232137, -2263, 1326, -3134, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232175, -2253, 1326, -3145, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232214, -2241, 1336, -3151, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232252, -2220, 1335, -3132, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232290, -2216, 1321, -3152, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232329, -2234, 1324, -3134, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232367, -2271, 1309, -3183, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232406, -2273, 1320, -3150, 103, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232442, -2274, 1271, -3143, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232478, -2283, 1294, -3169, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232514, -2245, 1321, -3176, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232550, -2228, 1317, -3132, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232586, -2279, 1300, -3157, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232622, -2263, 1267, -3138, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232658, -2255, 1296, -3164, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232694, -2255, 1292, -3169, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232730, -2248, 1271, -3161, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232766, -2285, 1266, -3151, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232803, -2279, 1274, -3167, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232843, -2267, 1286, -3177, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232883, -2261, 1274, -3155, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232924, -2260, 1281, -3165, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
232964, -2246, 1267, -3146, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233005, -2267, 1262, -3171, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233045, -2262, 1287, -3163, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233085, -2272, 1241, -3170, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233126, -2285, 1283, -3184, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233166, -2258, 1294, -3143, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233207, -2288, 1264, -3130, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233246, -2256, 1283, -3139, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233286, -2269, 1273, -3183, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233325, -2236, 1321, -3113, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233365, -2237, 1320, -3118, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233405, -2250, 1278, -3135, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233444, -2272, 1282, -3177, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233484, -2261, 1290, -3173, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233523, -2269, 1297, -3114, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233563, -2252, 1303, -3158, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233603, -2274, 1298, -3160, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233640, -2267, 1277, -3155, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233678, -2262, 1286, -3145, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233716, -2265, 1264, -3148, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233754, -2284, 1271, -3168, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233792, -2272, 1328, -3172, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233829, -2196, 1331, -3160, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233867, -2260, 1323, -3158, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233905, -2229, 1279, -3166, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233943, -2243, 1322, -3174, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
233981, -2222, 1316, -3162, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234019, -2207, 1328, -3146, 101, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234057, -2251, 1322, -3150, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234096, -2243, 1319, -3149, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234135, -2261, 1333, -3184, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234174, -2238, 1321, -3161, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234213, -2228, 1291, -3155, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234251, -2242, 1331, -3172, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234290, -2234, 1311, -3140, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234329, -2238, 1298, -3139, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234368, -2227, 1310, -3158, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234407, -2279, 1338, -3162, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234446, -2244, 1352, -3141, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234486, -2248, 1352, -3136, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234525, -2252, 1294, -3133, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234565, -2237, 1288, -3159, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234605, -2257, 1344, -3122, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234644, -2246, 1326, -3127, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234684, -2252, 1282, -3136, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234723, -2268, 1300, -3107, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234763, -2245, 1323, -3138, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234803, -2272, 1312, -3145, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234843, -2272, 1307, -3149, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234883, -2280, 1326, -3176, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234923, -2258, 1316, -3132, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
234963, -2271, 1304, -3142, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235003, -2248, 1272, -3140, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235044, -2272, 1302, -3176, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235084, -2258, 1308, -3137, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235124, -2230, 1288, -3136, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235164, -2278, 1283, -3166, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235204, -2271, 1272, -3176, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235245, -2259, 1299, -3176, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235287, -2231, 1316, -3183, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235330, -2264, 1263, -3165, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235373, -2264, 1261, -3143, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235416, -2264, 1289, -3170, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235459, -2236, 1265, -3151, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235501, -2245, 1270, -3154, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235544, -2288, 1246, -3147, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235587, -2269, 1278, -3142, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235630, -2261, 1266, -3185, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235673, -2268, 1224, -3182, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235704, -2264, 1263, -3163, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235735, -2285, 1295, -3168, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235767, -2236, 1287, -3147, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235798, -2284, 1223, -3164, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235830, -2344, 1190, -3218, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235861, -2273, 1269, -3153, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235893, -2237, 1322, -3148, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235924, -2189, 1329, -3149, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235956, -2234, 1273, -3135, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
235987, -2231, 1287, -3123, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236019, -2245, 1308, -3119, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236057, -2273, 1302, -3167, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236095, -2264, 1267, -3161, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236134, -2286, 1302, -3174, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236172, -2286, 1323, -3140, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236211, -2267, 1292, -3156, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236249, -2243, 1270, -3131, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236287, -2257, 1320, -3127, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236326, -2210, 1341, -3099, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236364, -2216, 1293, -3100, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236403, -2279, 1284, -3126, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236442, -2252, 1320, -3177, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236481, -2269, 1298, -3142, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
236521, -2280, 1292, -3182, 100, 3c8d0736-cb38-4d08-a0ba-9e2b04d0bf4d, , qunut, qunut, , 
