106572, -2075, 2356, -2588, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107364, -2101, 2351, -2594, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107403, -2099, 2323, -2612, 76, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107439, -2101, 2339, -2585, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107476, -2101, 2346, -2604, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107512, -2084, 2322, -2608, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107549, -2114, 2348, -2684, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107586, -2085, 2309, -2612, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107622, -2097, 2358, -2661, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107659, -2119, 2315, -2678, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107696, -2103, 2313, -2566, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107732, -2059, 2381, -2478, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107769, -2144, 2424, -2514, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107806, -2077, 2322, -2553, 77, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107848, -2090, 2330, -2608, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107891, -2108, 2364, -2632, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107933, -2097, 2377, -2607, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
107976, -2081, 2309, -2593, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108019, -2121, 2367, -2593, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108061, -2098, 2372, -2600, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108104, -2084, 2340, -2602, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108146, -2102, 2389, -2614, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108189, -2082, 2340, -2622, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108232, -2086, 2320, -2577, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108269, -2088, 2362, -2599, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108306, -2086, 2377, -2610, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108343, -2078, 2380, -2629, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108380, -2076, 2341, -2601, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108417, -2095, 2354, -2593, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108454, -2097, 2344, -2597, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108491, -2082, 2372, -2643, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108528, -2057, 2327, -2616, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108565, -2068, 2371, -2591, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108602, -2062, 2359, -2607, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108644, -2086, 2329, -2584, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108686, -2103, 2344, -2595, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108729, -2094, 2360, -2668, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108771, -2053, 2356, -2663, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108813, -2065, 2359, -2619, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108856, -2102, 2314, -2621, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108898, -2113, 2347, -2625, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108940, -2100, 2318, -2627, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
108983, -2037, 2315, -2619, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109025, -2051, 2359, -2640, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109068, -2051, 2418, -2593, 78, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109101, -2072, 2382, -2606, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109134, -2072, 2385, -2590, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109167, -2073, 2396, -2592, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109201, -2070, 2383, -2587, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109234, -2068, 2350, -2602, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109267, -2080, 2322, -2598, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109301, -2110, 2351, -2583, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109334, -2059, 2352, -2601, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109367, -2069, 2372, -2606, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109401, -2090, 2367, -2576, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109437, -2056, 2368, -2607, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109474, -2083, 2370, -2623, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109510, -2087, 2371, -2600, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109547, -2078, 2374, -2609, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109583, -2074, 2356, -2581, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109620, -2093, 2359, -2587, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109656, -2074, 2355, -2581, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109693, -2084, 2342, -2599, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109729, -2066, 2335, -2596, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109766, -2067, 2350, -2585, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109803, -2083, 2349, -2589, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109845, -2070, 2396, -2631, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109887, -2083, 2372, -2574, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109929, -2088, 2319, -2615, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
109971, -2062, 2370, -2627, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110014, -2064, 2367, -2671, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110056, -2022, 2380, -2642, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110098, -2062, 2379, -2639, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110140, -2014, 2399, -2629, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110182, -2067, 2386, -2641, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110225, -2080, 2380, -2599, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110262, -2050, 2379, -2627, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110300, -1988, 2374, -2612, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110338, -2006, 2426, -2628, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110376, -1976, 2398, -2637, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110414, -2012, 2405, -2595, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110451, -2052, 2435, -2600, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110489, -2053, 2425, -2575, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110527, -2065, 2390, -2621, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110565, -2047, 2388, -2634, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110603, -2057, 2375, -2614, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110640, -2071, 2369, -2617, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110678, -2075, 2368, -2584, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110715, -2050, 2390, -2602, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110753, -1998, 2453, -2569, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110790, -2023, 2447, -2583, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110828, -2018, 2461, -2581, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110865, -2023, 2390, -2618, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110903, -2052, 2451, -2653, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110940, -1983, 2388, -2613, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
110978, -2050, 2373, -2606, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111016, -2056, 2343, -2594, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111053, -2037, 2347, -2606, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111091, -2046, 2324, -2595, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111128, -2061, 2359, -2609, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111166, -2081, 2369, -2589, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111203, -2080, 2385, -2608, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111241, -2061, 2356, -2616, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111278, -2099, 2365, -2624, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111316, -2050, 2387, -2620, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111353, -2064, 2327, -2600, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111391, -2074, 2358, -2600, 79, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111436, -2048, 2387, -2625, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111482, -2031, 2375, -2629, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111527, -2034, 2400, -2619, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111573, -2021, 2356, -2615, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111619, -2014, 2326, -2622, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111664, -2031, 2345, -2662, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111710, -2019, 2357, -2681, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111755, -2036, 2368, -2631, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111801, -2098, 2377, -2618, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111847, -2072, 2411, -2623, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111880, -2091, 2369, -2659, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111914, -2072, 2394, -2667, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111948, -2025, 2390, -2648, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
111981, -2020, 2360, -2623, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112015, -2046, 2359, -2605, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112049, -2050, 2400, -2624, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112083, -2021, 2390, -2597, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112116, -2046, 2358, -2606, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112150, -2064, 2380, -2576, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112184, -2042, 2390, -2585, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112218, -2034, 2362, -2565, 81, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112255, -2012, 2387, -2619, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112292, -2052, 2383, -2591, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112330, -2061, 2379, -2598, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112367, -2083, 2379, -2602, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112405, -2056, 2367, -2636, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112442, -2082, 2361, -2614, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112479, -2071, 2349, -2634, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112517, -2098, 2361, -2613, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112554, -2082, 2354, -2606, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112592, -2094, 2363, -2638, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112630, -2062, 2361, -2618, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112669, -2047, 2356, -2605, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112707, -2044, 2365, -2624, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112746, -2010, 2384, -2612, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112785, -2000, 2409, -2629, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112823, -2043, 2379, -2590, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112862, -2020, 2375, -2590, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112901, -2031, 2405, -2631, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112939, -2009, 2401, -2626, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
112978, -2014, 2420, -2658, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113017, -2016, 2397, -2645, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113055, -2017, 2391, -2611, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113094, -2006, 2411, -2641, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113133, -2010, 2394, -2598, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113172, -2023, 2331, -2617, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113211, -2055, 2361, -2614, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113249, -2018, 2376, -2643, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113288, -2032, 2376, -2613, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113327, -2036, 2372, -2616, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113366, -2033, 2368, -2645, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113405, -2018, 2393, -2620, 82, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113445, -2038, 2383, -2627, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113485, -2025, 2367, -2607, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113525, -2028, 2367, -2618, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113565, -2055, 2376, -2620, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113605, -2026, 2349, -2643, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113645, -2037, 2387, -2662, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113685, -1999, 2384, -2647, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113725, -2038, 2352, -2618, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113765, -2060, 2362, -2617, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113806, -2066, 2354, -2658, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113843, -2032, 2362, -2684, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113880, -2051, 2373, -2662, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113917, -2029, 2389, -2633, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113954, -2051, 2334, -2628, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
113991, -2041, 2368, -2651, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114029, -2060, 2343, -2629, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114066, -2039, 2369, -2622, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114103, -2046, 2369, -2614, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114140, -2076, 2350, -2634, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114177, -2050, 2363, -2640, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114215, -2064, 2357, -2639, 83, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114253, -2037, 2335, -2595, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114292, -2049, 2336, -2589, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114331, -2038, 2336, -2614, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114369, -2035, 2383, -2644, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114408, -2004, 2362, -2613, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114447, -2072, 2362, -2621, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114485, -2046, 2363, -2640, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114524, -2076, 2367, -2684, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114563, -2048, 2361, -2698, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114602, -2013, 2319, -2672, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114642, -2032, 2318, -2624, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114682, -2039, 2310, -2626, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114722, -2043, 2356, -2650, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114763, -2043, 2361, -2662, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114803, -2032, 2377, -2655, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114843, -2022, 2393, -2638, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114884, -2010, 2370, -2646, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114924, -2061, 2329, -2630, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
114964, -2027, 2323, -2639, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115005, -2046, 2344, -2637, 84, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115043, -2073, 2347, -2630, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115081, -2044, 2355, -2662, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115119, -2048, 2332, -2655, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115158, -2075, 2320, -2637, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115196, -2043, 2322, -2620, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115234, -2054, 2336, -2666, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115272, -2026, 2361, -2650, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115311, -2021, 2337, -2627, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115349, -2048, 2354, -2608, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115387, -2023, 2361, -2643, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115426, -2041, 2366, -2655, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115463, -2049, 2366, -2642, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115501, -2028, 2346, -2637, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115538, -2022, 2332, -2653, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115576, -2038, 2362, -2651, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115614, -2034, 2374, -2651, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115651, -2046, 2369, -2629, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115689, -2047, 2351, -2628, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115726, -2062, 2351, -2663, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115764, -2051, 2344, -2659, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115802, -2044, 2368, -2614, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115840, -2042, 2360, -2608, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115879, -2054, 2367, -2609, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
115917, -2072, 2341, -2629, 85, 6858e313-9c1a-46a1-b67a-af34ffac8831, , qunut, qunut, , 
