294370, -2647, 1984, -2249, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301808, -2833, 1854, -2304, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301852, -2801, 1904, -2371, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301895, -2775, 1870, -2322, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301939, -2804, 1877, -2338, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301982, -2735, 1873, -2296, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302026, -2681, 1824, -2277, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302063, -2701, 1776, -2256, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302100, -2772, 1853, -2266, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302137, -2848, 1895, -2298, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302175, -2866, 1918, -2371, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302212, -2822, 1947, -2386, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302249, -2840, 1916, -2440, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302286, -2782, 1899, -2393, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302324, -2773, 1866, -2361, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302361, -2805, 1873, -2299, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302398, -2766, 1894, -2266, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302436, -2782, 1873, -2297, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302474, -2778, 1905, -2324, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302513, -2796, 1889, -2307, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302552, -2782, 1893, -2340, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302591, -2821, 1898, -2296, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302630, -2802, 1933, -2310, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302668, -2758, 1912, -2338, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302707, -2774, 1968, -2298, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302746, -2768, 1995, -2328, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302785, -2757, 1995, -2303, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302824, -2780, 2012, -2275, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302859, -2778, 1996, -2300, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302894, -2750, 1982, -2289, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302929, -2740, 1946, -2242, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
302965, -2754, 1962, -2215, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
303000, -2754, 1968, -2196, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
303035, -2819, 1984, -2191, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
303070, -2772, 2000, -2226, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
303106, -2790, 2041, -2266, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
303141, -2769, 2027, -2246, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
303176, -2810, 1997, -2230, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
303212, -2784, 1999, -2224, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
303252, -2770, 1972, -2189, 94, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
