136080, -2726, 1891, -2452, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137738, -2566, 1931, -2457, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137779, -2602, 1925, -2411, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137819, -2574, 1932, -2428, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137860, -2591, 1951, -2493, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137901, -2587, 1973, -2538, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137942, -2604, 1992, -2518, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137983, -2625, 1975, -2503, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138025, -2600, 1982, -2485, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138066, -2590, 1972, -2475, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138108, -2576, 1979, -2479, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138150, -2572, 1944, -2491, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138191, -2556, 1972, -2468, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138233, -2582, 1933, -2464, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138275, -2577, 1954, -2475, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138316, -2598, 1960, -2483, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138358, -2580, 1982, -2490, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138400, -2579, 1950, -2513, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138433, -2563, 1955, -2499, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138466, -2562, 1973, -2496, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138500, -2575, 1968, -2469, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138533, -2589, 1959, -2469, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138567, -2575, 1951, -2466, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138600, -2610, 1988, -2498, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138633, -2570, 1980, -2472, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138667, -2605, 1951, -2499, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138700, -2576, 1948, -2474, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138734, -2576, 1937, -2523, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138774, -2561, 1938, -2483, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138814, -2565, 1985, -2528, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138854, -2573, 2001, -2483, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138894, -2574, 2003, -2505, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138934, -2567, 1993, -2504, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
138974, -2559, 1993, -2528, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139014, -2576, 1975, -2530, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139054, -2573, 1965, -2486, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139094, -2587, 1936, -2513, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139135, -2559, 1947, -2496, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139175, -2547, 1948, -2502, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139216, -2554, 1975, -2517, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139257, -2544, 1987, -2520, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139298, -2574, 1972, -2528, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139339, -2588, 1949, -2495, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139380, -2587, 1957, -2492, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139421, -2579, 1970, -2517, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139462, -2565, 1933, -2483, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139503, -2566, 1935, -2477, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139544, -2574, 1961, -2510, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139585, -2554, 1947, -2519, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139620, -2559, 2001, -2496, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139655, -2592, 1955, -2502, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139690, -2553, 1986, -2504, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139726, -2567, 1959, -2516, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139761, -2555, 1966, -2503, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139796, -2582, 1953, -2501, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139832, -2535, 1931, -2445, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139867, -2568, 1926, -2458, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139902, -2560, 1942, -2477, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139938, -2588, 1976, -2511, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
139978, -2593, 1979, -2520, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140018, -2607, 1953, -2494, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140059, -2586, 1951, -2482, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140099, -2564, 1953, -2533, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140140, -2581, 1959, -2515, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140180, -2559, 1966, -2499, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140221, -2563, 1943, -2476, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140261, -2567, 1964, -2497, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140302, -2573, 1975, -2531, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140342, -2584, 1981, -2506, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140383, -2571, 1944, -2532, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140419, -2625, 1930, -2524, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140456, -2601, 1910, -2555, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140492, -2597, 1934, -2518, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140529, -2535, 1965, -2513, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140566, -2540, 1962, -2467, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140602, -2546, 1998, -2472, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140639, -2587, 1993, -2462, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140675, -2575, 1989, -2435, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140712, -2588, 1939, -2472, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140749, -2609, 1890, -2448, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140793, -2651, 1858, -2510, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140837, -2613, 1895, -2525, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140881, -2614, 1875, -2467, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140925, -2593, 1923, -2433, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
140969, -2567, 1891, -2400, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141013, -2608, 1939, -2436, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141057, -2610, 1974, -2445, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141101, -2598, 1950, -2477, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141145, -2651, 1909, -2482, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141189, -2647, 1905, -2511, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141221, -2628, 1893, -2573, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141254, -2609, 1888, -2512, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141287, -2566, 1921, -2441, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141319, -2605, 1940, -2472, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141352, -2595, 1947, -2463, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141385, -2595, 1972, -2490, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141418, -2603, 1920, -2504, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141450, -2597, 1936, -2465, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141483, -2609, 1905, -2493, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141516, -2561, 1919, -2481, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141549, -2653, 1941, -2530, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141587, -2590, 1925, -2493, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141625, -2619, 1919, -2483, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141663, -2606, 1914, -2511, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141702, -2599, 1940, -2540, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141740, -2580, 1938, -2525, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141778, -2618, 1943, -2494, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141817, -2617, 1904, -2479, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141855, -2611, 1933, -2508, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141893, -2601, 1910, -2485, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141932, -2583, 1930, -2511, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
141970, -2579, 1926, -2476, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142008, -2606, 1897, -2465, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142046, -2593, 1902, -2498, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142084, -2583, 1934, -2470, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142122, -2611, 1956, -2488, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142160, -2614, 1907, -2479, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142198, -2615, 1900, -2486, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142236, -2619, 1927, -2491, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142274, -2610, 1914, -2511, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142312, -2584, 1914, -2456, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142351, -2613, 1905, -2463, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142390, -2602, 1981, -2496, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142429, -2616, 1914, -2476, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142468, -2631, 1943, -2481, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142507, -2608, 1894, -2477, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142546, -2623, 1918, -2504, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142585, -2604, 1924, -2508, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142624, -2616, 1987, -2498, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142663, -2586, 1952, -2448, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142702, -2592, 1942, -2439, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142742, -2559, 1949, -2477, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142783, -2563, 1964, -2503, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142824, -2605, 1951, -2507, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142865, -2585, 1940, -2485, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142907, -2615, 1936, -2494, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142948, -2608, 1944, -2507, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
142989, -2573, 1949, -2511, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143031, -2573, 1961, -2535, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143072, -2564, 1948, -2490, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143113, -2552, 1934, -2505, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143155, -2562, 1926, -2516, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143191, -2591, 1959, -2546, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143227, -2555, 1961, -2513, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143264, -2604, 1949, -2501, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143300, -2569, 1926, -2526, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143336, -2574, 1957, -2543, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143373, -2585, 1927, -2509, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143409, -2544, 1909, -2469, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143445, -2581, 1927, -2474, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143482, -2576, 1908, -2527, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143518, -2597, 1914, -2502, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143555, -2572, 1924, -2528, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143595, -2596, 1934, -2532, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143636, -2583, 1900, -2517, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143677, -2583, 1906, -2526, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143718, -2583, 1946, -2550, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143759, -2544, 1964, -2524, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143800, -2559, 1948, -2530, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143841, -2577, 1941, -2492, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143882, -2592, 1929, -2533, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143923, -2573, 1927, -2529, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
143964, -2560, 1918, -2545, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144001, -2567, 1908, -2497, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144039, -2584, 1898, -2508, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144076, -2567, 1912, -2510, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144114, -2568, 1925, -2530, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144151, -2581, 1929, -2502, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144189, -2577, 1926, -2502, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144226, -2593, 1906, -2513, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144264, -2563, 1923, -2517, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144301, -2592, 1923, -2540, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144339, -2579, 1942, -2543, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144375, -2577, 1934, -2527, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144411, -2575, 1918, -2522, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144447, -2563, 1937, -2548, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144483, -2584, 1952, -2538, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144519, -2532, 1961, -2505, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144556, -2562, 1932, -2513, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144592, -2590, 1943, -2547, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144628, -2585, 1920, -2525, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144664, -2575, 1908, -2551, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144700, -2551, 1902, -2517, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144737, -2563, 1909, -2514, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144774, -2582, 1930, -2515, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144812, -2556, 1910, -2498, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144850, -2571, 1919, -2541, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144888, -2589, 1906, -2524, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144926, -2573, 1957, -2519, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
144964, -2557, 1955, -2507, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145002, -2570, 1931, -2511, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145040, -2571, 1924, -2560, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145078, -2567, 1932, -2580, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145116, -2532, 1917, -2516, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145154, -2532, 1894, -2515, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145192, -2590, 1924, -2533, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145231, -2547, 1940, -2532, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145269, -2561, 1931, -2550, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145308, -2571, 1963, -2561, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145346, -2573, 1978, -2559, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145385, -2570, 1942, -2522, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145423, -2570, 1937, -2508, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145462, -2534, 1892, -2521, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145500, -2550, 1907, -2534, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145539, -2534, 1921, -2538, 104, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145580, -2556, 1944, -2497, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145621, -2538, 1915, -2517, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145662, -2582, 1919, -2543, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145703, -2564, 1920, -2534, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145744, -2560, 1905, -2509, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145785, -2567, 1917, -2531, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145826, -2558, 1889, -2570, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145867, -2555, 1940, -2533, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145908, -2580, 1919, -2558, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145950, -2548, 1961, -2544, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
145988, -2539, 1944, -2536, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
146027, -2563, 1915, -2529, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
146065, -2553, 1908, -2517, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
146104, -2567, 1913, -2562, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
146143, -2543, 1937, -2546, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
146181, -2567, 1901, -2510, 102, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
